Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
1	9810	Ohtani, Shohei	LAD	UT, P	1.20	1	2	-0.20	15	@steveymer	1
2	8956	Judge, Aaron	NYY	OF	1.87	1	3	0.13	15	Bloom DC1 - Meatball	2
3	10932	Witt Jr., Bobby	KC	SS	3.00	2	4	-	15	Unregulated Nervous System DC1	3
4	10030	Soto, Juan	NYM	OF	4.60	4	6	3.40	15	Cleveland Dustmites	8
5	8594	Ramirez, Jose	CLE	3B	5.20	3	7	-1.20	15	Dommy Meatballs	4
6	10711	Skubal, Tarik	DET	P	6.07	4	8	-0.07	15	Bronx Yankees DC1	6
7	11025	Carroll, Corbin	ARZ	OF	8.00	6	11	-1.00	15	@ven_armbarn	7
8	9775	Acuna Jr., Ronald	ATL	OF	8.93	4	12	17.07	15	Perfect Imperfection DC 2	26
9	11583	De La Cruz, Elly	CIN	SS	9.53	5	12	-4.53	15	Perfect Imperfection DC 2	5
10	10900	Crochet, Garrett	BOS	P	9.80	6	13	4.20	15	@DOUGHBOYS	14
11	11885	Skenes, Paul	PIT	P	10.00	6	13	3.00	15	@Butlerj25	13
12	10260	Rodriguez, Julio	SEA	OF	10.40	7	13	-0.40	15	The Robot DC1	10
13	11875	Caminero, Junior	TB	3B	13.67	10	16	-1.67	15	KCBubba Meatball	12
14	9948	Tatis Jr., Fernando	SD	OF	14.33	12	20	6.67	15	The Robot DC1	21
15	11108	Henderson, Gunnar	BAL	SS	16.33	14	20	-1.33	15	So Many Miles	15
16	8226	Lindor, Francisco	NYM	SS	17.13	13	20	1.87	15	KCBubba Meatball	19
17	9785	Guerrero Jr., Vladimir	TOR	1B	18.20	16	24	-2.20	15	So Many Miles	16
18	12222	Kurtz, Nick	ATH	1B	18.40	14	22	-1.40	15	@DOUGHBOYS	17
19	9787	Tucker, Kyle	CHC	OF	18.87	15	24	-0.87	15	@Butlerj25	18
20	11738	Chourio, Jackson	MLW	OF	19.40	16	22	-8.40	15	@gmarti12	11
21	10866	Raleigh, Cal	SEA	C	19.73	14	26	2.27	15	Rufe Too-Early-Meatball DC	22
22	10231	Chisholm Jr., Jazz	NYY	2B, 3B	22.13	15	27	5.87	15	Unregulated Nervous System DC1	28
23	11883	Yamamoto, Yoshinobu	LAD	P	22.53	18	26	14.47	15	@ven_armbarn	37
24	8940	Schwarber, Kyle	PHI	UT	25.53	17	36	-16.53	15	Rufe Too-Early-Meatball DC	9
25	11864	Crow-Armstrong, Pete	CHC	OF	26.73	14	32	-6.73	15	@gmarti12	20
26	10312	Alonso, Pete	BAL	1B	28.20	24	34	-1.20	15	Dommy Meatballs	27
27	11750	Wood, James	WAS	OF	29.13	22	44	3.87	15	Unregulated Nervous System DC1	33
28	9132	Turner, Trea	PHI	SS	29.27	23	40	-6.27	15	Cleveland Dustmites	23
29	11741	Neto, Zach	LAA	SS	30.53	17	40	-6.53	15	@ven_armbarn	24
30	10770	Sanchez, Cristopher	PHI	P	31.20	26	37	7.80	15	Rufe Too-Early-Meatball DC	39
31	7887	Sale, Chris	ATL	P	31.67	25	40	-0.67	15	@steveymer	31
32	10134	Munoz, Andres	SEA	P	32.93	28	39	20.07	15	Cleveland Dustmites	53
33	11435	Brown, Hunter	HOU	P	33.13	25	43	2.87	15	Bronx Yankees DC1	36
34	10712	Gilbert, Logan	SEA	P	33.60	23	41	0.40	15	Dommy Meatballs	34
35	9112	Marte, Ketel	ARZ	2B	34.53	23	47	-9.53	15	Bronx Yankees DC1	25
36	9376	Diaz, Edwin	LAD	P	35.67	31	42	14.33	15	@gmarti12	50
37	10367	Alvarez, Yordan	HOU	UT	37.27	21	52	16.73	15	@ven_armbarn	54
38	11787	Miller, Mason	SD	P	38.00	31	47	38.00	15	So Many Miles	76
39	10239	Duran, Jhoan	PHI	P	38.33	33	45	9.67	15	@Butlerj25	48
40	7891	Machado, Manny	SD	3B	39.67	31	53	-10.67	15	Bloom DC1 - Meatball	29
