Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,InterSD,InterSK,IntraSD,Vol,Skew,Dim,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,149.519,527.585,656.737,153.429,79.0334,25.3127,0.984616,48.098,110.659,116.043,117.393,10.08,161.659,6.46623,4.7754,0.51637,10.1877,8.95852,2.59429,0.290813,0.422554,0.616023,1.03858,0.433127,0.178753,0.246155,0.726178,0.32521,3.68233,0.326502,-0.981059,,141.622,64.0232,0.449625,-0.543592,-1.52465,7.94789,62.3127658367157,-6.857102245092392,182.243,1235.9,8.239333333,1235.9,8.239333333,2.67815,1.0985,1.54451,2.67815,-1.0985,2.94066,2.0,0.37086093,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
KCR,Royals,152.178,601.573,663.425,175.145,103.862,36.9046,6.31089,28.0668,100.343,92.1722,48.4258,5.75723,113.316,6.71632,6.02196,0.688749,6.20822,33.9859,9.31161,0.291145,0.347479,0.51344,0.860919,0.364378,0.0729935,0.170804,0.427352,0.222295,6.99439,0.315474,1.33892,,106.033,27.6444,4.82182,1.97223,3.31115,6.65933,30.767892599105835,11.867088317871094,135.016,987.1,6.494078947,987.1,6.494078947,3.2008,0.132888,0.728413,3.2008,-0.132888,4.02878,3.200000047683716,0.02531646,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
LAD,Dodgers,149.424,564.385,666.171,159.838,80.123,27.5664,5.24986,46.8988,123.099,110.325,92.5422,10.0296,160.891,4.56388,3.7299,0.950628,7.411,24.3867,7.06927,0.283208,0.386254,0.599947,0.986201,0.411231,0.138917,0.241516,0.575185,0.316739,6.49998,0.313437,0.376472,,131.813,53.1001,0.0,0.878545,1.25502,6.4055,54.16670310497284,-14.105634689331055,167.202,1203.5,8.077181208,1203.5,8.077181208,3.49643,-0.616355,0.938896,3.49643,0.616355,3.74814,1.090000033378601,0.91860465,DH,/players/shohei-ohtani/19755/stats/batting,22,NL,Shohei Ohtani,660271,19755,19755
NYM,Mets,154.058,542.724,676.132,148.295,84.1407,24.661,0.997808,38.4957,108.756,99.0866,124.255,8.83011,121.209,3.63376,4.23638,1.28284,12.58,21.2643,5.39335,0.273242,0.409253,0.53515,0.944404,0.401748,0.183773,0.179268,1.02513,0.261908,4.59552,0.283532,-0.879623,,128.579,48.6886,-6.85085,0.702742,-0.176881,5.83452,48.320479065179825,-14.17723035812378,160.688,1131.1,7.344805194,1131.1,7.344805194,1.37384,-0.262327,0.675398,1.37384,0.262327,4.09947,4.659999847412109,0.01875,OF,/players/juan-soto/20123/stats/batting,25,NL,Juan Soto,665742,20123,20123
BAL,Orioles,152.693,580.481,658.362,156.614,93.4571,32.769,4.17367,26.2139,96.1535,84.1663,67.1138,3.4969,139.585,5.87865,4.41311,0.475396,9.25147,23.667,5.09411,0.2698,0.349006,0.476108,0.825114,0.354145,0.10194,0.212019,0.480808,0.206308,6.04851,0.311146,0.652501,,99.7542,21.9637,-0.390454,1.57152,2.22403,5.6066,25.46037220954895,6.678679496049881,129.945,912.7,5.965359477,912.7,5.965359477,1.847,0.769545,0.397191,1.847,-0.769545,4.47041,14.489999771118164,0.05228758,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
SEA,Mariners,151.495,599.402,659.355,162.448,102.074,27.9379,2.96356,29.4727,92.8051,91.2046,47.2103,3.91144,145.363,8.86695,3.39902,0.476427,10.5526,28.0225,6.47259,0.271017,0.331663,0.475026,0.806689,0.345262,0.0716008,0.220463,0.324775,0.204009,6.00045,0.310716,-0.183463,,95.1493,17.2415,4.77111,1.93561,1.75215,5.50785,24.221516489982605,6.918151617050171,128.913,883.5,5.850993377,883.5,5.850993377,3.15608,-1.15369,0.304077,3.15608,1.15369,4.59456,10.710000038146973,0.00625,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
SEA,Mariners,151.438,544.068,630.375,124.628,61.7961,22.6691,0.294554,39.868,85.4637,102.306,76.0258,8.7304,169.942,5.83586,3.93432,0.511395,5.79777,8.0578,2.28776,0.229067,0.327832,0.491648,0.81948,0.346708,0.120604,0.269588,0.447365,0.262582,3.29246,0.250626,-1.39723,,91.7077,17.224,2.74811,-0.216063,-1.6133,5.30732,20.60877799987793,9.568353176116943,129.91,854.3,5.657615894,854.3,5.657615894,2.78253,0.548011,1.78584,2.78253,-0.548011,2.61888,19.139999389648438,0.23899371,C,/players/cal-raleigh/21534/stats/batting,11,AL,Cal Raleigh,663728,21534,21534
NYM,Mets,152.387,593.676,669.4,153.871,95.0001,29.9782,1.3608,27.5316,99.3662,82.8483,58.4612,1.32309,123.091,11.2993,5.01956,0.943727,8.48926,25.1742,5.75681,0.259183,0.334549,0.453388,0.787937,0.340681,0.0873338,0.183883,0.474941,0.194205,5.5889,0.281961,-0.662727,,94.1092,15.0145,2.87211,1.59836,0.935634,4.89701,15.76076889038086,9.447137832641602,118.738,862.0,5.671052631,862.0,5.671052631,2.75937,1.30061,0.648559,2.75937,-1.30061,4.13525,17.0,0.0125,SS,/players/francisco-lindor/12916/stats/batting,25,NL,Francisco Lindor,596019,12916,12916
CLE,Guardians,152.233,580.715,655.369,158.48,94.1168,33.4906,2.9079,27.9651,93.3139,89.7618,64.3169,10.08,74.926,4.49479,5.60345,0.239404,6.84181,33.6895,8.09763,0.272906,0.346942,0.485062,0.832004,0.352393,0.0981384,0.114326,0.858406,0.212156,6.04451,0.269979,-0.305066,,98.3685,20.9316,0.228347,2.41273,2.10766,4.81979,24.105443239212036,0.446320116519928,128.479,926.0,6.092105263,926.0,6.092105263,1.96327,0.0831825,0.61745,1.96327,-0.0831825,4.17673,5.309999942779541,0.1625,3B,/players/jose-ramirez/13510/stats/batting,5,AL,José Ramírez,608070,13510,13510
ARI,Diamondbacks,149.036,564.003,647.902,145.075,76.927,28.4773,10.6745,28.9966,104.706,83.4716,68.3349,2.72206,137.035,8.49113,4.83587,2.23753,6.52214,34.5892,7.0807,0.257225,0.343679,0.499805,0.843484,0.359327,0.105471,0.211505,0.49867,0.24258,8.19585,0.288174,1.97766,,100.895,24.3407,2.9893,3.02111,4.99876,4.76251,28.612783908843994,-3.619981527328491,130.751,939.4,6.304697986,939.4,6.304697986,1.21035,-1.41306,1.0498,1.21035,1.41306,3.60027,8.229999542236328,0.02083333,OF,/players/corbin-carroll/25878/stats/batting,15,NL,Corbin Carroll,682998,25878,25878
ARI,Diamondbacks,143.123,542.489,623.278,149.252,88.0692,29.8965,2.45826,28.8277,89.7052,87.7419,68.3219,5.20208,101.27,6.87152,4.99973,0.596335,11.627,5.30717,1.64246,0.275124,0.360449,0.498716,0.859165,0.366618,0.109617,0.16248,0.67465,0.223592,4.10534,0.288516,-0.00614618,,100.75,27.1051,-0.0375918,-0.654645,-0.660792,4.75928,25.74527531862259,0.03522220253944397,135.746,892.3,6.239860139,892.3,6.239860139,3.04728,0.256884,0.889121,3.04728,-0.256884,3.81451,39.86000061035156,0.168,2B,/players/ketel-marte/13613/stats/batting,15,NL,Ketel Marte,606466,13613,13613
SDP,Padres,147.597,567.348,648.387,152.806,93.8371,28.0838,2.44182,28.4437,98.5287,79.3678,70.8873,3.45237,128.448,6.12196,3.00252,1.02731,10.5394,25.9693,5.84633,0.269334,0.355004,0.477846,0.83285,0.358489,0.109329,0.198104,0.551876,0.208511,5.89689,0.300786,0.375401,,100.529,23.9175,5.20206,1.6946,2.07,4.69894,25.80411171913147,-1.820969581604004,130.971,909.2,6.143243243,909.2,6.143243243,3.12784,-0.517367,0.527946,3.12784,0.517367,4.29607,14.3100004196167,0.01290323,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29,NL,Fernando Tatis Jr.,665487,19709,19709
ATL,Braves,142.413,529.512,625.349,147.671,92.9275,24.8784,2.04256,27.8225,105.101,76.9428,85.5,3.58485,133.492,6.97641,2.50752,0.85368,10.3073,24.2921,6.67294,0.278881,0.384546,0.491211,0.875757,0.378074,0.136724,0.213468,0.640487,0.21233,5.54802,0.323299,1.2581,,106.901,33.0115,-3.20528,0.925421,2.18352,4.60718,34.87412095069885,-10.649198532104492,144.107,947.9,6.675352112,947.9,6.675352112,3.85641,-0.0627596,0.71897,3.85641,0.0627596,4.04137,7.400000095367432,0.04210526,OF,/players/ronald-acuna-jr/18401/stats/batting,16,NL,Ronald Acuña Jr.,660670,18401,18401
LAD,Dodgers,144.292,531.947,624.787,142.855,83.2656,27.9066,2.20262,29.4806,94.4311,89.4709,85.1682,6.08245,93.3361,3.20796,3.60379,0.86049,8.13893,23.1427,4.60336,0.268552,0.370607,0.495555,0.866162,0.370593,0.136316,0.149389,0.912489,0.227003,5.36773,0.274692,-0.549248,,103.01,29.1871,-0.1767,1.65041,1.10116,4.54269,30.1114981174469,-6.856887340545654,139.286,927.7,6.442361111,927.7,6.442361111,2.12289,-0.199416,0.2689,2.12289,0.199416,4.64147,17.690000534057617,0.14179104,OF,/players/kyle-tucker/18345/stats/batting,22,NL,Kyle Tucker,663656,18345,18345
