Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,InterSD,InterSK,IntraSD,QS,Vol,Skew,Dim,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,13.9904,6.59342,29.3604,29.3604,0.0,0.0,0.0,188.182,736.152,143.799,61.7219,56.7842,18.3148,228.064,38.3612,0.651329,6.38173,2.71576,0.968,10.9074,1.83467,5.94518,0.875925,0.309806,0.0521105,0.25769567862153053,,0.20798,0.281968,0.769478,2.68978,1119.4,5.9542553191489365,1030.0,5.4787234042553195,5.87645,5.79059,3.34175,-1.21308,2.0418,17.9931,3.34175,1.21308,2.27761,6.929999828338623,6,AL,Tarik Skubal,669373,22267,22267
PIT,Pirates,12.0626,7.79914,29.7868,29.7868,0.0,0.0,0.0,184.214,731.792,143.505,61.3193,56.4138,15.2622,220.843,45.8032,0.836506,6.42146,2.75617,1.02766,10.7896,2.23777,4.82156,0.745654,0.301784,0.0625905,0.23919319361448288,,0.211171,0.289186,0.762106,2.66501,1088.7000000000003,5.916847826086958,1011.0,5.494565217391305,5.65075,5.95013,1.9089,-0.391519,1.78229,17.4435,1.9089,0.391519,2.62361,10.380000114440918,27,NL,Paul Skenes,694973,33677,33677
BOS,Red Sox,13.5587,7.79081,28.8645,28.8645,0.0,0.0,0.70158,180.44,721.272,144.455,66.3665,61.0572,19.2174,221.43,46.6642,1.78464,5.07216,3.04541,1.05918,11.0445,2.32752,4.74519,0.958529,0.307,0.0646971,0.24230262637138367,,0.215754,0.292005,0.759692,2.92551,1009.9,5.610555555555555,939.0,5.216666666666667,5.00562,5.03273,4.8461,-1.20644,1.44759,15.4267,4.8461,1.20644,3.06989,11.949999809265137,3,AL,Garrett Crochet,676979,27463,27463
SFG,Giants,13.0328,9.51178,29.865,29.865,0.0,0.176214,0.0,192.812,792.782,181.741,76.846,70.6983,15.3249,182.639,44.1893,0.892065,5.77014,3.30003,1.17177,8.52515,2.06265,4.1331,0.71533,0.230377,0.0557395,0.17463716119527817,,0.244663,0.30543,0.729106,3.05124,986.5,5.11139896373057,986.0,5.108808290155441,4.83281,4.47817,4.22097,-0.648927,1.14092,16.8794,4.22097,0.648927,3.47878,60.81999969482422,30,NL,Logan Webb,657277,17995,17995
PHI,Phillies,11.9393,7.43812,28.9657,28.9657,0.0,0.0,0.0,185.009,755.399,165.729,71.2416,65.5422,15.8938,179.587,45.4862,2.14893,5.80719,3.18838,1.14165,8.73625,2.21273,3.94817,0.773172,0.237738,0.0602148,0.17752361297607422,,0.235375,0.294589,0.740743,3.14229,947.6,5.122162162162162,924.0,4.994594594594594,4.50495,4.84478,3.50489,-0.88203,1.11383,16.4294,3.50489,0.88203,3.5149,25.799999237060547,26,NL,Cristopher Sánchez,650911,20778,20778
ATL,Braves,10.9042,6.19985,25.4772,25.4772,0.0,0.0,0.0,156.066,632.874,128.21,60.0108,55.2099,16.5587,192.052,41.0306,0.658092,8.89585,3.18384,1.08441,11.0752,2.36615,4.68069,0.954905,0.303459,0.0648322,0.23862704634666443,,0.219933,0.298263,0.747849,3.01301,846.5000000000002,5.426282051282053,793.0,5.083333333333333,3.87592,3.9898,3.20585,-0.25796,1.10841,13.9011,3.20585,0.25796,3.52212,39.029998779296875,16,NL,Chris Sale,519242,10603,10603
LAD,Dodgers,12.1842,6.74698,26.3994,26.3994,0.0,0.0,0.0,160.234,649.547,130.179,62.8153,57.7901,15.7588,174.171,47.1291,0.72725,4.95039,3.24594,1.10656,9.78278,2.64714,3.69561,0.885135,0.268142,0.0725569,0.195584736764431,,0.217885,0.28076,0.737494,3.21478,841.2,5.2575,784.0,4.9,3.76433,3.80289,3.54645,-0.459352,1.03346,13.7442,3.54645,0.459352,3.62206,26.969999313354492,22,NL,Yoshinobu Yamamoto,808967,33825,33825
KCR,Royals,10.0098,7.78826,25.7876,25.7876,0.0,0.0,0.0,151.427,618.854,120.084,62.6414,57.6301,16.3367,187.755,53.2449,1.72484,4.87208,3.42522,1.14464,11.1592,3.16459,3.52626,0.970963,0.303392,0.0860379,0.21735387295484543,,0.214155,0.290899,0.735673,3.20921,810.6000000000001,5.368211920529802,749.0,4.960264900662252,3.68518,3.18785,4.00279,-0.613275,0.891647,12.7655,4.00279,0.613275,3.81114,45.619998931884766,7,AL,Cole Ragans,666142,21846,21846
DET,Tigers,12.756,9.5326,28.6761,28.6761,0.0,0.0,0.0,186.042,776.222,165.643,78.4156,72.1424,15.8157,173.228,61.1063,0.721632,8.09093,3.48998,1.21881,8.38009,2.95609,2.83486,0.765103,0.223168,0.0787227,0.14444489032030106,,0.234282,0.289252,0.724968,3.49387,887.0000000000001,4.768817204301076,861.0,4.629032258064516,3.63506,3.78107,3.66374,-2.14227,1.13189,15.8761,3.66374,2.14227,3.49081,86.51000213623047,6,AL,Framber Valdez,664285,17295,17295
NYY,Yankees,13.7656,8.0777,28.6011,28.6011,0.0,0.175779,0.0,179.447,738.636,156.92,71.9303,66.1759,16.4448,170.015,52.4535,0.85285,7.07075,3.31898,1.16677,8.52692,2.63075,3.24125,0.824774,0.230174,0.071014,0.1591600403189659,,0.231066,0.28514,0.737551,3.42673,882.6000000000001,4.930726256983241,850.0,4.748603351955308,3.61356,4.08295,2.49772,-1.60952,1.13523,15.7561,2.49772,1.60952,3.48636,51.95000076293945,9,AL,Max Fried,608331,13743,13743
PHI,Phillies,11.8841,9.20417,29.23,29.23,0.0,0.0,0.0,175.15,718.078,149.47,77.1049,70.9365,21.4242,193.073,53.775,0.818677,5.14657,3.64504,1.16041,9.92098,2.76321,3.59039,1.10087,0.268875,0.0748874,0.19398746639490128,,0.22676,0.287964,0.728077,3.52985,858.3000000000001,4.904571428571429,811.0,4.634285714285714,3.6123,3.49054,3.2365,-0.552102,1.00772,14.4721,3.2365,0.552102,3.65638,74.06999969482422,26,NL,Jesús Luzardo,666200,19959,19959
TOR,Blue Jays,10.5362,9.57934,29.2944,29.2944,0.0,0.0,0.0,171.152,710.893,142.227,76.7068,70.5702,20.8052,202.389,65.3632,1.48602,5.25066,3.71092,1.2129,10.6426,3.43711,3.09637,1.09404,0.284696,0.0919452,0.19275100529193878,,0.222132,0.291119,0.733393,3.58814,831.9000000000001,4.864912280701755,776.0,4.538011695906433,3.61069,2.82405,6.00092,-0.913504,1.11096,12.625,6.00092,0.913504,3.51872,77.18000030517578,14,AL,Dylan Cease,656302,18525,18525
HOU,Astros,12.1006,8.60482,29.2441,29.2441,0.0,0.0,0.0,178.313,734.992,151.14,75.1555,69.1431,19.5882,193.099,58.0662,1.4927,6.89506,3.48986,1.17326,9.74629,2.93078,3.32549,0.988675,0.262722,0.0790025,0.18371964991092682,,0.225572,0.287644,0.737423,3.49031,869.6,4.885393258426967,821.0,4.612359550561798,3.54821,3.50795,2.79736,0.61955,1.0284,15.6809,2.79736,-0.61955,3.62881,36.900001525878906,21,AL,Hunter Brown,686613,25880,25880
CIN,Reds,10.1663,8.19293,27.9006,27.9006,0.0,0.0,0.0,166.66,680.584,132.589,73.618,67.7286,24.457,199.912,53.4486,0.58744,9.48122,3.65748,1.11627,10.7957,2.88633,3.74027,1.32073,0.293736,0.0785335,0.21520303189754486,,0.214665,0.274945,0.740587,3.77659,808.8,4.84311377245509,737.0,4.413173652694611,3.49815,3.5244,1.96674,0.771825,1.032,13.7846,1.96674,-0.771825,3.624,43.75,18,NL,Hunter Greene,668881,22182,22182
