Name,Team,POS,ADP,PA,mAVG,mRBI,mR,mSB,mHR,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Shohei Ohtani ","LAD","DH",1.2300000190734863,679,4.42415771802123,8.19911400137392,16.2153774072367,4.65076525392403,13.2245532666023,46.7139676471581,13.100398860445114,60.814366507603225,"Shohei Ohtani","19755",660271
"Aaron Judge ","NYY","OF/DH",1.7699999809265137,672,6.61402489989876,11.7553562188373,13.7522821048716,-1.87662457614478,13.2245532666023,43.4695919140651,13.814289106390957,58.28388102045609,"Aaron Judge","15640",592450
"Juan Soto ","NYM","OF",4.619999885559082,686,3.81096047857691,8.98939004969911,11.6997026862341,4.18452312320483,8.61133701157708,37.295913349292,13.814289106390957,52.11020245568295,"Juan Soto","20123",665742
"Bobby Witt Jr. ","KCR","SS",3.0799999237060547,679,9.35147212895166,4.64287178391053,8.82609150014148,9.77942869183524,2.02102807582684,34.6208921806658,13.937934068046204,49.558826248711966,"Bobby Witt Jr.","25764",677951
"Junior Caminero ","TBR","3B",13.619999885559082,665,5.47534651411402,14.5213223879755,4.72093266286638,-3.27535096830239,11.9064914794522,33.3487420761057,13.100398860445114,47.44914093655081,"Junior Caminero","28163",691406
"Vladimir Guerrero Jr. ","TOR","1B/DH",18.540000915527344,679,11.3880513261387,10.1748041221869,7.18402796523144,-3.74159309902159,5.97521343727699,30.9805037518124,13.603923500163452,45.5844272519759,"Vladimir Guerrero Jr.","19611",665489
"José Ramírez ","CLE","3B/DH",5.079999923706055,679,4.38039027283406,7.01369992888612,4.31041677913886,9.77942869183524,3.33908986297689,28.8230255356712,13.100398860445114,42.923424396116296,"Jose Ramirez","13510",608070
"Julio Rodríguez ","SEA","OF",10.380000114440918,686,4.40230797093944,7.80397597721132,4.72093266286638,5.58324951536244,5.31618254370196,27.8266486700815,13.814289106390957,42.64093777647249,"Julio Rodriguez","23697",677594
"Fernando Tatis Jr. ","SDP","OF",14.460000038146973,672,4.35847257472868,1.87690561477234,9.6471232675965,6.04949164608164,5.31618254370196,27.2481756468811,13.814289106390957,42.06246475327209,"Fernando Tatis Jr.","19709",665487
"Ronald Acuña Jr. ","ATL","OF",8.850000381469727,651,6.67973269353251,5.03800980807313,5.95248031404891,4.18452312320483,3.33908986297689,25.1938358018363,13.814289106390957,40.008124908227224,"Ronald Acuna Jr.","18401",660670
"Corbin Carroll ","ARI","OF",8.149999618530273,665,-0.0213297400499655,5.03800980807313,6.77351208150393,10.2456708225544,2.68005896940187,24.7159219414834,13.814289106390957,39.53021104787436,"Corbin Carroll","25878",682998
"Gunnar Henderson ","BAL","SS",16.690000534057617,672,3.70150789009718,5.43314783223573,5.13144854659389,4.65076525392403,2.02102807582684,20.9378975986777,13.937934068046204,35.875831666723876,"Gunnar Henderson","26289",683002
"Elly De La Cruz ","CIN","SS",9.6899995803833,672,0.657552642686913,3.45745771142274,3.07886912795633,13.0431236068697,0.0439353951017714,20.2809384840374,13.937934068046204,35.2188725520836,"Elly De La Cruz","26668",682829
"Cal Raleigh ","SEA","C/DH",19.770000457763672,636,-8.27728032000744,5.03800980807313,3.48938501168384,-2.34286670686399,9.27036790515211,7.17761569803765,24.78789805156883,32.96551374960648,"Cal Raleigh","21534",663728
"Kyle Tucker ",,"OF",19,658,1.8619614724466,2.66718166309754,6.36299619777642,3.71828099248563,2.68005896940187,17.290479295208,13.814289106390957,32.104768401599,"Kyle Tucker","18345",663656
"Kyle Schwarber ","PHI","DH",24.770000457763672,686,-8.78093436960726,7.01369992888612,9.6471232675965,-2.80910883758319,11.9064914794522,16.9772714687444,13.100398860445114,31.077670329189502,"Kyle Schwarber","16478",656941
"Pete Alonso ","BAL","1B",27.690000534057617,679,-1.88272590478234,10.5699421463495,4.31041677913886,-4.67407736045999,7.95230611800206,16.2758617782481,13.603923500163452,30.879785278411546,"Pete Alonso","19251",624413
"Bryce Harper ","PHI","1B",51.310001373291016,665,3.5481972550655,6.22342388056093,3.89990089541135,-1.41038244542558,3.33908986297689,15.6002294485891,13.603923500163452,30.204152948752544,"Bryce Harper","11579",547180
"Nick Kurtz ","ATH","1B",18.229999542236328,616,-0.634549629835488,3.45745771142274,5.95248031404891,-3.74159309902159,9.27036790515211,14.3041632017667,13.603923500163452,28.90808670193012,"Nick Kurtz","35110",701762
"Yordan Alvarez ","HOU","DH",36.91999816894531,560,9.11044540081606,1.87690561477234,3.48938501168384,-4.20783522974079,3.99812075655192,14.2670215540834,13.100398860445114,28.367420414528482,"Yordan Alvarez","19556",670541
"Francisco Lindor ","NYM","SS",16.770000457763672,686,-0.546878837413968,-0.889060554365846,7.59454384895895,5.11700738464323,2.02102807582684,13.2966399176492,13.937934068046204,28.234573985695413,"Francisco Lindor","12916",596019
"Brent Rooker ","ATH","OF/DH",48.77000045776367,665,-0.831582409371947,7.40883795304872,3.07886912795633,-3.27535096830239,5.31618254370196,11.6969562470327,13.814289106390957,26.511245353423636,"Brent Rooker","19627",667670
"Ketel Marte ","ARI","2B/DH",34,637,5.27820048287158,1.48176759060974,5.5419644303214,-3.27535096830239,2.02102807582684,11.0476096113272,13.743726498026598,25.79133610935377,"Ketel Marte","13613",606466
"Zach Neto ","LAA","SS",30.459999084472656,665,-2.38640260472336,-1.28419857852844,3.89990089541135,7.91446016895844,2.68005896940187,10.8238188505199,13.937934068046204,25.761752918566057,"Zach Neto","31347",687263
"Pete Crow-Armstrong ","CHC","OF",26.770000457763672,644,-2.99957719382649,3.06231968726014,-1.02628970931878,10.2456708225544,0.702966288676795,9.98508989534611,13.814289106390957,24.79937900173707,"Pete Crow-Armstrong","27769",691718
"Jackson Chourio ","MIL","OF",19.3799991607666,637,2.71604953797934,-0.889060554365846,2.66835324422882,4.65076525392403,0.702966288676795,9.84907377044314,13.814289106390957,24.663362876834093,"Jackson Chourio","28806",694192
"Matt Olson ","ATL","1B",52.22999954223633,686,-1.22576122015085,5.82828585639833,6.36299619777642,-5.60656162189839,4.65715165012694,10.0161108622524,13.603923500163452,24.620034362415897,"Matt Olson","14344",621566
"Hunter Goodman ","COL","C/DH",69.2300033569336,586,-1.57619523608377,3.06231968726014,-3.48938501168384,-4.67407736045999,3.33908986297689,-3.33824805799057,24.78789805156883,22.449649993578255,"Hunter Goodman","29715",696100
"Manny Machado ","SDP","3B",38.91999816894531,651,2.05908485334784,5.03800980807313,-0.205257941863755,-1.41038244542558,2.68005896940187,8.1615132435335,13.100398860445114,22.261912103978613,"Manny Machado","11493",592518
"Freddie Freeman ","LAD","1B",67.08000183105469,651,5.32201322874115,3.85259573558534,1.8473214767738,-2.80910883758319,-0.615095498473253,7.59772610504384,13.603923500163452,22.20164960520729,"Freddie Freeman","5361",518692
"Mookie Betts ","LAD","SS",51.22999954223633,651,3.8109831289181,0.296353518121949,5.5419644303214,-1.87662457614478,-0.615095498473253,7.15758100274341,13.937934068046204,22.095515070789613,"Mookie Betts","13611",605141
"Jazz Chisholm Jr. ","NYY","2B/3B",22.309999465942383,616,-5.25522012036135,1.87690561477234,-0.615773825591266,7.91446016895844,3.33908986297689,7.25946170075505,13.743726498026598,22.003188198781654,"Jazz Chisholm Jr.","20454",665862
