Bats,xMLBAMID,Name,Team,Season,Age,AgeR,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,TTO%,wOBA,wRAA,wRC,Spd,wRC+,wBsR,Batting,Fielding,Replacement,Positional,wLeague,CFraming,Defense,Offense,RAR,WAR,Dollars,BaseRunning,Pull,Cent,Oppo,Soft,Med,Hard,bipCount,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Q,TPA,Pos,PlayerNameRoute,PlayerName,positionDB,position,playerid,TeamName,TeamNameAbb,teamid,playerTeamId
R,518595,"<a href=""statss.aspx?playerid=7739&position=C"">Travis d'Arnaud</a>","<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2026&month=13&season1=2026&ind=0&team=1&rost=0&age=0"">LAA</a>",2026,29.0,22 - 37,483.0,809.0,925.0,190.0,126.0,31.0,3.0,30.0,107.0,104.0,88.0,3.0,234.0,13.0,9.0,5.0,16.0,8.0,6.0,0.234857849,237.0,241.0,103.0,24.0,3611.0,1278.0,2333.0,21.0,8.0,1.0,0.095135135,0.252972972,0.376068376,0.316648531,0.391841779,0.70849031,0.15698393,0.288808664,0.983402489,0.17728055,0.407917383,0.414802065,0.099585062,0.124481327,0.088607594,0.125,0.38054054,0.31254949456479353,-3.7053798868911967,106.8409381822092,3.525222788803336,97.22380173441158,-2.081024080514908,,,,,,,,,,,,,239.0,203.0,147.0,101.0,298.0,190.0,590.0,0.4057725,0.34465195,0.24957555,0.17147708,0.50594228,0.32258065,10.16483516,925.0,0.10123967,Travis d'Arnaud,Travis d'Arnaud,C,C,7739,LAA,LAA,1,1
R,641933,"<a href=""statss.aspx?playerid=15711&position=OF"">Tyler O'Neill</a>","<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2026&month=13&season1=2026&ind=0&team=2&rost=0&age=0"">BAL</a>",2026,27.0,21 - 32,529.0,869.0,981.0,197.0,139.0,28.0,2.0,28.0,96.0,94.0,94.0,4.0,247.0,6.0,7.0,5.0,17.0,11.0,5.0,0.226697353,264.0,238.0,123.0,24.0,3967.0,1469.0,2498.0,21.0,9.0,3.0,0.095820591,0.251783893,0.380566801,0.304303278,0.360184119,0.664487397,0.133486766,0.281198003,1.109243697,0.1968,0.4224,0.3808,0.100840336,0.117647058,0.079545454,0.333333333,0.37614679,0.29506129811330095,-17.922351955153243,99.31649996461701,3.3244712438878157,87.65483172027179,-1.1238684570416808,,,,,,,,,,,,,257.0,224.0,153.0,91.0,344.0,199.0,634.0,0.40536278,0.3533123,0.24132492,0.14353312,0.54258675,0.31388013,10.78021978,981.0,0.10388248,Tyler O'Neill,Tyler O'Neill,OF,OF,15711,BAL,BAL,2,2
R,575929,"<a href=""statss.aspx?playerid=11609&position=C"">Willson Contreras</a>","<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2026&month=13&season1=2026&ind=0&team=3&rost=0&age=0"">BOS</a>",2026,28.0,22 - 34,467.0,750.0,844.0,198.0,126.0,45.0,6.0,21.0,118.0,115.0,72.0,1.0,175.0,12.0,5.0,5.0,13.0,20.0,5.0,0.264,234.0,227.0,114.0,25.0,3314.0,1185.0,2129.0,18.0,10.0,2.0,0.085308056,0.207345971,0.411428571,0.336114421,0.424,0.760114421,0.16,0.316636851,1.030837004,0.198260869,0.406956521,0.394782608,0.110132158,0.092511013,0.076923076,0.2,0.31753555,0.333903746559398,11.195781272893257,112.06182716513187,6.054015626264822,108.89410455974573,0.8140293313190341,,,,,,,,,,,,,235.0,205.0,145.0,95.0,297.0,193.0,585.0,0.4017094,0.35042735,0.24786325,0.16239316,0.50769231,0.32991453,9.59090909,844.0,0.1130137,Willson Contreras,Willson Contreras,C,C,11609,BOS,BOS,3,3
R,545341,"<a href=""statss.aspx?playerid=10243&position=OF"">Randal Grichuk</a>","<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2026&month=13&season1=2026&ind=0&team=4&rost=0&age=0"">CHW</a>",2026,26.0,23 - 34,527.0,812.0,927.0,194.0,119.0,35.0,1.0,39.0,108.0,101.0,82.0,5.0,229.0,17.0,6.0,8.0,7.0,16.0,7.0,0.238916256,248.0,217.0,116.0,19.0,3547.0,1279.0,2268.0,15.0,16.0,4.0,0.088457389,0.247033441,0.358078602,0.319520174,0.428571428,0.748091602,0.189655172,0.281818181,1.142857142,0.199655765,0.426850258,0.373493975,0.087557603,0.179723502,0.06048387,0.25,0.37756203,0.326341034223636,6.476171862512864,117.26150899770857,3.7038948092984647,107.46086186379644,-0.8381796712055802,,,,,,,,,,,,,270.0,204.0,123.0,93.0,303.0,201.0,599.0,0.45226131,0.34170854,0.20603015,0.15577889,0.50753769,0.33668342,10.41573034,927.0,0.1107814,Randal Grichuk,Randal Grichuk,OF,OF,10243,CHW,CHW,4,4
R,595978,"<a href=""statss.aspx?playerid=12976&position=C"">Austin Hedges</a>","<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2026&month=13&season1=2026&ind=0&team=5&rost=0&age=0"">CLE</a>",2026,27.0,23 - 33,598.0,944.0,1086.0,212.0,146.0,40.0,3.0,23.0,123.0,118.0,112.0,5.0,247.0,10.0,13.0,7.0,22.0,27.0,4.0,0.224576271,285.0,279.0,138.0,38.0,4306.0,1599.0,2707.0,21.0,15.0,4.0,0.103130755,0.227440147,0.453441295,0.309545875,0.346398305,0.65594418,0.121822034,0.27510917,1.021505376,0.196581196,0.405982905,0.397435897,0.136200716,0.082437275,0.07368421,0.266666666,0.35174954,0.2926931352366726,-21.507799336722325,108.27955355305392,5.1524653917198675,86.21913537931077,2.3431232841685414,,,,,,,,,,,,,321.0,237.0,159.0,123.0,367.0,227.0,717.0,0.44769874,0.33054393,0.22175732,0.17154812,0.51185495,0.31659693,11.93406593,1086.0,0.10061602,Austin Hedges,Austin Hedges,C,C,12976,CLE,CLE,5,5
R,595879,"<a href=""statss.aspx?playerid=12979&position=SS"">Javier Baez</a>","<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2026&month=13&season1=2026&ind=0&team=6&rost=0&age=0"">DET</a>",2026,27.0,21 - 33,540.0,775.0,903.0,175.0,107.0,43.0,3.0,22.0,108.0,101.0,109.0,1.0,200.0,7.0,9.0,2.0,13.0,4.0,5.0,0.225806451,218.0,250.0,115.0,22.0,3626.0,1412.0,2214.0,12.0,3.0,0.0,0.120708748,0.221483942,0.545,0.323333333,0.374193548,0.697526881,0.148387097,0.272241992,0.872,0.197255574,0.373927958,0.428816466,0.088,0.088,0.055045871,0.0,0.36655592,0.31130822475282716,-4.504909639215689,103.41219870283581,3.084963062129833,97.2864277471725,-2.454919597133994,,,,,,,,,,,,,238.0,219.0,129.0,102.0,298.0,186.0,587.0,0.40614334,0.37372014,0.22013652,0.17406143,0.50853242,0.31740614,10.03333333,903.0,0.12612613,Javier Baez,Javier Báez,SS,SS,12979,DET,DET,6,6
R,521692,"<a href=""statss.aspx?playerid=7304&position=C"">Salvador Perez</a>","<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2026&month=13&season1=2026&ind=0&team=7&rost=0&age=0"">KCR</a>",2026,29.0,22 - 37,543.0,991.0,1102.0,251.0,167.0,53.0,5.0,26.0,127.0,117.0,83.0,4.0,226.0,15.0,7.0,6.0,17.0,28.0,4.0,0.253279515,313.0,302.0,147.0,30.0,4168.0,1471.0,2697.0,22.0,16.0,7.0,0.075317604,0.205081669,0.367256637,0.318430656,0.39556004,0.713990696,0.142280525,0.301608579,1.036423841,0.192913385,0.410761154,0.396325459,0.099337748,0.086092715,0.070287539,0.4375,0.30399274,0.3139330243125503,-2.93041636322792,128.76908905531113,5.437496846349035,96.55383822899435,2.5537308072671294,,,,,,,,,,,,,331.0,264.0,183.0,124.0,388.0,266.0,778.0,0.42544987,0.33933162,0.23521851,0.15938303,0.49871465,0.34190231,12.10989011,1102.0,0.10488058,Salvador Perez,Salvador Perez,C,C,7304,KCR,KCR,7,7
B,605137,"<a href=""statss.aspx?playerid=13145&position=1B/DH"">Josh Bell</a>","<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2026&month=13&season1=2026&ind=0&team=8&rost=0&age=0"">MIN</a>",2026,28.0,22 - 33,522.0,874.0,1004.0,195.0,134.0,35.0,1.0,25.0,113.0,106.0,100.0,2.0,223.0,23.0,3.0,4.0,15.0,17.0,6.0,0.223112128,245.0,285.0,122.0,23.0,3896.0,1463.0,2433.0,19.0,6.0,1.0,0.099601593,0.222111553,0.448430493,0.318,0.351258581,0.669258581,0.128146453,0.27027027,0.859649122,0.187116564,0.375766871,0.437116564,0.080701754,0.087719298,0.07755102,0.166666666,0.34661355,0.3020659162549074,-12.501494882181378,107.48607629768541,3.953419391287251,90.3743719296221,-0.44544061552733183,,,,,,,,,,,,,270.0,222.0,166.0,101.0,332.0,225.0,658.0,0.41033435,0.33738602,0.25227964,0.15349544,0.50455927,0.34194529,11.03296703,1004.0,0.09803922,Josh Bell,Josh Bell,1B/DH,1B/DH,13145,MIN,MIN,8,8
R,519317,"<a href=""statss.aspx?playerid=4949&position=DH/OF"">Giancarlo Stanton</a>","<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2026&month=13&season1=2026&ind=0&team=9&rost=0&age=0"">NYY</a>",2026,30.0,23 - 38,565.0,1004.0,1134.0,244.0,144.0,51.0,8.0,41.0,140.0,133.0,109.0,3.0,270.0,8.0,11.0,1.0,13.0,22.0,5.0,0.243027888,286.0,312.0,139.0,40.0,4480.0,1653.0,2827.0,18.0,9.0,3.0,0.096119929,0.238095238,0.403703703,0.318904593,0.432270916,0.751175509,0.189243028,0.288352272,0.916666666,0.188602442,0.388059701,0.423337856,0.128205128,0.131410256,0.062937062,0.333333333,0.37037037,0.32683996915606084,8.894340541348187,144.41815101741287,5.463860760022066,109.57873743529198,0.9541450943797827,,,,,,,,,,,,,334.0,249.0,163.0,123.0,369.0,254.0,747.0,0.44772118,0.33378016,0.21849866,0.16487936,0.49463807,0.34048257,12.6,1134.0,0.1059322,Giancarlo Stanton,Giancarlo Stanton,DH/OF,DH/OF,4949,NYY,NYY,9,9
R,608841,"<a href=""statss.aspx?playerid=14366&position=1B/DH"">Joey Meneses</a>","<a href=""leaders.aspx?pos=all&stats=bat&lg=all&qual=0&type=strType&season=2026&month=13&season1=2026&ind=0&team=10&rost=0&age=0"">ATH</a>",2026,28.0,22 - 35,533.0,957.0,1061.0,244.0,164.0,35.0,4.0,41.0,136.0,134.0,87.0,3.0,259.0,7.0,3.0,6.0,15.0,16.0,2.0,0.254963427,289.0,276.0,135.0,25.0,4046.0,1437.0,2609.0,19.0,7.0,1.0,0.081998114,0.24410933,0.335907335,0.320683111,0.428422152,0.749105263,0.173458725,0.307575757,1.047101449,0.192857142,0.412857142,0.394285714,0.09057971,0.148550724,0.065743944,0.142857142,0.36475024,0.3274563105757411,8.468631629563452,135.26824619314777,4.885428804950264,105.68769390215401,1.0165472822263837,,,,,,,,,,,,,257.0,263.0,187.0,113.0,324.0,270.0,708.0,0.36350778,0.37199434,0.26449788,0.15983027,0.4582744,0.38189533,11.78888889,1061.0,0.09938525,Joey Meneses,Joey Meneses,1B/DH,1B/DH,14366,ATH,ATH,10,10
