TeamId,League,Division,AbbName,GameDate,dh,isHome,teamSPPlayerId,teamSPPlayerName,Throws,teamSPURL,teamPrimaryPitcher,teamOpener,teamNotes,OpponentId,OpponentAbbName,OpponentSPPlayerId,OpponentSPPlayerName,OpponentThrows,OpponentSPURL
1,AL,W,LAA,2026-09-23,0,False,29357,Walbert Ureña,R,/players/walbert-urena/29357/stats/pitching,,,,10,ATH,17677,Jeffrey Springs,L,/players/jeffrey-springs/17677/stats/pitching
1,AL,W,LAA,2026-09-24,0,False,24492,Grayson Rodriguez,R,/players/grayson-rodriguez/24492/stats/pitching,,,,11,SEA,30279,Bryan Woo,R,/players/bryan-woo/30279/stats/pitching
1,AL,W,LAA,2026-09-25,0,False,27468,Reid Detmers,L,/players/reid-detmers/27468/stats/pitching,,,,11,SEA,29837,Bryce Miller,R,/players/bryce-miller/29837/stats/pitching
1,AL,W,LAA,2026-09-26,0,False,35325,Ryan Johnson,R,/players/ryan-johnson/35325/stats/pitching,,,,11,SEA,37238,Kade Anderson,L,/players/kade-anderson/37238/stats/pitching
1,AL,W,LAA,2026-09-27,0,False,20633,Yusei Kikuchi,L,/players/yusei-kikuchi/20633/stats/pitching,,,,11,SEA,22250,Logan Gilbert,R,/players/logan-gilbert/22250/stats/pitching
2,AL,E,BAL,2026-09-23,1,True,12304,Chris Bassitt,R,/players/chris-bassitt/12304/stats/pitching,,,,14,TOR,3137,Max Scherzer,R,/players/max-scherzer/3137/stats/pitching
2,AL,E,BAL,2026-09-23,2,True,33794,Trey Gibson,R,/players/trey-gibson/33794/stats/pitching,,,,14,TOR,27568,CJ Van Eyk,R,/players/cj-van-eyk/27568/stats/pitching
2,AL,E,BAL,2026-09-25,0,False,22286,Trevor Rogers,L,/players/trevor-rogers/22286/stats/pitching,,,,9,NYY,30182,Will Warren,R,/players/will-warren/30182/stats/pitching
2,AL,E,BAL,2026-09-26,0,False,27819,Brandon Young,R,/players/brandon-young/27819/stats/pitching,,,,9,NYY,21052,Luis Gil,R,/players/luis-gil/21052/stats/pitching
2,AL,E,BAL,2026-09-27,0,False,22264,Shane Baz,R,/players/shane-baz/22264/stats/pitching,,,,9,NYY,16502,Ryan Yarbrough,L,/players/ryan-yarbrough/16502/stats/pitching
3,AL,E,BOS,2026-09-23,0,True,12768,Sonny Gray,R,/players/sonny-gray/12768/stats/pitching,,,,5,CLE,16432,Foster Griffin,L,/players/foster-griffin/16432/stats/pitching
3,AL,E,BOS,2026-09-24,0,True,17277,Ranger Suarez,L,/players/ranger-suarez/17277/stats/pitching,,,,5,CLE,25625,Daniel Espino,R,/players/daniel-espino/25625/stats/pitching
3,AL,E,BOS,2026-09-25,1,True,19447,Patrick Sandoval,L,/players/patrick-sandoval/19447/stats/pitching,,,,17,CHC,13649,Clay Holmes,R,/players/clay-holmes/13649/stats/pitching
3,AL,E,BOS,2026-09-25,2,True,31959,Jake Bennett,L,/players/jake-bennett/31959/stats/pitching,,,,17,CHC,20302,David Peterson,L,/players/david-peterson/20302/stats/pitching
3,AL,E,BOS,2026-09-26,0,True,23920,Brayan Bello,R,/players/brayan-bello/23920/stats/pitching,,,,17,CHC,21741,Javier Assad,R,/players/javier-assad/21741/stats/pitching
4,AL,C,CHW,2026-09-23,0,False,19924,Bryan Hudson,L,/players/bryan-hudson/19924/stats/pitching,,,,7,KCR,12447,Seth Lugo,R,/players/seth-lugo/12447/stats/pitching
4,AL,C,CHW,2026-09-24,0,False,31743,David Sandlin,R,/players/david-sandlin/31743/stats/pitching,,,,7,KCR,23798,Randy Dobnak,R,/players/randy-dobnak/23798/stats/pitching
4,AL,C,CHW,2026-09-25,0,True,29878,Sean Burke,R,/players/sean-burke/29878/stats/pitching,,,,19,COL,11423,Jose Quintana,L,/players/jose-quintana/11423/stats/pitching
4,AL,C,CHW,2026-09-26,0,True,21448,Davis Martin,R,/players/davis-martin/21448/stats/pitching,,,,19,COL,35321,Tomoyuki Sugano,R,/players/tomoyuki-sugano/35321/stats/pitching
4,AL,C,CHW,2026-09-27,0,True,20387,Anthony Kay,L,/players/anthony-kay/20387/stats/pitching,,,,19,COL,16256,Kyle Freeland,L,/players/kyle-freeland/16256/stats/pitching
5,AL,C,CLE,2026-09-23,0,False,16432,Foster Griffin,L,/players/foster-griffin/16432/stats/pitching,,,,3,BOS,12768,Sonny Gray,R,/players/sonny-gray/12768/stats/pitching
5,AL,C,CLE,2026-09-24,0,False,25625,Daniel Espino,R,/players/daniel-espino/25625/stats/pitching,,,,3,BOS,17277,Ranger Suarez,L,/players/ranger-suarez/17277/stats/pitching
5,AL,C,CLE,2026-09-25,0,False,30134,Tanner Bibee,R,/players/tanner-bibee/30134/stats/pitching,,,,7,KCR,30184,Noah Cameron,L,/players/noah-cameron/30184/stats/pitching
5,AL,C,CLE,2026-09-26,0,False,30122,Gavin Williams,R,/players/gavin-williams/30122/stats/pitching,,,,7,KCR,14078,Michael Wacha,R,/players/michael-wacha/14078/stats/pitching
5,AL,C,CLE,2026-09-27,0,False,31986,Parker Messick,L,/players/parker-messick/31986/stats/pitching,,,,7,KCR,21537,Daniel Lynch IV,L,/players/daniel-lynch-iv/21537/stats/pitching
6,AL,C,DET,2026-09-23,0,True,17295,Framber Valdez,L,/players/framber-valdez/17295/stats/pitching,,,,24,WSN,19337,Richard Lovelady,L,/players/richard-lovelady/19337/stats/pitching
6,AL,C,DET,2026-09-25,0,True,30203,Jackson Jobe,R,/players/jackson-jobe/30203/stats/pitching,,,,27,PIT,29868,Bubba Chandler,R,/players/bubba-chandler/29868/stats/pitching
6,AL,C,DET,2026-09-26,0,True,8700,Justin Verlander,R,/players/justin-verlander/8700/stats/pitching,,,,27,PIT,28901,Wilber Dotel,R,/players/wilber-dotel/28901/stats/pitching
6,AL,C,DET,2026-09-27,0,True,29514,River Ryan,R,/players/river-ryan/29514/stats/pitching,,,,27,PIT,27863,Jared Jones,R,/players/jared-jones/27863/stats/pitching
7,AL,C,KCR,2026-09-23,0,True,12447,Seth Lugo,R,/players/seth-lugo/12447/stats/pitching,,,,4,CHW,19924,Bryan Hudson,L,/players/bryan-hudson/19924/stats/pitching
7,AL,C,KCR,2026-09-24,0,True,23798,Randy Dobnak,R,/players/randy-dobnak/23798/stats/pitching,,,,4,CHW,31743,David Sandlin,R,/players/david-sandlin/31743/stats/pitching
7,AL,C,KCR,2026-09-25,0,True,30184,Noah Cameron,L,/players/noah-cameron/30184/stats/pitching,,,,5,CLE,30134,Tanner Bibee,R,/players/tanner-bibee/30134/stats/pitching
7,AL,C,KCR,2026-09-26,0,True,14078,Michael Wacha,R,/players/michael-wacha/14078/stats/pitching,,,,5,CLE,30122,Gavin Williams,R,/players/gavin-williams/30122/stats/pitching
7,AL,C,KCR,2026-09-27,0,True,21537,Daniel Lynch IV,L,/players/daniel-lynch-iv/21537/stats/pitching,,,,5,CLE,31986,Parker Messick,L,/players/parker-messick/31986/stats/pitching
8,AL,C,MIN,2026-09-23,0,False,31857,Connor Prielipp,L,/players/connor-prielipp/31857/stats/pitching,,,,30,SFG,30334,Cesar Perdomo,L,/players/cesar-perdomo/30334/stats/pitching
8,AL,C,MIN,2026-09-25,0,True,21390,Joe Ryan,R,/players/joe-ryan/21390/stats/pitching,,,,13,TEX,16511,Jordan Montgomery,L,/players/jordan-montgomery/16511/stats/pitching
8,AL,C,MIN,2026-09-26,0,True,21224,Bailey Ober,R,/players/bailey-ober/21224/stats/pitching,,,,13,TEX,10954,Jacob deGrom,R,/players/jacob-degrom/10954/stats/pitching
8,AL,C,MIN,2026-09-27,0,True,19350,Dean Kremer,R,/players/dean-kremer/19350/stats/pitching,,,,13,TEX,22201,MacKenzie Gore,L,/players/mackenzie-gore/22201/stats/pitching
9,AL,E,NYY,2026-09-23,0,True,13125,Gerrit Cole,R,/players/gerrit-cole/13125/stats/pitching,,,,12,TBR,22288,Mason Englert,R,/players/mason-englert/22288/stats/pitching
9,AL,E,NYY,2026-09-24,0,True,32095,Cam Schlittler,R,/players/cameron-schlittler/32095/stats/pitching,,,,12,TBR,27932,Ian Seymour,L,/players/ian-seymour/27932/stats/pitching
9,AL,E,NYY,2026-09-25,0,True,30182,Will Warren,R,/players/will-warren/30182/stats/pitching,,,,2,BAL,22286,Trevor Rogers,L,/players/trevor-rogers/22286/stats/pitching
