teamid,loaddate,type,role,position,jnum,player,notes,handed,age,acquired,options,servicetime,signyear,signround,signpick,retrodate,injurynotes,injurydate,mlbamid,age1,jnum1,roster40,bats,throws,position1,platoon,draftyear,draftround,draftpick,school,originalteam,servicetime1,projectedlevel,acquired1,country,acquiredcode,options1,eta,isNRI,isCV19,isAFL,playerid,mlbamid1,mlbauto,minorbamid,minormasterid,playerid1,csid,mlbamid2,acquiredrecent,oPlayerId,season,playerid2,prht,prht7,PA,prht1h,prht2h,dbTeam,playerNameDisplay,playerNameRoute,UPURL,mlevel,proj_PT,proj_WAR,proj_bat_K%,proj_bat_BB%,proj_bat_HR,proj_bat_SB,proj_bat_AVG,proj_bat_OBP,proj_bat_SLG,proj_bat_OPS,proj_bat_wRC+,proj_bat_WAR,actual_PT,actual_WAR,actual_bat_K%,actual_bat_BB%,actual_bat_HR,actual_bat_SB,actual_bat_AVG,actual_bat_OBP,actual_bat_SLG,actual_bat_OPS,actual_bat_wRC+,actual_bat_WAR,actual_bat_PA,actualz_PT,actualz_WAR,actualz_bat_K%,actualz_bat_HR,actualz_bat_SB,actualz_bat_AVG,actualz_bat_OBP,actualz_bat_SLG,actualz_bat_OPS,actualz_bat_WRC+,actual_bat_Events,actual_bat_EV,actual_bat_Barrel%,actual_bat_HardHit%,actual_bat_BB%1,actual_bat_K%1,actual_bat_pivFA,actual_bat_piFA%,actual_bat_piSL%,actual_bat_piFC%,actual_bat_piCU%,actual_bat_piCH%,actualz_bat_Events,actualz_bat_EV,actualz_bat_Barrel%,actualz_bat_HardHit%,actualz_bat_BB%,actualz_bat_K%1,actualz_bat_pivFA,actualz_bat_piFA%,actualz_bat_piSL%,actualz_bat_piFC%,actualz_bat_piCU%,actualz_bat_piCH%,dbid,retroid,statsid1,Pts,IP_minor,P_Pts,RP_Pts,PA1,AAA_PA,AA_PA,A_PA,Hit_Pts,AAA_Hit_Pts,AA_Hit_Pts,A_Hit_Pts,AAA_Hit_Rank,AA_Hit_Rank,A_Hit_Rank,Overall_Rank,Overall_7_Rank,Overall_14_Rank,Overall_21_Rank,Overall_1H_Rank,Overall_2H_Rank,Org_Rank,prrp,IP,prrp1h,prrp2h,actual_pit_GS,actual_pit_SV,actual_pit_H,actual_pit_SO,actual_pit_BB,actual_pit_ERA,actual_pit_IP,actual_pit_BB/9,actual_pit_K/9,actual_pit_WAR,actualz_pit_GS,actualz_pit_SV,actualz_pit_H,actualz_pit_SO,actualz_pit_BB,actualz_pit_ERA,actual_pit_Events,actual_pit_EV,actual_pit_Barrel%,actual_pit_HardHit%,actual_pit_BB%,actual_pit_K%,actual_pit_pivFA,actual_pit_piFA%,actualz_pit_pivFA,actualz_pit_Events,actualz_pit_EV,actualz_pit_Barrel%,actualz_pit_HardHit%,actualz_pit_BB%,actualz_pit_K%,actual_pit_pivFA1,actualz_pit_piFA%,actual_pit_piCU%,prsp,prsp14,prsp1h,prsp2h,proj_pit_GS,proj_pit_SV,proj_pit_H,proj_pit_SO,proj_pit_BB,proj_pit_ERA,proj_pit_IP,proj_pit_BB/9,proj_pit_K/9,proj_pit_WAR,actual_pit_piSL%,actual_pit_piCH%,actualz_pit_piSL%,actualz_pit_piCU%,actualz_pit_piCH%,AAA_SP_IP,AAA_RP_IP,AA_SP_IP,AA_RP_IP,A_IP,AAA_SP_Pts,AA_SP_Pts,A_P_Pts,AAA_SP_Rank,AA_SP_Rank,A_P_Rank,actual_pit_piFC%,actualz_pit_piFC%,npbbisid,Rk_IP,SS_IP,Rk_P_Pts,Rk_P_Rank,SS_P_Rank,prrp14,AAA_RP_Pts,AAA_RP_Rank,AA_RP_Pts,AA_RP_Rank,Rk_PA,SS_PA,Rk_Hit_Pts,Rk_Hit_Rank,SS_Hit_Rank,Ovr_Rank,Ovr_Rank_Next,Org_Rank_Next,Ap_PA,Ap_Hit_Pts,Ap_Hit_Rank,kboid,kbobisid,Ap_IP,Ap_P_Pts,Ap_P_Rank,Rk2_PA,Rk2_Hit_Pts,Rk2_Hit_Rank,Rk2_IP,Rk2_P_Pts,Rk2_P_Rank,altmmid,refid,statsid
1,2026-09-20T11:03:16,mlb-sl,1,SS,9,Zach Neto,,R,25.6,Drafted 1st Rd (13) '22,3,2.170,2022,1,13,,,,687263,25.6,9,Y,R,R,SS,,2022,1,13,Campbell,LAA,2.170,,Drafted 1st Rd (13) '22,USA,HG,3,,0,0,0,31347.0,687263.0,3019855.0,687263.0,sa3019855,31347.0,neto-za42,687263,0,31347,2026.0,31347.0,44.0,161.0,672.0,106.0,115.0,LAA,Zach Neto,Zach Neto,/players/zach-neto/31347/stats/batting,MLB,29.0,0.170258,0.275488,0.0801849,1.0,1.0,0.241597,0.32007,0.43817,0.758239,112.482,0.170258,672.0,3.65523,0.308036,0.0922619,26.0,21.0,0.238655,0.324405,0.435294,0.759699,114.256,3.65523,672.0,554.0,3.24691,0.268953,26.0,26.0,0.256972,0.318841,0.474104,0.792944,117.294,389.0,89.7609,0.113111,0.411311,0.0922619,0.347899,94.9571,0.234026,0.283554,0.0676749,0.0922495,0.124764,358.0,91.0357,0.139665,0.46648,0.0595668,0.296813,94.7134,0.218793,0.287425,0.0750806,0.0796868,0.0838323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2026-09-20T11:03:16,mlb-sl,2,DH,27,Mike Trout,,R,35.1,Drafted 1st Rd (25) '09,n/a,14.070,2009,1,25,,,,545361,35.1,27,Y,R,R,CF/RF/LF,,2009,1,25,Millville HS (NJ),LAA,14.070,,Drafted 1st Rd (25) '09,USA,HG,n/a,,0,0,0,10155.0,545361.0,500736.0,545361.0,sa500736,10155.0,,545361,0,10155,2026.0,10155.0,68.0,169.0,607.0,77.0,195.0,LAA,Mike Trout,Mike Trout,/players/mike-trout/10155/stats/batting,MLB,26.0,0.146124,0.282268,0.153163,1.0,0.0,0.236941,0.363686,0.433563,0.797249,124.715,0.146124,607.0,3.14413,0.260297,0.166392,21.0,11.0,0.241379,0.379538,0.419878,0.799416,127.204,3.14413,607.0,556.0,1.91705,0.320144,26.0,2.0,0.232456,0.358559,0.438596,0.797155,121.46,338.0,89.8842,0.156805,0.452663,0.166392,0.320487,95.0105,0.451095,0.187793,0.0719875,0.062989,0.079421,285.0,90.8707,0.157895,0.491228,0.156475,0.390351,94.685,0.452861,0.215552,0.0821918,0.040693,0.0620467,troutmi01,troum001,sa500736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2026-09-20T11:03:16,mlb-sl,3,LF,53,Wade Meckler,,L,26.4,Waivers (SFG) Jan'26,1,0.024,2022,8,256,,,,685133,26.4,53,Y,L,R,LF/RF/CF,,2022,8,256,Oregon State,SF,0.024,,Waivers (SFG) Jan'26,USA,W,1,,0,0,0,31490.0,685133.0,3020119.0,685133.0,sa3020119,31490.0,mecklwa42,685133,1,31490,2026.0,31490.0,253.0,147.0,308.0,269.0,190.0,SFG,Wade Meckler,Wade Meckler,/players/wade-meckler/31490/stats/batting,MLB,25.0,0.0654393,0.200677,0.0993976,0.0,0.0,0.26864,0.345003,0.362974,0.707978,103.426,0.0654393,308.0,1.84107,0.191558,0.0974026,3.0,8.0,0.29304,0.369281,0.377289,0.74657,116.658,1.84107,308.0,,,,,,,,,,,216.0,86.8254,0.0277778,0.328704,0.0974026,0.216117,95.3521,0.281481,0.173148,0.0694444,0.108333,0.139815,,,,,,,,,,,,,,,,30.7799,0.0,0.0,0.0,147.0,17.0,121.0,9.0,30.7799,1.483,26.4519,2.84494,762.0,346.0,752.0,1964.0,6914.0,6626.0,4708.0,892.0,4007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2026-09-20T11:03:16,mlb-sl,4,1B,5,Vaughn Grissom,,R,25.7,Trade (BOS) Dec'25,0,1.086,2019,11,337,,,,687093,25.7,5,Y,R,R,3B/1B/2B,,2019,11,337,Hagerty HS (FL),ATL,1.086,,Trade (BOS) Dec'25,USA,T,0,,0,0,0,26031.0,687093.0,3010711.0,687093.0,sa3010711,26031.0,,687093,1,26031,2026.0,26031.0,176.0,187.0,442.0,169.0,123.0,ATL,Vaughn Grissom,Vaughn Grissom,/players/vaughn-grissom/26031/stats/batting,MLB,27.0,0.0349365,0.191039,0.0717192,1.0,0.0,0.24791,0.313678,0.383289,0.696966,97.2825,0.0349365,442.0,0.220751,0.187783,0.0678733,12.0,1.0,0.236641,0.304545,0.384224,0.688769,93.9645,0.220751,442.0,,,,,,,,,,,318.0,87.6494,0.0691824,0.361635,0.0678733,0.211196,94.3921,0.292088,0.226651,0.0630577,0.0928019,0.0963712,,,,,,,,,,,,,,grisv001,sa1169911,5.45342,0.0,0.0,0.0,46.0,41.0,,5.0,5.45342,4.80032,,0.653105,666.0,,853.0,4427.0,4639.0,2079.0,5144.0,3565.0,6619.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2026-09-20T11:03:16,mlb-sl,5,C,13,Moises Ballesteros,,L,22.9,Trade (CHC) Aug'26,2,0.030,JAN 2021,,,,,,694208,22.9,13,Y,L,R,C/1B,vsR,JAN 2021,,,Venezuela,CHC,0.030,,Trade (CHC) Aug'26,VEN,T,2,,0,0,0,28820.0,694208.0,3015713.0,694208.0,sa3015713,28820.0,,694208,1,28820,2026.0,28820.0,275.0,107.0,328.0,247.0,302.0,CHC,Moisés Ballesteros,Moises Ballesteros,/players/moises-ballesteros/28820/stats/batting,MLB,23.0,0.0473182,0.190459,0.0797385,1.0,0.0,0.255594,0.317823,0.397057,0.71488,100.864,0.0473182,328.0,-0.544604,0.228659,0.0823171,9.0,1.0,0.222973,0.286585,0.347973,0.634558,77.4067,-0.544604,328.0,66.0,0.293614,0.181818,2.0,0.0,0.298246,0.393939,0.473684,0.867624,143.655,225.0,90.5987,0.0888889,0.475556,0.0823171,0.253378,95.0819,0.33119,0.221865,0.0667203,0.0836013,0.143891,45.0,89.0933,0.0666667,0.333333,0.136364,0.210526,95.2001,0.385542,0.11245,0.0361446,0.0963855,0.208835,,,,27.3671,0.0,0.0,0.0,145.0,145.0,,,27.3671,27.3671,,,362.0,,,2186.0,4492.0,5993.0,5275.0,6220.0,986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2026-09-20T11:03:16,mlb-sl,6,3B,23,Denzer Guzman,,R,22.6,Amateur FA (DOM) Jan'21,3,0.016,JAN 2021,,,,,,694203,22.6,23,Y,R,R,SS/3B,,JAN 2021,,,Dominican Republic,LAA,0.016,,Amateur FA (DOM) Jan'21,DOM,HG,3,,0,0,0,28816.0,694203.0,3015711.0,694203.0,sa3015711,28816.0,,694203,0,28816,2026.0,28816.0,315.0,177.0,278.0,330.0,280.0,LAA,Denzer Guzman,Denzer Guzman,/players/denzer-guzman/28816/stats/batting,MLB,23.0,0.0423171,0.280271,0.068303,1.0,0.0,0.226948,0.285279,0.369451,0.65473,83.4707,0.0423171,278.0,0.18228,0.255396,0.0503597,7.0,2.0,0.226923,0.269091,0.342308,0.611399,70.7312,0.18228,278.0,43.0,-0.444232,0.511628,2.0,0.0,0.190476,0.209302,0.357143,0.566445,52.1668,192.0,86.7672,0.0520833,0.338542,0.0503597,0.273077,94.019,0.300391,0.240705,0.0616438,0.0753425,0.105675,20.0,86.485,0.15,0.45,0.0232558,0.52381,94.823,0.340909,0.25,0.113636,0.0852273,0.0625,,,,77.1697,0.0,0.0,0.0,268.0,268.0,,,77.1697,77.1697,,,53.0,,,333.0,2808.0,4666.0,4198.0,7.0,6028.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2026-09-20T11:03:16,mlb-sl,7,RF,3,Josh Lowe,,L,28.6,Trade (TBR) Jan'26,1,3.093,2016,1,13,,,,666139,28.6,3,Y,L,R,RF/LF/CF,vsR,2016,1,13,Pope HS (GA),TB,3.093,,Trade (TBR) Jan'26,USA,T,1,,0,0,0,19953.0,666139.0,917926.0,666139.0,sa917926,19953.0,,666139,1,19953,2026.0,19953.0,279.0,228.0,325.0,294.0,323.0,TBR,Josh Lowe,Josh Lowe,/players/josh-lowe/19953/stats/batting,MLB,22.0,0.0531704,0.286198,0.0803361,1.0,1.0,0.236841,0.300976,0.402025,0.703,95.8201,0.0531704,325.0,0.725701,0.301538,0.0769231,12.0,10.0,0.210884,0.275542,0.367347,0.642889,78.9919,0.725701,325.0,435.0,-0.0981197,0.250575,11.0,18.0,0.219697,0.28341,0.366162,0.649572,79.5835,200.0,88.581,0.09,0.37,0.0769231,0.333333,94.8691,0.372993,0.177372,0.079562,0.0656934,0.119708,290.0,88.6155,0.0586207,0.393103,0.0758621,0.275253,94.3674,0.326575,0.195616,0.10137,0.090411,0.0936986,,lowej002,sa917926,28.9047,0.0,0.0,0.0,126.0,126.0,,,28.9047,28.9047,,,353.0,,,2087.0,7478.0,5579.0,5813.0,1282.0,3321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2026-09-20T11:03:16,mlb-sl,8,2B,4,Christian Moore,,R,23.9,Drafted 1st Rd (8) '24,3,0.108,2024,1,8,,,,695681,23.9,4,Y,R,R,2B/3B/LF,,2024,1,8,Tennessee,LAA,0.108,,Drafted 1st Rd (8) '24,USA,HG,3,,0,0,0,34979.0,695681.0,3025168.0,695681.0,sa3025168,34979.0,moorech71,695681,0,34979,2026.0,34979.0,495.0,396.0,119.0,573.0,395.0,LAA,Christian Moore,Christian Moore,/players/christian-moore/34979/stats/batting,MLB,20.0,0.0342106,0.313724,0.0912243,0.0,0.0,0.21795,0.294134,0.34903,0.643164,81.8986,0.0342106,119.0,-0.834841,0.327731,0.0588235,1.0,1.0,0.172727,0.226891,0.245455,0.472345,31.3803,-0.834841,119.0,184.0,0.234989,0.336957,7.0,3.0,0.197531,0.284153,0.37037,0.654523,83.5726,72.0,88.2535,0.0694444,0.375,0.0588235,0.354545,94.6954,0.415289,0.237603,0.0433884,0.0743802,0.072314,102.0,88.9343,0.0686274,0.362745,0.103261,0.382716,95.107,0.382542,0.242619,0.0680359,0.0744544,0.055199,,,,92.6703,0.0,0.0,0.0,418.0,418.0,,,92.6703,92.6703,,,27.0,,,162.0,1572.0,1990.0,3058.0,23.0,1175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2026-09-20T11:03:16,mlb-sl,9,CF,28,Jose Siri,,R,31.2,Free Agent (NYM) Feb'26,0,4.015,SEP 2012,,,,,,642350,31.2,28,Y,R,R,RF/CF,,SEP 2012,,,Dominican Republic,CIN,4.015,0.000,Free Agent (NYM) Feb'26,DOM,FA,0,,0,0,0,17452.0,642350.0,736940.0,642350.0,sa736940,17452.0,,642350,1,17452,2026.0,17452.0,306.0,89.0,232.0,321.0,301.0,CIN,Jose Siri,Jose Siri,/players/jose-siri/17452/stats/batting,MLB,16.0,0.0342768,0.346838,0.0646872,1.0,1.0,0.212046,0.271304,0.385553,0.656857,81.5611,0.0342768,232.0,0.825319,0.327586,0.0603448,9.0,9.0,0.236967,0.292576,0.412322,0.704899,94.4821,0.825319,232.0,36.0,-0.383029,0.472222,0.0,2.0,0.0625,0.166667,0.125,0.291667,-12.0078,139.0,89.2378,0.136691,0.417266,0.0603448,0.36019,94.1402,0.285385,0.211738,0.0621404,0.117376,0.135788,15.0,84.8933,0.2,0.333333,0.111111,0.53125,92.7595,0.223602,0.285714,0.142857,0.0869565,0.068323,,sirij001,sa736940,20.3314,0.0,0.0,0.0,140.0,140.0,,,20.3314,20.3314,,,427.0,,,2733.0,5977.0,3738.0,4331.0,1493.0,5874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2026-09-20T11:03:16,mlb-bn,Bench,C,25,Travis d'Arnaud,,R,37.6,Free Agent (ATL) Nov'24,n/a,12.044,2007,1,37,,,,518595,37.6,25,Y,R,R,C,vsL,2007,1,37,Lakewood HS (CA),PHI,12.044,,Free Agent (ATL) Nov'24,USA,FA,n/a,,0,0,0,7739.0,518595.0,389876.0,518595.0,sa389876,7739.0,,518595,0,7739,2026.0,7739.0,520.0,403.0,80.0,465.0,554.0,PHI,Travis d'Arnaud,Travis d'Arnaud,/players/travis-darnaud/7739/stats/batting,MLB,11.0,0.0209785,0.291407,0.0645893,0.0,0.0,0.206897,0.270558,0.352661,0.623219,74.4732,0.0209785,80.0,-0.262761,0.3,0.075,1.0,0.0,0.166667,0.25,0.25,0.5,44.055,-0.262761,80.0,231.0,-0.260551,0.320346,6.0,0.0,0.197183,0.255411,0.342723,0.598134,66.0066,48.0,86.6813,0.104167,0.333333,0.075,0.333333,94.4133,0.336601,0.153595,0.0980392,0.0588235,0.163399,140.0,88.2043,0.114286,0.378571,0.0562771,0.347418,94.6487,0.306987,0.310424,0.0664376,0.0790378,0.0595647,,darnt001,sa389876,0.46183,0.0,0.0,0.0,23.0,19.0,,4.0,0.46183,0.546862,,-0.085032,811.0,,907.0,5303.0,6888.0,5777.0,7025.0,6971.0,4586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
