Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,149,517,644,148,79,25,1,43,111,112,115,24,158,6,5,1,,9,2,0.286539,0.419294,0.590765,1.01006,0.417143,0.179045,0.245498,0.729313,0.304226,3.85509,0.327095,-1.05884,,130.518,54.4241,2.62933,-0.375793,-1.43463,7.32446,53.994372606277466,-4.57066798210144,173.026,1168.7,7.843624161,1168.7,7.843624161,1.9600000381469727,0.37086093,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
KCR,Royals,157,616,679,178,105,37,7,28,103,95,49,6,117,7,6,1,,33,10,0.28829,0.344492,0.509985,0.854477,0.36135,0.0720544,0.17228,0.41824,0.221695,6.9716,0.313341,1.69436,,106.853,26.6242,7.02273,1.59797,3.29233,6.68375,27.65899133682251,14.297733306884766,130.448,993.9,6.330573248,993.9,6.330573248,2.809999942779541,0.02531646,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
SEA,Mariners,159,550,637,127,63,23,0,41,88,103,78,11,171,5,4,1,,8,2,0.230547,0.329775,0.493737,0.823512,0.347501,0.122036,0.268219,0.454989,0.26319,3.26145,0.252116,-1.31604,,93.1398,17.826,4.7388,-0.308888,-1.62493,6.37095,21.25491976737976,11.888797760009766,130.456,871.9,5.483647798,871.9,5.483647798,18.420000076293945,0.23899371,C,/players/cal-raleigh/21534/stats/batting,11,AL,Cal Raleigh,663728,21534,21534
NYM,Mets,159,548,686,149,86,24,1,38,114,102,128,9,120,4,4,2,,23,5,0.272279,0.41059,0.528631,0.939222,0.400244,0.186787,0.175438,1.06469,0.256353,4.79216,0.282375,-0.570734,,129.618,48.5615,-7.17124,1.08591,0.515174,6.12787,51.79149168729782,-14.72123908996582,163.066,1144.6,7.198742138,1144.6,7.198742138,4.349999904632568,0.01875,OF,/players/juan-soto/20123/stats/batting,25,NL,Juan Soto,665742,20123,20123
LAD,Dodgers,157,575,679,162,81,28,5,48,129,119,94,16,164,5,4,2,,26,6,0.28206,0.384641,0.598789,0.98343,0.407398,0.137747,0.241232,0.571014,0.316729,6.78446,0.311251,0.0704774,,132.239,52.0097,0.0,1.74706,1.81754,6.12678,54.267529368400574,-16.975000381469727,165.175,1222.7,7.787898089,1222.7,7.787898089,1.309999942779541,0.91860465,DH,/players/shohei-ohtani/19755/stats/batting,22,NL,Shohei Ohtani,660271,19755,19755
BAL,Orioles,156,591,672,161,96,33,5,29,99,93,70,4,140,6,4,1,,22,5,0.273374,0.354217,0.49029,0.844508,0.361608,0.104559,0.208996,0.500292,0.216916,6.11393,0.311625,1.2606,,105.892,26.4902,-2.11619,1.1815,2.4421,5.97958,30.23132634162903,5.08380913734436,135.086,963.2,6.174358974,963.2,6.174358974,13.119999885559082,0.05228758,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
SEA,Mariners,159,625,686,169,105,30,2,31,96,101,48,5,151,9,4,1,,26,7,0.270487,0.330135,0.47682,0.806955,0.34489,0.0703345,0.219448,0.320507,0.206333,5.58268,0.308147,0.500728,,98.7874,17.7312,6.53717,1.54078,2.04151,5.89423,25.211862564086914,8.787170886993408,128.657,912.0,5.735849056,912.0,5.735849056,11.039999961853027,0.00625,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
SDP,Padres,156,585,672,158,96,30,2,30,106,84,75,4,131,6,3,2,,26,5,0.269952,0.357711,0.481363,0.839074,0.360851,0.111953,0.194543,0.575468,0.211411,5.71532,0.299197,0.540472,,105.479,26.0772,6.76039,1.80071,2.34118,5.43732,31.426282167434692,-0.639610767364502,136.518,958.6,6.144871794,958.6,6.144871794,15.460000038146973,0.01290323,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29,NL,Fernando Tatis Jr.,665487,19709,19709
ATL,Braves,151,548,651,157,97,26,2,31,115,84,92,4,133,7,3,2,,26,6,0.28573,0.393396,0.511613,0.905009,0.389184,0.140824,0.204131,0.68987,0.225883,5.71781,0.323976,1.1668,,117.158,40.2377,-4.10219,1.54992,2.71672,5.36139,42.62034773826599,-11.877188682556152,151.717,1039.0,6.880794701,1039.0,6.880794701,7.269999980926514,0.04210526,OF,/players/ronald-acuna-jr/18401/stats/batting,16,NL,Ronald Acuña Jr.,660670,18401,18401
NYM,Mets,146,558,630,146,91,28,1,26,94,78,55,2,115,11,5,2,,22,4,0.261268,0.337048,0.452505,0.789553,0.341497,0.0880547,0.181948,0.483954,0.191238,5.29785,0.284592,-0.439025,,88.9875,14.5481,3.50202,1.5419,1.10288,4.99862,18.14416253566742,9.752018928527832,122.823,819.5,5.613013698,819.5,5.613013698,20.040000915527344,0.0125,SS,/players/francisco-lindor/12916/stats/batting,25,NL,Francisco Lindor,596019,12916,12916
