Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,14,7,32,32,0,0,,200.0,791,157,65,60,19,245,40,,7,2.67159,0.982102,10.9936,1.81361,6.06173,0.847876,0.309784,0.0511049,0.2586790770292282,,0.210545,0.286978,0.775211,2.62374,1187.1,5.935499999999999,1102.0,5.51,6.33686,6.18382,22,5.789999961853027,6.0,AL,Tarik Skubal,669373,22267,22267
BOS,Red Sox,15,8,32,32,0,0,,197.0,796,162,69,64,20,245,52,,5,2.9073,1.08402,11.1695,2.36047,4.73192,0.898314,0.307311,0.0649442,0.2423665151000023,,0.219146,0.299694,0.774702,2.81656,1109.6000000000001,5.632487309644671,1044.0,5.299492385786802,5.7763,5.89967,21,9.850000381469727,3.0,AL,Garrett Crochet,676979,27463,27463
PIT,Pirates,13,8,32,32,0,0,,189.0,761,152,65,60,17,223,49,,6,2.84163,1.06728,10.6201,2.35243,4.51452,0.808429,0.293271,0.0649616,0.22830899059772491,,0.216079,0.291108,0.769021,2.82471,1075.3000000000002,5.689417989417991,1005.0,5.317460317460317,5.41337,5.84062,21,10.09000015258789,27.0,NL,Paul Skenes,694973,33677,33677
PHI,Phillies,12,8,32,32,0,0,,200.0,820,183,78,71,18,193,49,,7,3.21666,1.16222,8.69255,2.2104,3.93256,0.799788,0.235313,0.0598371,0.1754761040210724,,0.239626,0.298774,0.742729,3.19657,1000.8,5.004,984.0,4.92,4.79735,5.15769,20,26.3799991607666,26.0,NL,Cristopher Sánchez,650911,20778,20778
SFG,Giants,15,9,32,32,0,0,,202.0,836,191,79,72,16,191,45,,6,3.18659,1.16842,8.49221,2.00749,4.23027,0.712906,0.228322,0.0539735,0.17434894666075706,,0.243528,0.30294,0.736261,3.02983,1030.4,5.100990099009901,1031.0,5.103960396039604,4.52721,4.54127,20,55.7400016784668,30.0,NL,Logan Webb,657277,17995,17995
KCR,Royals,11,8,29,29,0,0,,163.0,674,132,67,61,17,202,58,,5,3.38863,1.1659,11.14,3.19588,3.48574,0.930961,0.298925,0.0857565,0.21316822618246078,,0.215848,0.292886,0.741052,3.1575,868.9000000000001,5.330674846625768,809.0,4.96319018404908,4.13349,3.70842,17,47.290000915527344,7.0,AL,Cole Ragans,666142,21846,21846
ATL,Braves,12,6,28,28,0,0,,165.0,677,138,62,58,18,200,44,,10,3.14909,1.10301,10.9081,2.40728,4.53131,0.953919,0.29628,0.0653851,0.23089499771595,,0.221874,0.29804,0.760055,3.0639,878.8,5.326060606060606,829.0,5.024242424242424,3.98572,4.37882,18,36.529998779296875,16.0,NL,Chris Sale,519242,10603,10603
NYY,Yankees,14,9,31,31,0,0,,189.0,780,170,77,70,17,175,54,,7,3.35048,1.18498,8.3687,2.57935,3.2445,0.816728,0.224895,0.0693158,0.15557904541492462,,0.235743,0.289449,0.735707,3.42642,914.5000000000002,4.8386243386243395,891.0,4.714285714285714,3.88814,3.84908,19,55.68000030517578,9.0,AL,Max Fried,608331,13743,13743
TOR,Blue Jays,12,9,32,32,0,0,,183.0,766,153,79,73,22,213,69,,5,3.59449,1.21401,10.5272,3.39024,3.10516,1.06068,0.278871,0.089809,0.18906228989362717,,0.220956,0.287558,0.746616,3.54241,889.8,4.862295081967213,833.0,4.551912568306011,3.84956,3.27945,18,74.05999755859375,14.0,AL,Dylan Cease,656302,18525,18525
CIN,Reds,11,9,31,31,0,0,,180.0,735,142,80,75,24,212,58,,13,3.73569,1.11419,10.6135,2.91965,3.63519,1.22182,0.288233,0.0792896,0.20894335210323334,,0.213883,0.275081,0.72518,3.73776,878.5999999999999,4.88111111111111,799.0,4.438888888888889,3.84201,3.76363,17,45.790000915527344,18.0,NL,Hunter Greene,668881,22182,22182
HOU,Astros,13,8,31,31,0,0,,183.0,759,157,74,68,19,197,60,,7,3.34567,1.18896,9.66025,2.96559,3.25744,0.939281,0.258967,0.0795,0.17946678400039673,,0.227495,0.2904,0.751661,3.4458,905.3,4.946994535519125,861.0,4.704918032786885,3.7793,3.98734,19,39.849998474121094,21.0,AL,Hunter Brown,686613,25880,25880
BOS,Red Sox,12,10,31,31,0,0,,178.0,746,170,80,74,21,186,47,,5,3.7238,1.21555,9.37183,2.38576,3.92823,1.08326,0.248959,0.063377,0.18558233231306076,,0.244403,0.304373,0.733149,3.4984,832.9000000000001,4.679213483146068,833.0,4.679775280898877,3.6954,3.37466,17,118.97000122070312,3.0,AL,Sonny Gray,543243,12768,12768
