Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,156,553,672,171,88,28,1,53,112,126,108,7,161,6,5,0,,11,3,0.309575,0.424808,0.654828,1.07964,0.448705,0.161452,0.239122,0.675185,0.345253,3.8039,0.342928,-1.37809,,153.413,74.0107,-0.770706,-0.11003,-1.48812,9.17023,73.57120430469513,-7.0707056522369385,194.768,1344.2,8.616666666,1344.2,8.616666666,2.0999999046325684,0.19096334,OF,/players/aaron-judge/15640/stats/batting,9.0,AL,Aaron Judge,592450,15640,15640
SEA,Mariners,159,620,686,183,117,33,3,30,95,96,51,4,140,10,5,0,,30,7,0.295485,0.356056,0.503756,0.859812,0.366989,0.0750038,0.203994,0.367676,0.208271,5.75922,0.336941,0.640145,,111.095,30.0392,5.80509,1.89793,2.53808,7.12939,38.01638889312744,8.055087089538574,143.88,1020.0,6.415094339,1020.0,6.415094339,11.100000381469727,0.02555366,OF,/players/julio-rodriguez/23697/stats/batting,11.0,AL,Julio Rodríguez,677594,23697,23697
KCR,Royals,157,614,679,177,104,37,6,30,102,99,53,3,119,7,5,0,,35,10,0.288771,0.349335,0.514845,0.864179,0.36745,0.0778171,0.1753,0.443908,0.226074,6.61942,0.313474,2.12478,,110.216,29.9871,6.21914,1.62004,3.74482,6.99189,31.474345445632935,13.49413537979126,134.65,1019.2,6.491719745,1019.2,6.491719745,3.3499999046325684,0.02685624,SS,/players/bobby-witt-jr/25764/stats/batting,7.0,AL,Bobby Witt Jr.,677951,25764,25764
SEA,Mariners,159,552,637,139,75,26,1,38,85,98,75,4,159,6,4,0,,10,3,0.251765,0.344536,0.50614,0.850676,0.362384,0.117239,0.24894,0.470953,0.254374,3.47939,0.281409,-1.68041,,100.842,25.528,0.876924,-0.43751,-2.11792,6.97378,28.46389365196228,8.026924550533295,140.708,918.3,5.775471698,918.3,5.775471698,20.450000762939453,0.11726384,C,/players/cal-raleigh/21534/stats/batting,11.0,AL,Cal Raleigh,663728,21534,21534
LAD,Dodgers,157,581,679,170,85,29,6,49,118,119,89,6,162,5,5,0,,25,7,0.292239,0.387454,0.616822,1.00428,0.419063,0.130428,0.23849,0.546891,0.324583,6.52663,0.32277,0.0862368,,138.67,58.4406,0.0,0.889772,0.976008,6.69864,59.85686767101288,-16.975000381469727,173.166,1259.8,8.024203821,1259.8,8.024203821,1.0499999523162842,0.89809524,DH,/players/shohei-ohtani/19755/stats/batting,22.0,NL,Shohei Ohtani,660271,19755,19755
NYM,Mets,159,559,686,161,92,28,2,39,106,103,119,6,119,4,5,0,,22,7,0.287534,0.412504,0.552093,0.964597,0.40986,0.173051,0.17411,0.993917,0.264559,4.58288,0.300724,-0.719645,,134.974,53.9173,-6.88225,-0.124707,-0.844353,6.55608,55.78777331113815,-14.532245635986328,169.654,1193.0,7.503144654,1193.0,7.503144654,4.199999809265137,0.0202765,OF,/players/juan-soto/20123/stats/batting,25.0,NL,Juan Soto,665742,20123,20123
BAL,Orioles,156,589,672,165,96,34,7,27,104,91,72,3,145,6,5,0,,24,5,0.27929,0.360669,0.499491,0.86016,0.367806,0.106607,0.215388,0.494954,0.220201,6.86222,0.325272,1.60674,,109.274,29.8722,-1.6756,1.57563,3.18237,6.44642,34.35359597206116,5.524398446083069,139.356,992.9,6.364743589,992.9,6.364743589,14.600000381469727,0.04734848,SS,/players/gunnar-henderson/26289/stats/batting,2.0,AL,Gunnar Henderson,683002,26289,26289
ATL,Braves,151,554,651,162,99,28,2,32,95,93,84,4,131,8,5,0,,25,6,0.29151,0.389739,0.52325,0.912989,0.390303,0.129012,0.200819,0.64243,0.231739,5.12117,0.326796,1.37275,,117.75,40.8293,-2.71167,1.41694,2.78969,5.55119,43.28495264053345,-10.686674118041992,152.484,1053.3,6.975496688,1053.3,6.975496688,7.800000190734863,0.03935185,OF,/players/ronald-acuna-jr/18401/stats/batting,16.0,NL,Ronald Acuña Jr.,660670,18401,18401
CIN,Reds,156,601,672,161,94,32,8,26,103,88,62,3,180,4,5,1,,41,11,0.267675,0.337087,0.479923,0.81701,0.349301,0.0918819,0.267901,0.34297,0.212248,7.84548,0.336978,2.16878,,99.1778,19.7758,1.53774,2.83634,5.00513,5.27111,20.924371242523193,8.23774254322052,119.988,928.5,5.951923076,928.5,5.951923076,9.449999809265137,0.01179245,SS,/players/elly-de-la-cruz/26668/stats/batting,18.0,NL,Elly De La Cruz,682829,26668,26668
SDP,Padres,156,590,672,164,99,32,2,31,90,95,71,4,131,6,5,0,,26,6,0.277022,0.357731,0.492481,0.850212,0.364267,0.105085,0.195186,0.538382,0.215459,4.95608,0.306707,0.66621,,107.343,27.9413,3.25337,1.64239,2.3086,5.2659,33.257761001586914,-4.146630764007568,138.858,987.6,6.33076923,987.6,6.33076923,13.949999809265137,0.01783061,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29.0,NL,Fernando Tatis Jr.,665487,19709,19709
HOU,Astros,131,488,567,148,85,29,1,33,85,92,67,4,95,8,4,0,,5,2,0.302693,0.392346,0.569016,0.961362,0.406617,0.11811,0.16761,0.704669,0.266323,3.32989,0.315609,-0.936706,,110.067,43.0713,-0.214653,-0.717459,-1.65416,5.06018,41.93247091770172,-11.98965311050415,165.223,969.7,7.402290076,969.7,7.402290076,47.20000076293945,0.67669173,DH/OF,/players/yordan-alvarez/19556/stats/batting,21.0,AL,Yordan Alvarez,670541,19556,19556
TOR,Blue Jays,157,592,679,177,110,34,1,32,95,100,75,4,96,6,5,0,,6,3,0.299574,0.381819,0.522194,0.904013,0.386153,0.110938,0.141385,0.784655,0.22262,2.93947,0.310053,-0.507971,,120.526,40.2974,-1.27322,-1.19323,-1.7012,5.01411,39.23597490787506,-13.598219752311707,151.154,1050.3,6.689808917,1050.3,6.689808917,18.649999618530273,0.19917864,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14.0,AL,Vladimir Guerrero Jr.,665489,19611,19611
NYM,Mets,159,611,686,158,98,31,1,27,84,88,59,3,128,11,5,0,,26,6,0.257958,0.3323,0.444264,0.776564,0.335874,0.086262,0.1868,0.461789,0.186307,5.04788,0.28394,-0.593103,,93.7654,12.7092,1.6122,1.63742,1.04431,4.88582,16.46833574771881,8.46219515800476,118.971,865.8,5.445283018,865.8,5.445283018,17.450000762939453,0.01111111,SS,/players/francisco-lindor/12916/stats/batting,25.0,NL,Francisco Lindor,596019,12916,12916
CHC,Cubs,149,592,644,151,90,31,6,25,87,83,37,2,152,9,5,1,,37,10,0.255605,0.306979,0.452659,0.759638,0.32533,0.0569172,0.236302,0.240866,0.197054,7.36597,0.301302,1.1393,,82.5115,6.41797,10.8584,2.39579,3.53509,4.69967,11.35001540184021,13.15841555595398,110.239,793.0,5.322147651,793.0,5.322147651,32.95000076293945,0.00348432,OF,/players/pete-crow-armstrong/27769/stats/batting,17.0,NL,Pete Crow-Armstrong,691718,27769,27769
ARI,Diamondbacks,154,580,665,150,84,30,10,26,108,85,70,3,142,10,5,0,,36,8,0.25884,0.34606,0.478914,0.824974,0.353573,0.105169,0.213679,0.492179,0.220075,8.23703,0.297727,2.83124,,100.451,21.8765,2.57626,3.04407,5.87532,4.59199,27.00602388381958,-4.248737335205078,126.81,934.4,6.067532467,934.4,6.067532467,8.75,0.01532567,OF,/players/corbin-carroll/25878/stats/batting,15.0,NL,Corbin Carroll,682998,25878,25878
TEX,Rangers,130,492,560,135,81,25,1,28,74,82,59,3,103,5,4,0,,3,1,0.275126,0.356263,0.502057,0.85832,0.367033,0.105675,0.184317,0.57333,0.226932,2.75649,0.293648,-1.07758,,90.7102,24.5419,-1.88765,-0.703726,-1.78131,4.57378,23.817376255989075,1.612354040145874,138.784,800.3,6.156153846,800.3,6.156153846,105.75,0.03491495,SS,/players/corey-seager/13624/stats/batting,13.0,AL,Corey Seager,608369,13624,13624
TOR,Blue Jays,123,430,488,118,81,21,0,15,59,56,49,2,60,4,3,1,,1,0,0.273799,0.35041,0.42926,0.77967,0.339831,0.100317,0.124063,0.808596,0.155461,2.38457,0.287043,-1.79917,,68.2138,10.6001,-1.52589,-0.7588,-2.55797,4.5217,8.501580953598022,7.374109864234924,119.244,593.6,4.82601626,593.6,4.82601626,166.6999969482422,0.16698292,C,/players/alejandro-kirk/22581/stats/batting,14.0,AL,Alejandro Kirk,672386,22581,22581
