Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,16,7,32,32,0,0,,205.0,817,158,63,58,20,252,45,,8,2.54652,0.991299,11.0931,1.98953,5.57576,0.867611,0.308524,0.0553331,0.253190778195858,,0.206188,0.27999,0.796718,2.7015,1205.2,5.879024390243902,1110.0,5.414634146341464,6.21509,6.82269,23,5.909999847412109,6.0,AL,Tarik Skubal,669373,22267,22267
PIT,Pirates,16,7,32,32,0,0,,198.0,805,159,66,60,17,240,54,,8,2.73761,1.07137,10.9041,2.43314,4.48148,0.791055,0.2987,0.066652,0.23204754292964935,,0.213874,0.291567,0.779424,2.7871,1136.7000000000003,5.740909090909092,1063.0,5.3686868686868685,5.73596,6.3743,22,9.789999961853027,27.0,NL,Paul Skenes,694973,33677,33677
BOS,Red Sox,15,8,32,32,0,0,,197.0,793,159,70,64,19,242,52,,8,2.90421,1.07025,11.0197,2.37843,4.63318,0.875466,0.30493,0.0658144,0.23911578208208084,,0.217176,0.296593,0.768469,2.86354,1114.7000000000003,5.658375634517768,1042.0,5.289340101522843,5.6074,5.77701,22,9.9399995803833,3.0,AL,Garrett Crochet,676979,27463,27463
PHI,Phillies,15,8,32,32,0,0,,204.0,833,177,76,70,18,207,53,,8,3.09022,1.13019,9.14285,2.33329,3.91844,0.7799,0.248105,0.0633172,0.18478776514530182,,0.229503,0.291299,0.748527,3.12888,1059.0,5.1911764705882355,1017.0,4.985294117647059,5.15362,5.65116,21,26.239999771118164,26.0,NL,Cristopher Sánchez,650911,20778,20778
SFG,Giants,14,9,32,32,0,0,,205.0,852,192,81,74,17,201,48,,8,3.25159,1.17612,8.83294,2.11953,4.16741,0.755135,0.235732,0.0565656,0.1791662611067295,,0.241947,0.303544,0.738216,3.08998,1042.7,5.086341463414635,1038.0,5.0634146341463415,4.59642,4.58811,21,56.68000030517578,30.0,NL,Logan Webb,657277,17995,17995
CIN,Reds,14,8,31,31,0,0,,183.0,764,141,72,66,25,233,64,,8,3.24266,1.12446,11.4749,3.15652,3.63531,1.2235,0.305069,0.0839184,0.2211507335305214,,0.204447,0.268701,0.782476,3.53685,930.1,5.082513661202186,840.0,4.590163934426229,4.12639,4.82855,20,45.59000015258789,18.0,NL,Hunter Greene,668881,22182,22182
ATL,Braves,13,7,28,28,0,0,,166.0,675,132,61,56,19,201,48,,7,3.01939,1.08006,10.8714,2.58611,4.20377,1.00405,0.297581,0.0707892,0.22679200023412704,,0.212481,0.282488,0.772439,3.15477,888.5,5.352409638554217,820.0,4.9397590361445785,3.92882,4.56451,18,36.209999084472656,16.0,NL,Chris Sale,519242,10603,10603
SEA,Mariners,14,9,32,32,0,0,,200.0,821,167,76,70,25,214,46,,8,3.14412,1.06275,9.59107,2.05886,4.65843,1.12773,0.260177,0.0558508,0.20432629063725471,,0.217877,0.268766,0.767687,3.43724,1004.3,5.0215,941.0,4.705,3.86552,4.25509,21,40.18000030517578,11.0,AL,Bryan Woo,693433,30279,30279
NYY,Yankees,13,9,31,31,0,0,,188.0,785,164,76,69,18,184,59,,8,3.31909,1.18973,8.81336,2.85265,3.08954,0.86603,0.233983,0.075734,0.1582489311695099,,0.228163,0.282409,0.745899,3.50746,910.4,4.842553191489362,873.0,4.6436170212765955,3.84949,3.93224,19,56.0,9.0,AL,Max Fried,608331,13743,13743
HOU,Astros,13,9,31,31,0,0,,183.0,765,157,74,68,19,201,62,,8,3.35541,1.19601,9.91255,3.04407,3.25635,0.941045,0.26319,0.0808238,0.18236654251813889,,0.225564,0.290048,0.751513,3.43745,904.3,4.941530054644809,860.0,4.699453551912568,3.83347,3.97625,19,39.619998931884766,21.0,AL,Hunter Brown,686613,25880,25880
