Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ra_talent_sd,chance_ra_se,total_ra_se,q10,q20,q30,q40,q50,q60,q70,q80,q90,tt_q10,tt_q20,tt_q30,tt_q40,tt_q50,tt_q60,tt_q70,tt_q80,tt_q90,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,13.9773,8.9657,32.0,32.0,0.0,0.0,,199.765,797.146,160.076,68.4812,62.3852,20.3538,242.293,43.5449,0.3643,7.1193,2.81064,1.0193,10.916,1.96183,5.5642,0.917,0.30395,0.054626,0.24932409822940826,0.423339,0.214441,0.288781,0.771673,2.79477,1149.0,5.745,1071.0,5.355,5.85841,5.79614,22.5888,0.366646,0.677595,0.770431,4.1,3.68,3.41,3.19,2.99,2.81,2.63,2.43,2.18,3.57,3.38,3.26,3.16,3.06,2.97,2.88,2.77,2.63,6.300000190734863,6.0,AL,Tarik Skubal,669373.0,22267,22267
PIT,Pirates,12.9878,9.657,32.0,32.0,0.0,0.0,,193.982,785.032,157.56,68.8876,62.609,17.5014,236.902,51.5523,0.5024,7.1666,2.90482,1.078,10.9914,2.39183,4.59538,0.812,0.301774,0.065669,0.23610515892505646,0.444132,0.216931,0.296791,0.759571,2.77361,1100.4,5.6721649484536085,1033.0,5.324742268041237,5.69498,5.73886,21.3168,0.411848,0.700878,0.812926,4.27,3.82,3.53,3.3,3.1,2.91,2.72,2.51,2.25,3.74,3.53,3.39,3.27,3.17,3.07,2.96,2.85,2.69,10.300000190734863,27.0,NL,Paul Skenes,694973.0,33677,33677
BOS,Red Sox,13.5241,9.0285,32.0,32.0,0.0,0.0,,192.855,773.587,157.453,70.6555,64.5358,19.5212,238.812,49.7177,0.4928,6.0061,3.0117,1.07423,11.1447,2.32018,4.80336,0.911,0.308707,0.0642691,0.2444380670785904,0.455553,0.219335,0.300158,0.759088,2.84126,1084.0,5.616580310880829,1015.0,5.259067357512953,5.59022,5.38187,20.7574,0.404478,0.714551,0.821088,4.38,3.93,3.64,3.4,3.2,3.01,2.81,2.6,2.34,3.83,3.63,3.49,3.38,3.27,3.17,3.07,2.95,2.8,9.5,3.0,AL,Garrett Crochet,676979.0,27463,27463
PHI,Phillies,13.3992,9.4689,32.0,32.0,0.0,0.0,,198.055,813.033,183.566,77.5009,69.6007,17.6489,192.499,50.03,0.496,6.6823,3.16279,1.17945,8.74751,2.27346,3.84767,0.802,0.236766,0.061535,0.17523114383220673,0.544945,0.24271,0.303782,0.747269,3.20873,978.4,4.941414141414142,969.0,4.893939393939394,4.69059,4.98817,21.071,0.389458,0.728951,0.826466,4.61,4.17,3.87,3.64,3.43,3.23,3.04,2.82,2.55,4.03,3.84,3.71,3.6,3.5,3.4,3.3,3.19,3.04,32.400001525878906,26.0,NL,Cristopher Sánchez,650911.0,20778,20778
TEX,Rangers,12.0567,9.6213,30.78,30.78,0.0,0.0,,184.508,754.017,159.519,76.5843,71.0327,24.6831,214.298,41.394,0.4637,5.6295,3.46486,1.08891,10.4531,2.01913,5.17702,1.204,0.284208,0.054898,0.2293100655078888,0.378991,0.22563,0.288104,0.747362,3.31591,932.5,5.04054054054054,887.0,4.794594594594595,4.29941,3.66426,18.2698,0.481631,0.776782,0.913979,4.94,4.44,4.12,3.86,3.63,3.41,3.2,2.96,2.66,4.37,4.13,3.96,3.83,3.7,3.59,3.46,3.33,3.14,43.70000076293945,13.0,AL,Jacob deGrom,594798.0,10954,10954
KCR,Royals,11.8023,8.5514,29.16,29.16,0.0,0.0,,172.018,709.646,138.663,67.0725,61.6371,17.8325,210.402,62.177,0.5968,5.6254,3.22486,1.16755,11.0083,3.25311,3.38392,0.933,0.296489,0.0876169,0.20887190103530884,0.399122,0.216039,0.292137,0.760585,3.219,905.9999999999999,5.267441860465116,842.0,4.895348837209302,4.24964,4.34456,17.6262,0.442924,0.780372,0.897309,4.69,4.2,3.88,3.62,3.4,3.19,2.98,2.75,2.46,4.09,3.87,3.71,3.59,3.48,3.37,3.26,3.13,2.96,53.20000076293945,7.0,AL,Cole Ragans,666142.0,21846,21846
ATL,Braves,12.0356,7.5076,27.54,27.54,0.0,0.0,,168.535,685.938,139.972,65.0719,59.8595,18.0894,205.556,44.2697,0.5234,8.6113,3.19658,1.0932,10.977,2.36406,4.64328,0.966,0.299672,0.0645389,0.23513305187225342,0.416999,0.221105,0.297702,0.749889,3.03244,918.2,5.433136094674556,864.0,5.112426035502959,4.15163,4.31631,17.7203,0.426194,0.784849,0.893101,4.65,4.16,3.84,3.59,3.36,3.16,2.95,2.72,2.43,4.03,3.82,3.68,3.56,3.45,3.34,3.23,3.11,2.95,31.700000762939453,16.0,NL,Chris Sale,519242.0,10603,10603
SFG,Giants,12.4862,10.5042,32.0,32.0,0.0,0.0,,199.392,830.798,193.849,81.8724,73.5921,16.8154,187.221,46.9177,0.7552,6.0507,3.32175,1.20751,8.45066,2.11774,3.99042,0.759,0.225351,0.0564731,0.1688780076801777,0.546891,0.249218,0.308532,0.731473,3.1505,974.1000000000003,4.894974874371861,989.0,4.969849246231155,4.06218,3.91161,20.729,0.381194,0.743486,0.835511,4.8,4.35,4.05,3.81,3.6,3.41,3.21,2.99,2.71,4.19,4.01,3.88,3.77,3.68,3.58,3.48,3.37,3.22,55.0,30.0,NL,Logan Webb,657277.0,17995,17995
BOS,Red Sox,11.472,10.0456,30.78,30.78,0.0,0.0,,181.357,756.916,171.091,80.7047,74.2276,21.2188,189.837,47.6895,0.5011,5.6572,3.68361,1.20635,9.42081,2.36663,3.98068,1.053,0.250803,0.063005,0.18779798597097397,0.450969,0.243175,0.3043,0.730273,3.44508,854.5000000000001,4.720994475138122,850.0,4.696132596685083,3.87328,3.46659,17.017,0.418542,0.808361,0.910288,5.21,4.72,4.39,4.13,3.91,3.69,3.47,3.23,2.93,4.55,4.35,4.21,4.09,3.98,3.88,3.77,3.65,3.49,120.0999984741211,3.0,AL,Sonny Gray,543243.0,12768,12768
TOR,Blue Jays,12.3127,9.8201,32.0,32.0,0.0,0.0,,184.857,777.691,157.24,80.0197,74.0154,22.4499,216.008,67.6187,1.179,5.8902,3.60353,1.21639,10.5166,3.2921,3.19451,1.093,0.277756,0.086948,0.19080791622400284,0.382153,0.223294,0.28942,0.748797,3.56984,900.2,4.865945945945946,849.0,4.589189189189189,3.79975,3.26909,17.3738,0.404785,0.791022,0.888576,5.07,4.59,4.27,4.02,3.8,3.59,3.38,3.14,2.85,4.43,4.23,4.09,3.98,3.88,3.77,3.67,3.55,3.39,73.4000015258789,14.0,AL,Dylan Cease,656302.0,18525,18525
