Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,UPURL,positionDB,teamid,playerTeamId,League,PlayerName,xMLBAMID,playerids,playerid
PIT,Pirates,7,4,17,17,0,0,,100.0,398,79,34,31,9,118,24,,4,2.81191,1.03377,10.6147,2.17693,4.87599,0.770136,0.296186,0.0607438,0.2354426048696041,,0.213915,0.289842,0.759508,2.69785,575.9,5.7589999999999995,535.0,5.35,3.07447,3.07861,11,9.649999618530273,/players/paul-skenes/33677/stats/pitching,P,27.0,27.0,NL,Paul Skenes,694973,33677,33677
PHI,Phillies,7,4,17,17,0,0,,105.0,426,92,38,35,8,108,24,,3,3.00283,1.1088,9.23399,2.08386,4.4312,0.712474,0.253389,0.057183,0.1962060071527958,,0.231634,0.297563,0.747656,2.86663,574.4000000000001,5.470476190476191,556.0,5.295238095238095,2.97134,2.95835,11,24.75,/players/cristopher-sanchez/20778/stats/pitching,P,26.0,26.0,NL,Cristopher Sánchez,650911,20778,20778
DET,Tigers,7,3,15,15,0,0,,93.0,367,73,31,28,9,111,19,,3,2.74036,0.981466,10.6989,1.79139,5.97239,0.841762,0.302864,0.0507107,0.25215334817767143,,0.211899,0.285833,0.764827,2.64025,543.7,5.846236559139785,504.0,5.419354838709677,2.93275,2.96567,10,7.019999980926514,/players/tarik-skubal/22267/stats/pitching,P,6.0,6.0,AL,Tarik Skubal,669373,22267,22267
SFG,Giants,7,5,16,16,0,0,,101.0,418,97,41,38,8,93,24,,3,3.3668,1.21045,8.35174,2.18331,3.82527,0.676158,0.223518,0.0584319,0.16508575156331062,,0.249724,0.310772,0.727273,3.05248,501.8000000000001,4.968316831683169,506.0,5.00990099009901,2.39454,2.15291,10,57.189998626708984,/players/logan-webb/17995/stats/pitching,P,30.0,30.0,NL,Logan Webb,657277,17995,17995
ATL,Braves,7,4,15,15,0,0,,92.0,374,76,35,32,9,111,25,,6,3.17626,1.10054,10.8982,2.42018,4.50306,0.918205,0.297115,0.0659808,0.23113460838794708,,0.221992,0.299844,0.748594,2.9964,501.5,5.451086956521739,472.0,5.130434782608695,2.35045,2.3494,9,39.36000061035156,/players/chris-sale/10603/stats/pitching,P,16.0,16.0,NL,Chris Sale,519242,10603,10603
TOR,Blue Jays,6,5,16,16,0,0,,91.0,376,74,39,36,10,113,35,,3,3.53332,1.19616,11.2293,3.47079,3.23538,0.980479,0.301453,0.0931739,0.20827879011631012,,0.217851,0.296791,0.737256,3.28011,470.0,5.164835164835165,437.0,4.802197802197802,2.26465,1.8706,9,74.7699966430664,/players/dylan-cease/18525/stats/pitching,P,14.0,14.0,AL,Dylan Cease,656302,18525,18525
PHI,Phillies,7,4,16,16,0,0,,97.0,393,79,39,36,12,108,26,,4,3.36682,1.08374,10.0385,2.39278,4.19535,1.07348,0.275634,0.0656998,0.20993396639823914,,0.218997,0.279443,0.738606,3.35972,490.80000000000007,5.05979381443299,455.0,4.690721649484536,2.22902,2.28746,10,110.48999786376953,/players/zack-wheeler/10310/stats/pitching,P,26.0,26.0,NL,Zack Wheeler,554430,10310,10310
PHI,Phillies,6,5,17,17,0,0,,98.0,405,85,43,39,11,108,30,,3,3.61332,1.17449,9.8724,2.78077,3.55025,1.04526,0.26637,0.0750287,0.1913416013121605,,0.229244,0.292445,0.729422,3.44758,485.9000000000001,4.958163265306124,464.0,4.73469387755102,2.16511,1.91526,10,70.58999633789062,/players/jesus-luzardo/19959/stats/pitching,P,26.0,26.0,NL,Jesús Luzardo,666200,19959,19959
TEX,Rangers,6,4,15,15,0,0,,88.0,349,72,36,33,12,101,20,,2,3.40633,1.04336,10.3311,2.03563,5.07514,1.21546,0.288394,0.0568248,0.2315692901611328,,0.219248,0.279077,0.739757,3.32324,452.40000000000003,5.1409090909090915,420.0,4.7727272727272725,2.06483,1.96636,9,50.0099983215332,/players/jacob-degrom/10954/stats/pitching,P,13.0,13.0,AL,Jacob deGrom,594798,10954,10954
BOS,Red Sox,6,5,16,16,0,0,,96.0,403,91,43,39,10,89,28,,3,3.66751,1.24137,8.26773,2.63312,3.1399,0.906921,0.219572,0.0699295,0.14964216947555542,,0.245879,0.298666,0.725655,3.55157,435.80000000000007,4.539583333333334,435.0,4.53125,2.00317,1.98783,9,183.97999572753906,/players/ranger-suarez/17277/stats/pitching,P,3.0,3.0,AL,Ranger Suarez,624133,17277,17277
