Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,122,424,529,120,62,21,1,37,91,93,96,18,133,6,3,1,,9,3,0.282603,0.418584,0.594368,1.01295,0.419537,0.180978,0.250615,0.722136,0.311765,4.04402,0.322474,-0.821453,,108.181,45.7093,1.88025,-0.221344,-1.0428,6.09695,45.4915007352829,-4.112957835197449,174.675,977.1,8.009016393,977.1,8.009016393,1.850000023841858,0.31666667,OF,/players/aaron-judge/15640/stats/batting,9.0,AL,Aaron Judge,592450,15640,15640
KCR,Royals,130,506,562,147,87,33,5,22,82,76,45,6,95,5,4,1,,29,9,0.289788,0.351717,0.503591,0.855309,0.36297,0.0808798,0.169947,0.475911,0.213803,6.86191,0.318055,1.36085,,89.1237,22.7614,7.0796,1.44398,2.80483,5.74414,23.698805570602417,13.097190856933594,131.564,828.1,6.37,828.1,6.37,3.0999999046325684,0.02150538,SS,/players/bobby-witt-jr/25764/stats/batting,7.0,AL,Bobby Witt Jr.,677951,25764,25764
SEA,Mariners,129,447,519,101,52,18,0,31,71,80,64,7,142,4,3,1,,6,2,0.226286,0.326667,0.477795,0.804462,0.341603,0.123436,0.272716,0.452619,0.251509,3.23006,0.251772,-1.08237,,73.4047,12.038,4.24281,-0.376697,-1.45907,4.92432,14.69682490825653,10.068733215332031,126.393,672.0,5.209302325,672.0,5.209302325,18.729999542236328,0.24210526,C,/players/cal-raleigh/21534/stats/batting,11.0,AL,Cal Raleigh,663728,21534,21534
NYM,Mets,127,435,550,118,69,20,1,28,89,79,107,8,96,3,3,1,,17,5,0.27129,0.416045,0.518599,0.934645,0.399656,0.195241,0.174802,1.11693,0.247309,4.7896,0.285653,-0.446202,,103.67,38.6759,-4.86043,0.32683,-0.119372,4.8562,40.73332712799311,-11.581104278564453,162.664,901.0,7.094488188,901.0,7.094488188,4.650000095367432,0.04651163,OF,/players/juan-soto/20123/stats/batting,25.0,NL,Juan Soto,665742,20123,20123
BAL,Orioles,129,488,556,129,75,25,4,24,82,72,58,3,124,5,3,1,,19,4,0.263751,0.345335,0.480482,0.825817,0.354138,0.103788,0.222872,0.465682,0.216731,6.24056,0.304622,1.13185,,84.2191,18.5409,-1.66243,1.04325,2.1751,4.62772,21.790480136871338,4.293124079704285,129.941,769.2,5.962790697,769.2,5.962790697,12.510000228881836,0.05524862,SS,/players/gunnar-henderson/26289/stats/batting,2.0,AL,Gunnar Henderson,683002,26289,26289
LAD,Dodgers,129,467,557,129,67,23,4,36,102,89,80,15,136,5,4,2,,20,4,0.276691,0.385474,0.570183,0.955657,0.397127,0.143879,0.243267,0.591446,0.293492,6.40346,0.312664,0.0607242,,103.918,38.0508,0.0,1.29945,1.36018,4.54209,39.77240872383118,-13.936264991760254,158.139,965.1,7.481395348,965.1,7.481395348,1.2699999809265137,0.91176471,DH,/players/shohei-ohtani/19755/stats/batting,22.0,NL,Shohei Ohtani,660271,19755,19755
SEA,Mariners,129,505,559,135,87,23,2,23,75,78,43,4,124,8,4,0,,20,6,0.268436,0.332917,0.458615,0.791532,0.339842,0.0763419,0.221382,0.344843,0.190179,5.36592,0.310929,0.350333,,78.2025,12.1567,4.45984,0.856147,1.20648,4.43453,17.795076608657837,6.29317033290863,125.18,719.5,5.577519379,719.5,5.577519379,9.489999771118164,0.00526316,OF,/players/julio-rodriguez/23697/stats/batting,11.0,AL,Julio Rodríguez,677594,23697,23697
SDP,Padres,130,486,562,131,83,25,1,23,84,71,64,4,113,5,4,2,,22,6,0.269761,0.35847,0.465691,0.824161,0.355296,0.114301,0.201727,0.566615,0.195931,5.53629,0.306178,0.419152,,85.6243,19.262,5.72929,1.16212,1.58127,4.31556,23.357163667678833,0.12527751922607422,132.713,774.0,5.953846153,774.0,5.953846153,14.010000228881836,0.01086957,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29.0,NL,Fernando Tatis Jr.,665487,19709,19709
CIN,Reds,129,493,556,131,77,26,5,23,82,78,56,4,146,3,3,1,,33,9,0.265486,0.341099,0.477482,0.818581,0.349759,0.100065,0.262662,0.380964,0.211996,7.09474,0.32936,1.44098,,82.2427,16.5646,0.84539,2.13989,3.58087,4.3027,16.955423593521118,6.594155490398407,120.301,775.2,6.009302325,775.2,6.009302325,8.449999809265137,0.02105263,SS,/players/elly-de-la-cruz/26668/stats/batting,18.0,NL,Elly De La Cruz,682829,26668,26668
CLE,Guardians,128,487,553,131,77,28,2,24,77,78,59,15,67,3,3,0,,28,6,0.269767,0.35068,0.484176,0.834856,0.350376,0.106841,0.120822,0.884284,0.214409,5.74269,0.268743,-0.0105942,,82.1361,16.7642,1.35681,2.41408,2.40349,4.21068,20.067785024642944,2.0290350914001465,127.089,787.2,6.15,787.2,6.15,6.28000020980835,0.16842105,3B,/players/jose-ramirez/13510/stats/batting,5.0,AL,José Ramírez,608070,13510,13510
