Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,UPURL,positionDB,teamid,playerTeamId,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,5,3,11,11,0,0,,69.0,273,55,23,21,7,84,13,,3,2.7455,0.986491,10.9361,1.70262,6.42306,0.882869,0.3068,0.0477654,0.2590348571538925,,0.213521,0.288824,0.768828,2.62475,401.5,5.818840579710145,374.0,5.420289855072464,2.15614,2.17298,8,7.019999980926514,/players/tarik-skubal/22267/stats/pitching,P,6,6.0,AL,Tarik Skubal,669373,22267,22267
PHI,Phillies,5,3,12,12,0,0,,78.0,317,70,29,26,7,79,18,,2,3.07155,1.12957,9.18794,2.09215,4.39162,0.789166,0.250238,0.0569808,0.19325732812285423,,0.234992,0.298785,0.748385,2.98442,407.1,5.219230769230769,397.0,5.089743589743589,2.15365,2.18995,8,24.75,/players/cristopher-sanchez/20778/stats/pitching,P,26,26.0,NL,Cristopher Sánchez,650911,20778,20778
PIT,Pirates,5,3,12,12,0,0,,71.0,287,57,25,23,7,84,18,,3,2.8862,1.06427,10.7066,2.31717,4.62053,0.840402,0.294304,0.0636948,0.23060918599367142,,0.215581,0.290071,0.765027,2.83382,396.09999999999997,5.57887323943662,369.0,5.197183098591549,2.11204,2.14929,8,9.649999618530273,/players/paul-skenes/33677/stats/pitching,P,27,27.0,NL,Paul Skenes,694973,33677,33677
PHI,Phillies,5,3,12,12,0,0,,72.0,292,60,28,26,8,81,19,,3,3.26259,1.10256,10.1371,2.36566,4.28512,0.995531,0.276077,0.0644268,0.21164988726377487,,0.222442,0.287272,0.746683,3.20023,374.4000000000001,5.200000000000001,352.0,4.888888888888889,1.84923,1.87627,7,110.48999786376953,/players/zack-wheeler/10310/stats/pitching,P,26,26.0,NL,Zack Wheeler,554430,10310,10310
ATL,Braves,5,3,12,12,0,0,,68.0,279,58,26,24,7,82,18,,4,3.13281,1.10679,10.7837,2.36111,4.56724,0.901073,0.293209,0.0641984,0.22901085019111633,,0.224637,0.302468,0.753258,2.98737,364.3,5.357352941176471,347.0,5.102941176470588,1.78622,1.77486,7,39.36000061035156,/players/chris-sale/10603/stats/pitching,P,16,16.0,NL,Chris Sale,519242,10603,10603
PHI,Phillies,5,4,12,12,0,0,,72.0,298,62,31,28,8,83,23,,3,3.51633,1.17512,10.35,2.85083,3.63053,1.02906,0.277535,0.0764446,0.20108995586633682,,0.226472,0.294569,0.738586,3.3471,361.2000000000001,5.016666666666668,344.0,4.777777777777778,1.72887,1.54548,7,70.58999633789062,/players/jesus-luzardo/19959/stats/pitching,P,26,26.0,NL,Jesús Luzardo,666200,19959,19959
TOR,Blue Jays,5,3,12,12,0,0,,68.0,282,53,27,25,7,86,27,,2,3.31105,1.18634,11.4458,3.5963,3.18265,0.927844,0.304745,0.0957518,0.20899276435375214,,0.21013,0.288551,0.754799,3.18406,364.3,5.357352941176471,334.0,4.911764705882353,1.72524,1.59336,7,74.7699966430664,/players/dylan-cease/18525/stats/pitching,P,14,14.0,AL,Dylan Cease,656302,18525,18525
SFG,Giants,5,4,12,12,0,0,,74.0,310,72,31,28,6,67,18,,3,3.38114,1.20962,8.10178,2.21059,3.66498,0.730304,0.215909,0.0589114,0.15699750930070877,,0.247862,0.303604,0.727099,3.19497,357.6000000000001,4.832432432432434,363.0,4.905405405405405,1.64075,1.49915,7,57.189998626708984,/players/logan-webb/17995/stats/pitching,P,30,30.0,NL,Logan Webb,657277,17995,17995
LAD,Dodgers,5,3,11,11,0,0,,65.0,264,55,27,25,7,68,17,,2,3.4602,1.11815,9.39395,2.42034,3.88125,0.991352,0.256144,0.0659952,0.1901489868760109,,0.224976,0.282002,0.724553,3.34528,330.9,5.09076923076923,313.0,4.815384615384615,1.59969,1.45283,6,26.639999389648438,/players/yoshinobu-yamamoto/33825/stats/pitching,P,22,22.0,NL,Yoshinobu Yamamoto,808967,33825,33825
MIL,Brewers,5,3,11,11,0,0,,64.0,262,47,25,23,7,85,24,,4,3.23473,1.12363,11.9681,3.44278,3.4763,0.962657,0.323813,0.0931486,0.23066415637731552,,0.202715,0.285764,0.752349,3.18367,351.3,5.4890625,315.0,4.921875,1.59783,1.58127,7,114.13999938964844,/players/jacob-misiorowski/31623/stats/pitching,P,23,23.0,NL,Jacob Misiorowski,694819,31623,31623
