Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,125,446,541,132,67,21,1,43,91,105,87,5,135,5,3,0,,11,2,0.296131,0.413082,0.635846,1.04893,0.437202,0.16036,0.24893,0.644195,0.339715,4.12551,0.327855,-0.590672,,118.375,54.4943,3.73066,0.203814,-0.386858,7.29114,54.95113131403923,-2.313786029815674,186.844,1055.3,8.4424,1055.3,8.4424,1.850000023841858,0.3220339,OF,/players/aaron-judge/15640/stats/batting,9.0,AL,Aaron Judge,592450,15640,15640
KCR,Royals,132,516,570,158,93,33,6,27,92,88,44,3,94,5,4,0,,32,9,0.306128,0.364093,0.54652,0.910613,0.385554,0.0773011,0.165251,0.46778,0.240393,7.08172,0.32856,0.921633,,100.906,33.553,8.13744,1.80898,2.73061,6.98504,34.38834357261658,14.24484634399414,147.121,935.1,7.084090909,935.1,7.084090909,3.0999999046325684,0.02173913,SS,/players/bobby-witt-jr/25764/stats/batting,7.0,AL,Bobby Witt Jr.,677951,25764,25764
LAD,Dodgers,132,488,570,140,70,24,5,41,103,102,74,5,138,4,4,0,,20,5,0.286795,0.382502,0.610138,0.99264,0.41471,0.128951,0.241822,0.533249,0.323343,6.43343,0.315225,0.0385888,,114.399,47.0465,0.0,0.8863,0.924889,5.42875,48.34098440408707,-14.250617027282715,170.184,1037.5,7.859848484,1037.5,7.859848484,1.2699999809265137,0.91044776,DH,/players/shohei-ohtani/19755/stats/batting,22.0,NL,Shohei Ohtani,660271,19755,19755
NYM,Mets,125,438,541,124,72,21,1,30,87,83,96,5,90,3,4,0,,15,5,0.283699,0.412816,0.541744,0.95456,0.406759,0.17799,0.166326,1.07013,0.258045,4.3439,0.293386,-0.289502,,105.012,41.1314,-1.74827,-0.0269407,-0.316443,5.41256,42.954515427351,-8.044562935829163,167.529,916.5,7.332,916.5,7.332,4.650000095367432,0.03529412,OF,/players/juan-soto/20123/stats/batting,25.0,NL,Juan Soto,665742,20123,20123
BAL,Orioles,131,496,564,136,79,28,5,24,90,82,59,3,128,5,4,0,,19,4,0.274572,0.354669,0.496486,0.851155,0.363958,0.104217,0.22622,0.460687,0.221914,6.68234,0.3225,0.717204,,89.9736,23.3151,-1.95474,1.20474,1.92194,5.10061,26.327584505081177,4.089699864387512,136.705,817.8,6.242748091,817.8,6.242748091,12.510000228881836,0.05586592,SS,/players/gunnar-henderson/26289/stats/batting,2.0,AL,Gunnar Henderson,683002,26289,26289
SDP,Padres,133,505,574,137,83,26,1,27,78,80,59,3,119,5,4,0,,24,5,0.270405,0.350625,0.484646,0.835271,0.358185,0.103537,0.208108,0.497516,0.214241,5.14244,0.302504,0.294689,,88.8882,21.0402,9.3008,1.79591,2.09059,4.95008,25.70099186897278,3.571323871612549,134.692,820.7,6.170676691,820.7,6.170676691,14.010000228881836,0.01111111,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29.0,NL,Fernando Tatis Jr.,665487,19709,19709
SEA,Mariners,132,465,531,109,59,21,1,29,69,81,58,3,140,4,4,0,,7,2,0.235062,0.324004,0.470062,0.794066,0.340401,0.10985,0.263495,0.416894,0.235,3.6592,0.267813,-0.706665,,74.5545,11.7931,8.82166,-0.0893424,-0.796007,4.9405,15.20860880613327,14.779994010925293,125.565,678.3,5.138636363,678.3,5.138636363,18.729999542236328,0.23529412,C,/players/cal-raleigh/21534/stats/batting,11.0,AL,Cal Raleigh,663728,21534,21534
SEA,Mariners,132,515,572,143,92,25,2,23,78,78,44,3,125,8,4,0,,23,6,0.27661,0.340485,0.469661,0.810146,0.347684,0.0770871,0.218327,0.353081,0.193051,5.52669,0.321041,0.269601,,83.6196,16.0728,2.04221,1.41282,1.68243,4.69615,22.287869930267334,3.9172078371047974,130.582,768.8,5.824242424,768.8,5.824242424,9.489999771118164,0.00534759,OF,/players/julio-rodriguez/23697/stats/batting,11.0,AL,Julio Rodríguez,677594,23697,23697
TOR,Blue Jays,133,501,574,155,96,30,1,28,84,90,64,4,76,5,4,0,,6,2,0.309516,0.390231,0.540644,0.930876,0.396272,0.110926,0.132665,0.836135,0.231128,3.20175,0.3163,-0.220733,,106.645,38.7966,-2.23182,-0.793772,-1.0145,4.65455,38.323153018951416,-12.612528562545776,158.125,935.7,7.035338345,935.7,7.035338345,18.049999237060547,0.14285714,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14.0,AL,Vladimir Guerrero Jr.,665489,19611,19611
ATL,Braves,126,463,543,134,83,23,2,27,83,81,68,4,107,7,4,0,,26,7,0.290253,0.38711,0.521269,0.90838,0.388335,0.125729,0.19734,0.637118,0.231016,5.46475,0.323241,0.692413,,97.2582,33.1576,-1.12688,1.30783,2.00024,4.63758,34.87947726249695,-7.606051206588745,151.136,874.1,6.937301587,874.1,6.937301587,5.260000228881836,0.04098361,OF,/players/ronald-acuna-jr/18401/stats/batting,16.0,NL,Ronald Acuña Jr.,660670,18401,18401
HOU,Astros,103,380,443,116,65,23,1,28,71,79,54,4,73,6,3,0,,4,1,0.305829,0.397608,0.591077,0.988684,0.41621,0.12121,0.163897,0.739553,0.285248,3.48657,0.312402,-0.40127,,89.5134,37.1301,0.956603,-0.429178,-0.830449,4.48635,36.702563762664795,-8.126730859279633,171.831,790.0,7.669902912,790.0,7.669902912,33.38999938964844,0.71621622,DH/OF,/players/yordan-alvarez/19556/stats/batting,21.0,AL,Yordan Alvarez,670541,19556,19556
TEX,Rangers,110,418,476,114,68,21,0,25,64,72,50,2,88,4,3,0,,3,1,0.272844,0.35377,0.50169,0.85546,0.36568,0.105159,0.185099,0.568124,0.228845,2.97325,0.289665,-0.486421,,76.5808,20.3378,1.72406,-0.502551,-0.988972,4.29724,20.247072219848633,5.3549206256866455,137.852,681.2,6.192727272,681.2,6.192727272,95.08999633789062,0.03937008,SS,/players/corey-seager/13624/stats/batting,13.0,AL,Corey Seager,608369,13624,13624
ARI,Diamondbacks,125,470,539,125,69,25,10,20,97,69,58,3,114,8,4,0,,28,6,0.266288,0.353436,0.492516,0.845953,0.361463,0.106855,0.212173,0.503622,0.226228,8.54684,0.309525,1.16026,,84.8235,21.1722,5.28626,2.52851,3.68877,4.28362,24.256789445877075,-0.3163628578186035,132.215,781.9,6.2552,781.9,6.2552,14.100000381469727,0.03592814,OF,/players/corbin-carroll/25878/stats/batting,15.0,NL,Corbin Carroll,682998,25878,25878
MIL,Brewers,130,456,521,121,78,25,1,17,66,66,58,2,102,3,4,0,,5,1,0.265285,0.349577,0.436231,0.785807,0.341601,0.110996,0.195257,0.568464,0.170945,3.24911,0.304171,-0.279089,,73.6744,12.0816,5.09604,-0.556622,-0.835712,4.16105,11.735550820827484,11.586621284484863,120.348,649.3,4.994615384,649.3,4.994615384,56.560001373291016,0.14204545,C,/players/william-contreras/20503/stats/batting,23.0,NL,William Contreras,661388,20503,20503
CIN,Reds,131,507,564,133,76,27,6,24,84,77,50,2,158,3,4,1,,34,9,0.262055,0.329902,0.479676,0.809578,0.345804,0.0893229,0.28021,0.318771,0.21762,7.53148,0.331576,0.915709,,81.6584,15.0,0.820501,2.35202,3.26773,4.13954,15.030091762542725,6.655068635940552,117.592,774.3,5.910687022,774.3,5.910687022,8.449999809265137,0.0212766,SS,/players/elly-de-la-cruz/26668/stats/batting,18.0,NL,Elly De La Cruz,682829,26668,26668
CLE,Guardians,131,501,566,132,81,28,2,20,74,73,57,2,70,4,5,0,,32,6,0.263474,0.339912,0.448756,0.788668,0.340507,0.0999189,0.123702,0.807741,0.185282,5.92164,0.269704,-0.0389187,,79.4691,12.6115,3.70533,3.06222,3.0233,4.13774,16.555342197418213,4.392834186553955,120.291,745.8,5.69312977,745.8,5.69312977,6.28000020980835,0.1657754,3B,/players/jose-ramirez/13510/stats/batting,5.0,AL,José Ramírez,608070,13510,13510
TBR,Rays,130,516,562,143,85,25,3,30,76,85,38,3,109,4,4,0,,4,1,0.276145,0.327567,0.507506,0.835073,0.354304,0.0676853,0.192934,0.350821,0.231361,3.97459,0.294847,-0.0339123,,85.2831,18.8339,-0.127129,-0.527924,-0.561836,3.94578,17.817072093486786,1.3739512711763382,127.728,787.2,6.055384615,787.2,6.055384615,16.479999542236328,0.03314917,3B,/players/junior-caminero/28163/stats/batting,12.0,AL,Junior Caminero,691406,28163,28163
LAD,Dodgers,126,473,547,127,75,25,2,25,78,80,66,3,84,3,4,0,,20,3,0.268692,0.35916,0.48706,0.84622,0.363118,0.121412,0.15451,0.785783,0.218368,5.42022,0.277796,0.0134656,,86.7893,22.2139,1.28769,1.86511,1.87858,3.89472,24.446908950805664,-4.5678675174713135,134.842,793.7,6.299206349,793.7,6.299206349,13.130000114440918,0.12025316,OF,/players/kyle-tucker/18345/stats/batting,22.0,NL,Kyle Tucker,663656,18345,18345
ATL,Braves,128,498,554,135,80,26,1,27,76,85,45,3,136,7,4,0,,3,1,0.270798,0.337441,0.492739,0.83018,0.354548,0.0808313,0.244968,0.329967,0.221941,3.54709,0.317583,-0.0440261,,84.1479,18.6688,-1.2793,-0.766281,-0.810307,3.7395,17.574137926101685,0.5332022905349731,127.991,751.8,5.8734375,751.8,5.8734375,59.36000061035156,0.0,3B,/players/austin-riley/18360/stats/batting,16.0,NL,Austin Riley,663586,18360,18360
PHI,Phillies,129,483,558,131,75,29,1,27,77,86,67,3,118,4,4,0,,10,3,0.271778,0.362805,0.501892,0.864697,0.370082,0.120234,0.211458,0.568597,0.230114,3.84151,0.305013,0.0967772,,91.8124,25.8483,1.36742,-0.171101,-0.074324,3.54276,24.73350489139557,-8.685665369033813,137.493,817.8,6.339534883,817.8,6.339534883,47.900001525878906,0.01898734,OF,/players/bryce-harper/11579/stats/batting,26.0,NL,Bryce Harper,547180,11579,11579
ARI,Diamondbacks,123,469,533,125,77,26,2,21,72,70,54,2,92,5,4,0,,5,1,0.266888,0.346304,0.461887,0.808191,0.348418,0.101249,0.172954,0.585409,0.194999,3.99786,0.289943,-0.0475317,,78.2487,15.2969,2.03017,-0.396999,-0.44453,3.53646,14.254797041416168,2.579866051673889,123.279,698.9,5.682113821,698.9,5.682113821,32.63999938964844,0.17449664,2B,/players/ketel-marte/13613/stats/batting,15.0,NL,Ketel Marte,606466,13613,13613
DET,Tigers,126,484,542,132,80,25,4,24,78,77,51,3,142,4,4,0,,6,2,0.273577,0.345489,0.48956,0.835049,0.357081,0.0945662,0.261683,0.361377,0.215982,4.8987,0.337022,0.00267128,,83.492,19.3915,3.00424,-0.499937,-0.497266,3.52885,18.859004199504852,-3.058262586593628,130.273,746.9,5.927777777,746.9,5.927777777,78.4800033569336,0.13612565,OF,/players/riley-greene/25976/stats/batting,6.0,AL,Riley Greene,682985,25976,25976
CHC,Cubs,125,496,541,125,75,25,5,19,73,68,31,1,133,8,4,2,,29,8,0.251228,0.303016,0.439149,0.742165,0.31862,0.0566932,0.246224,0.230251,0.187921,7.37949,0.302836,0.467669,,66.3239,2.44291,8.54223,1.79749,2.26516,3.51405,5.8808205127716064,10.473097681999207,105.643,633.3,5.0664,633.3,5.0664,32.939998626708984,0.00546448,OF,/players/pete-crow-armstrong/27769/stats/batting,17.0,NL,Pete Crow-Armstrong,691718,27769,27769
