Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,UPURL,positionDB,teamid,playerTeamId,League,PlayerName,xMLBAMID,playerids,playerid
PHI,Phillies,8,4,17,17,0,0,,106.0,436,91,37,34,9,113,26,,4,2.89361,1.10311,9.54078,2.18772,4.36105,0.7476,0.258558,0.0592879,0.19926971569657326,,0.225444,0.290815,0.761994,2.92117,573.1,5.406603773584906,549.0,5.179245283018868,3.01714,3.19082,11,24.75,/players/cristopher-sanchez/20778/stats/pitching,P,26.0,26.0,NL,Cristopher Sánchez,650911,20778,20778
PIT,Pirates,7,4,17,17,0,0,,99.0,400,82,35,32,9,117,25,,4,2.90942,1.07825,10.5883,2.28196,4.64001,0.838798,0.292188,0.0629714,0.22921664267778397,,0.221036,0.29719,0.765134,2.85073,555.7,5.613131313131314,525.0,5.303030303030303,2.84627,2.91183,11,9.649999618530273,/players/paul-skenes/33677/stats/pitching,P,27.0,27.0,NL,Paul Skenes,694973,33677,33677
DET,Tigers,7,3,15,15,0,0,,96.0,378,76,31,29,9,111,20,,4,2.70161,0.999021,10.4714,1.86844,5.60434,0.878662,0.294554,0.0525582,0.2419954389333725,,0.213739,0.284153,0.778301,2.79001,552.1,5.751041666666667,513.0,5.34375,2.81922,3.16894,10,7.019999980926514,/players/tarik-skubal/22267/stats/pitching,P,6.0,6.0,AL,Tarik Skubal,669373,22267,22267
ATL,Braves,7,4,15,15,0,0,,91.0,374,73,32,29,10,111,26,,4,2.88578,1.08047,10.9796,2.53351,4.33373,0.942477,0.297769,0.0687097,0.2290593758225441,,0.211809,0.283663,0.781979,3.00192,492.59999999999997,5.413186813186813,457.0,5.021978021978022,2.38282,2.64618,10,39.36000061035156,/players/chris-sale/10603/stats/pitching,P,16.0,16.0,NL,Chris Sale,519242,10603,10603
MIL,Brewers,7,3,16,20,0,0,,87.0,374,61,28,25,9,125,39,,4,2.62613,1.14989,12.8559,4.02387,3.1949,0.899784,0.333054,0.104245,0.22880811989307404,,0.185366,0.266382,0.823023,3.04125,495.5,5.695402298850575,439.0,5.045977011494253,2.21024,2.76699,11,114.13999938964844,/players/jacob-misiorowski/31623/stats/pitching,P,23.0,23.0,NL,Jacob Misiorowski,694819,31623,31623
PHI,Phillies,7,5,16,16,0,0,,98.0,396,82,41,37,12,108,27,,4,3.4227,1.1167,9.96622,2.48105,4.01693,1.12808,0.2725,0.067838,0.20466230809688568,,0.224564,0.284855,0.745129,3.47631,487.40000000000003,4.973469387755102,457.0,4.663265306122449,2.19238,2.17554,9,110.48999786376953,/players/zack-wheeler/10310/stats/pitching,P,26.0,26.0,NL,Zack Wheeler,554430,10310,10310
PHI,Phillies,7,5,17,17,0,0,,98.0,407,83,40,37,12,110,31,,4,3.39376,1.16169,10.0472,2.86524,3.50659,1.05825,0.269311,0.0768012,0.19250937551259995,,0.222989,0.28483,0.752034,3.49176,476.8,4.865306122448979,449.0,4.581632653061225,2.16257,2.28339,10,70.58999633789062,/players/jesus-luzardo/19959/stats/pitching,P,26.0,26.0,NL,Jesús Luzardo,666200,19959,19959
SFG,Giants,6,5,16,16,0,0,,102.0,422,98,43,39,9,93,25,,4,3.47007,1.20547,8.23748,2.2345,3.68649,0.760412,0.221155,0.0599907,0.1611645445227623,,0.248768,0.30643,0.721454,3.24637,488.3,4.787254901960784,492.0,4.823529411764706,2.14943,1.94308,10,57.189998626708984,/players/logan-webb/17995/stats/pitching,P,30.0,30.0,NL,Logan Webb,657277,17995,17995
TBR,Rays,5,5,17,17,0,0,,86.0,354,75,34,31,9,87,22,,4,3.26717,1.12664,9.11682,2.28028,3.99811,0.950647,0.247068,0.0617963,0.18527211621403694,,0.229556,0.28584,0.745988,3.34055,426.69999999999993,4.9616279069767435,409.0,4.755813953488372,1.99823,2.12752,10,132.36000061035156,/players/drew-rasmussen/25385/stats/pitching,P,12.0,12.0,AL,Drew Rasmussen,656876,25385,25385
HOU,Astros,6,4,15,15,0,0,,88.0,366,74,35,32,9,99,30,,4,3.26957,1.17901,10.0794,3.05702,3.29714,0.906724,0.270024,0.0818964,0.18812761455774307,,0.223099,0.290612,0.753613,3.33182,444.1,5.046590909090909,419.0,4.761363636363637,1.97561,2.1267,9,36.189998626708984,/players/hunter-brown/25880/stats/pitching,P,21.0,21.0,AL,Hunter Brown,686613,25880,25880
TOR,Blue Jays,6,4,16,16,0,0,,90.0,379,72,36,33,11,111,35,,4,3.31154,1.18907,11.1248,3.52144,3.15917,1.04983,0.294145,0.0931085,0.20103678852319717,,0.211999,0.282579,0.767419,3.4675,448.50000000000006,4.983333333333334,412.0,4.5777777777777775,1.94269,2.10289,10,74.7699966430664,/players/dylan-cease/18525/stats/pitching,P,14.0,14.0,AL,Dylan Cease,656302,18525,18525
