Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,UPURL,positionDB,teamid,playerTeamId,League,PlayerName,xMLBAMID,playerids,playerid
PIT,Pirates,4.54529,3.32335,11.0,11.0,0.0,0.0,,65.087,263.06,53.0826,24.57,22.93,6.25622,73.9194,17.1067,0.154229,2.61105,3.17068,1.07839,10.2213,2.36546,4.32107,0.865088,0.280998,0.0650297,0.21596850454807281,,0.21814,0.286985,0.742615,2.99057,357.4,5.498461538461538,335.0,5.153846153846154,1.94589,1.66045,4.8255,9.649999618530273,/players/paul-skenes/33677/stats/pitching,P,27,27.0,NL,Paul Skenes,694973,33677,33677
DET,Tigers,4.43342,3.10242,11.0,11.0,0.0,0.0,,60.258,237.62,46.7404,21.02,19.55,6.43252,72.4152,12.1967,0.14135,2.07248,2.91994,0.97808,10.8158,1.82167,5.93727,0.960747,0.304752,0.0513287,0.2534233555197716,,0.209269,0.278941,0.759381,2.79821,350.0,5.833333333333333,324.0,5.4,1.92205,1.7669,3.93819,7.019999980926514,/players/tarik-skubal/22267/stats/pitching,P,6,6.0,AL,Tarik Skubal,669373,22267,22267
TOR,Blue Jays,5.30288,2.79803,11.0,11.0,0.0,0.0,,68.387,282.3,52.2832,28.59,26.67,8.27987,91.4105,27.0323,0.221783,2.32633,3.50988,1.1598,12.03,3.55755,3.38153,1.08966,0.323806,0.0957572,0.22804907709360123,,0.206701,0.287132,0.749007,3.2921,364.6000000000001,5.361764705882354,331.0,4.867647058823529,1.73988,1.4207,5.47519,74.7699966430664,/players/dylan-cease/18525/stats/pitching,P,14,14.0,AL,Dylan Cease,656302,18525,18525
PHI,Phillies,5.0694,2.67534,11.0,11.0,0.0,0.0,,63.701,260.3,57.9102,25.67,23.71,5.95154,64.2506,15.5294,0.155787,2.0886,3.34987,1.15288,9.07765,2.19408,4.13734,0.840864,0.246833,0.0596598,0.18717314675450325,,0.238626,0.301245,0.733704,3.13061,323.0,5.046875,316.0,4.9375,1.63618,1.47852,4.63531,24.75,/players/cristopher-sanchez/20778/stats/pitching,P,26,26.0,NL,Cristopher Sánchez,650911,20778,20778
ATL,Braves,4.10315,2.98431,10.0,10.0,0.0,0.0,,58.69,241.77,49.9306,25.33,23.61,6.72721,70.7782,16.5305,0.139197,3.26635,3.62055,1.13241,10.8537,2.53493,4.28166,1.0316,0.29275,0.0683729,0.2243770807981491,,0.22494,0.299052,0.721054,3.19367,302.5,5.127118644067797,286.0,4.8474576271186445,1.53872,1.24946,4.40977,39.36000061035156,/players/chris-sale/10603/stats/pitching,P,16,16.0,NL,Chris Sale,519242,10603,10603
MIL,Brewers,3.75563,3.20746,10.0,10.0,0.0,0.0,,56.28,229.28,38.8623,20.78,19.45,6.66231,81.1525,22.0659,0.144685,3.46112,3.11034,1.08259,12.9775,3.52866,3.67773,1.0654,0.353945,0.09624,0.25770487636327744,,0.190733,0.277735,0.778051,3.11931,313.9000000000001,5.6053571428571445,276.0,4.928571428571429,1.52572,1.48943,3.88015,114.13999938964844,/players/jacob-misiorowski/31623/stats/pitching,P,23,23.0,NL,Jacob Misiorowski,694819,31623,31623
PHI,Phillies,4.96652,2.82609,11.0,11.0,0.0,0.0,,64.603,267.38,55.4836,28.18,26.13,7.54521,73.4514,21.0029,0.167977,2.35602,3.64023,1.18395,10.2327,2.92597,3.4972,1.05114,0.274708,0.0785508,0.19615723937749863,,0.227372,0.294056,0.732769,3.43268,316.6,4.870769230769231,298.0,4.584615384615384,1.52356,1.32656,4.86337,70.58999633789062,/players/jesus-luzardo/19959/stats/pitching,P,26,26.0,NL,Jesús Luzardo,666200,19959,19959
PHI,Phillies,4.55633,2.48391,10.0,10.0,0.0,0.0,,58.0,235.14,46.9354,24.0,22.36,7.74182,66.4199,15.9581,0.129044,2.5152,3.46966,1.08437,10.3065,2.47625,4.16216,1.20132,0.28247,0.0678662,0.21460352092981339,,0.216625,0.275033,0.747162,3.50397,283.6000000000001,4.889655172413795,261.0,4.5,1.37471,1.29132,4.25721,110.48999786376953,/players/zack-wheeler/10310/stats/pitching,P,26,26.0,NL,Zack Wheeler,554430,10310,10310
SEA,Mariners,3.92487,3.00051,10.0,10.0,0.0,0.0,,56.59,230.27,48.0937,25.7,23.96,8.59825,64.7728,13.9042,0.177935,1.90449,3.81057,1.09556,10.3014,2.2113,4.65851,1.36746,0.281291,0.0603821,0.2209085449576378,,0.224253,0.27993,0.726534,3.62765,268.29999999999995,4.707017543859648,250.0,4.385964912280702,1.25545,1.00739,4.096,37.150001525878906,/players/logan-gilbert/22250/stats/pitching,P,11,11.0,AL,Logan Gilbert,669302,22250,22250
SFG,Giants,3.5641,3.52516,10.0,10.0,0.0,0.0,,58.9,245.77,57.704,27.1,25.26,5.17446,47.3083,15.5991,0.184758,2.0124,3.85976,1.24453,7.22877,2.38356,3.03276,0.790665,0.19249,0.0634702,0.12901971489191055,,0.252912,0.299014,0.699423,3.53626,264.3,4.479661016949152,270.0,4.576271186440678,1.24202,1.03366,4.50146,57.189998626708984,/players/logan-webb/17995/stats/pitching,P,30,30.0,NL,Logan Webb,657277,17995,17995
NYY,Yankees,4.12745,2.80844,10.0,10.0,0.0,0.0,,56.74,234.4,47.2823,24.99,23.33,7.30736,64.5998,18.4458,0.127287,2.6411,3.70056,1.15841,10.2467,2.92584,3.50214,1.15908,0.275596,0.0786938,0.19690260291099548,,0.221657,0.282696,0.734049,3.61567,280.49999999999994,4.921052631578946,261.0,4.578947368421052,1.22524,1.11442,4.09596,116.62999725341797,/players/cameron-schlittler/32095/stats/pitching,P,9,9.0,AL,Cam Schlittler,693645,32095,32095
BOS,Red Sox,3.55044,3.1938,10.0,10.0,0.0,0.0,,53.58,221.04,48.1509,23.26,21.67,5.76463,50.9393,14.9121,0.156836,1.68929,3.63998,1.17699,8.55643,2.50483,3.41597,0.968304,0.230453,0.0674633,0.16298939287662506,,0.235528,0.286908,0.72379,3.53033,252.0,4.666666666666667,243.0,4.5,1.21812,1.1291,3.54326,183.97999572753906,/players/ranger-suarez/17277/stats/pitching,P,3,3.0,AL,Ranger Suarez,624133,17277,17277
TEX,Rangers,3.68436,3.22749,10.0,10.0,0.0,0.0,,56.06,225.84,45.294,24.31,22.74,8.39083,63.2309,14.4183,0.202409,1.43475,3.65073,1.06515,10.1512,2.31475,4.38545,1.34708,0.279981,0.0638432,0.21613792330026627,,0.215699,0.266709,0.738084,3.64188,280.0000000000001,5.000000000000002,257.0,4.589285714285714,1.211,1.15541,3.96839,50.0099983215332,/players/jacob-degrom/10954/stats/pitching,P,13,13.0,AL,Jacob deGrom,594798,10954,10954
LAD,Dodgers,4.57296,1.7123,9.0,9.0,0.0,0.0,,51.975,216.41,42.3412,23.12,21.54,6.06293,63.6882,20.6837,0.171714,1.37876,3.72987,1.2126,11.0283,3.5816,3.07914,1.04986,0.294294,0.0955765,0.19871748238801956,,0.217863,0.291166,0.731706,3.44275,263.79999999999995,5.073076923076922,244.0,4.6923076923076925,1.20037,0.99602,3.84762,178.41000366210938,/players/blake-snell/13543/stats/pitching,P,22,22.0,NL,Blake Snell,605483,13543,13543
LAD,Dodgers,4.77943,1.63465,9.0,9.0,0.0,0.0,,53.244,218.67,45.4705,22.51,21.0,5.89426,54.6216,16.2377,0.137132,1.78397,3.5497,1.15897,9.23286,2.74471,3.36387,0.996324,0.24979,0.0742567,0.17553336918354034,,0.226618,0.28242,0.733276,3.50637,257.40000000000003,4.856603773584906,243.0,4.584905660377358,1.16404,1.06321,4.02624,26.639999389648438,/players/yoshinobu-yamamoto/33825/stats/pitching,P,22,22.0,NL,Yoshinobu Yamamoto,808967,33825,33825
TBR,Rays,3.02745,3.88032,10.0,10.0,0.0,0.0,,55.45,225.98,48.1827,24.69,23.1,7.10662,54.1921,13.9814,0.16247,2.09002,3.74932,1.12108,8.79583,2.2693,3.87602,1.15346,0.239809,0.06187,0.1779392845928669,,0.229541,0.276402,0.717691,3.68456,256.09999999999997,4.656363636363635,244.0,4.4363636363636365,1.15564,0.981115,3.88768,132.36000061035156,/players/drew-rasmussen/25385/stats/pitching,P,12,12.0,AL,Drew Rasmussen,656876,25385,25385
MIN,Twins,3.41617,3.59146,10.0,10.0,0.0,0.0,,57.76,236.48,50.0266,27.92,26.12,9.6333,63.3904,14.0248,0.138625,2.63352,4.06994,1.10892,9.87731,2.1853,4.51989,1.50103,0.268058,0.0593064,0.2087516039609909,,0.227578,0.275162,0.714556,3.94198,251.20000000000005,4.331034482758621,235.0,4.051724137931035,1.15219,0.863054,4.35601,78.52999877929688,/players/joe-ryan/21390/stats/pitching,P,8,8.0,AL,Joe Ryan,657746,21390,21390
NYY,Yankees,4.3305,2.71775,10.0,10.0,0.0,0.0,,58.12,240.18,50.1681,24.55,22.8,5.98032,51.7518,18.8829,0.155945,2.35071,3.53063,1.18808,8.01387,2.92406,2.74067,0.926065,0.215471,0.0786199,0.13685089349746704,,0.229134,0.274094,0.73339,3.75638,266.40000000000003,4.593103448275863,253.0,4.362068965517241,1.14249,1.18172,4.29164,50.04999923706055,/players/max-fried/13743/stats/pitching,P,9,9.0,AL,Max Fried,608331,13743,13743
NYM,Mets,4.09588,2.88617,10.0,10.0,0.0,0.0,,57.39,240.82,49.7418,25.71,23.98,6.42369,61.1984,21.0464,0.147264,3.46221,3.76059,1.23346,9.59724,3.30053,2.90778,1.00737,0.254125,0.0873948,0.16673021018505096,,0.229955,0.291333,0.729479,3.7071,267.99999999999994,4.701754385964911,257.0,4.508771929824562,1.1268,1.00739,4.22074,87.29000091552734,/players/nolan-mclean/33703/stats/pitching,P,25,25.0,NL,Nolan McLean,690997,33703,33703
HOU,Astros,4.19949,2.86424,10.0,10.0,0.0,0.0,,58.6,244.46,50.1529,26.74,25.0,7.07216,61.2045,21.8135,0.18245,2.4382,3.83959,1.2281,9.4,3.35019,2.80581,1.08617,0.250366,0.0892313,0.16113464534282684,,0.227752,0.283554,0.72869,3.82514,270.5,4.584745762711864,254.0,4.305084745762712,1.09532,1.03366,4.44566,36.189998626708984,/players/hunter-brown/25880/stats/pitching,P,21,21.0,AL,Hunter Brown,686613,25880,25880
PIT,Pirates,3.20118,3.54736,10.0,10.0,0.0,0.0,,53.57,225.07,50.547,26.22,24.4,6.74472,54.3993,15.9781,0.140967,2.23775,4.09931,1.24183,9.13932,2.68439,3.40462,1.13314,0.241699,0.0709916,0.17070768028497696,,0.24436,0.300612,0.706085,3.72948,234.9,4.3500000000000005,233.0,4.314814814814815,1.079,0.810579,3.64867,239.36000061035156,/players/braxton-ashcraft/23793/stats/pitching,P,27,27.0,NL,Braxton Ashcraft,677952,23793,23793
SEA,Mariners,3.50093,2.65719,9.0,9.0,0.0,0.0,,49.815,202.19,43.4564,21.99,20.48,7.10783,49.5222,10.8384,0.149378,1.90097,3.70009,1.08993,8.94709,1.95815,4.56915,1.28416,0.244929,0.0536049,0.19132396206259727,,0.229381,0.273667,0.728507,3.73742,233.09999999999997,4.661999999999999,220.0,4.4,1.06236,0.969725,3.47309,34.77000045776367,/players/bryan-woo/30279/stats/pitching,P,11,11.0,AL,Bryan Woo,693433,30279,30279
CLE,Guardians,3.22693,3.86488,10.0,10.0,0.0,0.0,,58.95,246.74,49.6985,27.51,25.61,8.14418,67.9072,22.5424,0.132423,2.35941,3.90992,1.22546,10.3675,3.44158,3.01243,1.24339,0.275218,0.0913608,0.18385695666074753,,0.22403,0.285035,0.735233,3.86294,269.20000000000005,4.56271186440678,252.0,4.271186440677966,1.05709,0.928264,4.52163,144.74000549316406,/players/gavin-williams/30122/stats/pitching,P,5,5.0,AL,Gavin Williams,668909,30122,30122
SEA,Mariners,3.68841,3.19255,10.0,10.0,0.0,0.0,,56.19,233.8,54.3037,28.1,26.22,7.96246,52.4596,13.2915,0.142255,2.19417,4.19968,1.20298,8.4025,2.12891,3.94686,1.27535,0.224378,0.0568498,0.16752829775214195,,0.248741,0.293499,0.699677,3.9053,234.6000000000001,4.189285714285716,235.0,4.196428571428571,1.04333,0.733863,4.11862,64.58000183105469,/players/george-kirby/25436/stats/pitching,P,11,11.0,AL,George Kirby,669923,25436,25436
