Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,129.0,445.258,552.026,127.155,60.8533,22.4257,0.323608,43.552,94.6663,107.549,97.1416,14.7045,141.97,5.32133,3.53652,0.517944,7.60259,8.60415,3.033,0.285575,0.416534,0.630832,1.04737,0.43214,0.175973,0.25718,0.684241,0.345258,3.50498,0.317551,,,118.599,53.3729,-2.31,-0.502324,-0.502324,6.56839,53.731959104537964,-8.541883945465088,183.357,1058.3,8.203875968,1058.3,8.203875968,1.850000023841858,0.32758621,OF,/players/aaron-judge/15640/stats/batting,9.0,AL,Aaron Judge,592450,15640,15640
KCR,Royals,135.0,517.62,576.157,151.614,88.9585,31.3497,4.60925,26.6961,92.6415,85.7527,47.2702,4.84754,96.7507,5.55541,4.84935,0.861812,6.3918,32.3732,7.54534,0.292905,0.355364,0.526004,0.881368,0.373016,0.082044,0.167924,0.488577,0.233099,6.98128,0.313059,,,96.126,28.0487,5.75,2.48069,2.48069,6.18519,28.61372137069702,12.0,138.484,902.8,6.687407407,902.8,6.687407407,3.0999999046325684,0.02197802,SS,/players/bobby-witt-jr/25764/stats/batting,7.0,AL,Bobby Witt Jr.,677951,25764,25764
LAD,Dodgers,136.0,492.084,590.529,138.373,68.9378,26.8687,2.61146,39.9547,106.436,105.417,88.5778,13.1445,138.346,4.8626,3.24413,0.749775,8.34505,21.3902,7.14384,0.281197,0.393725,0.589997,0.983722,0.40944,0.149997,0.234275,0.640263,0.3088,5.80307,0.31044,,,115.988,46.2121,0.0,0.367326,0.367326,5.51389,46.96231219172478,-12.72376537322998,166.574,1054.5,7.75367647,1054.5,7.75367647,1.2699999809265137,0.91370558,DH,/players/shohei-ohtani/19755/stats/batting,22.0,NL,Shohei Ohtani,660271,19755,19755
SEA,Mariners,135.0,463.522,541.71,101.785,50.7756,19.268,0.668137,31.0736,70.3017,87.2375,68.4949,5.43341,149.159,5.25408,3.92456,0.514084,5.61991,6.4095,2.25429,0.219591,0.324346,0.465157,0.789503,0.337269,0.126442,0.275349,0.459208,0.245566,3.64145,0.246199,,,74.657,10.6498,12.61,-0.427472,-0.427472,5.30607,14.51743957400322,18.689931392669678,123.407,684.2,5.068148148,684.2,5.068148148,18.729999542236328,0.23783784,C,/players/cal-raleigh/21534/stats/batting,11.0,AL,Cal Raleigh,663728,21534,21534
SDP,Padres,136.0,502.172,581.135,136.513,84.0954,24.7494,3.71708,23.9514,90.1263,75.7078,68.2562,2.52469,114.77,5.70246,3.79823,1.20692,11.2375,23.1147,6.70926,0.271846,0.362927,0.479022,0.841949,0.362745,0.117453,0.197492,0.594723,0.207176,6.04682,0.3065,,,92.1106,23.4449,5.71,0.84862,0.84862,4.71483,26.894754767417908,-0.15356111526489258,137.816,832.2,6.119117647,832.2,6.119117647,14.010000228881836,0.01123596,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29.0,NL,Fernando Tatis Jr.,665487,19709,19709
NYM,Mets,119.0,402.912,505.738,108.859,61.5613,19.8732,0.301517,27.1227,80.4611,74.4869,95.9535,6.86687,90.6248,3.13025,2.82146,0.920128,10.5019,12.3637,4.55373,0.27018,0.411916,0.522951,0.934867,0.399242,0.18973,0.179193,1.0588,0.252771,3.93488,0.283819,,,95.1462,35.3894,-2.09,-0.407289,-0.407289,4.69511,36.983561128377914,-7.925733804702759,162.38,825.0,6.932773109,825.0,6.932773109,4.650000095367432,0.01796407,OF,/players/juan-soto/20123/stats/batting,25.0,NL,Juan Soto,665742,20123,20123
BAL,Orioles,133.0,503.631,574.652,133.877,78.9917,27.8633,2.56927,24.4531,85.8974,74.2645,60.8018,2.55568,126.361,5.09733,4.54507,0.576184,10.3008,19.5144,4.92318,0.265824,0.347997,0.477013,0.825009,0.354205,0.105806,0.219891,0.481177,0.211188,5.71868,0.3062,,,87.0986,19.1991,-2.13,0.947101,0.947101,4.61151,21.257016718387604,4.027407169342041,129.987,792.3,5.957142857,792.3,5.957142857,12.510000228881836,0.05649718,SS,/players/gunnar-henderson/26289/stats/batting,2.0,AL,Gunnar Henderson,683002,26289,26289
TEX,Rangers,113.0,412.422,485.771,111.714,64.4058,21.4544,0.524808,25.3294,66.9001,78.1667,61.1551,7.88738,93.3553,4.39822,3.86191,0.53323,9.373,1.99377,0.781694,0.270874,0.3679,0.509689,0.877589,0.371643,0.125893,0.19218,0.65508,0.238814,2.53615,0.290273,,,80.5045,23.1069,-0.07,-0.727242,-0.727242,4.46886,23.2963405251503,3.6544703766703606,141.96,712.8,6.307964601,712.8,6.307964601,95.08999633789062,0.04032258,SS,/players/corey-seager/13624/stats/batting,13.0,AL,Corey Seager,608369,13624,13624
MIL,Brewers,133.0,455.812,528.401,121.256,79.2676,23.9289,0.11535,17.9437,64.6126,73.6555,63.9801,2.68769,96.844,4.06651,3.5696,0.972845,13.4567,4.34592,1.69968,0.266021,0.358915,0.437124,0.796039,0.346771,0.121082,0.183277,0.660651,0.171103,2.71373,0.299807,,,76.8992,14.4645,4.22,-0.78164,-0.78164,4.38324,14.179211437702179,11.076119899749756,123.889,666.4,5.010526315,666.4,5.010526315,56.560001373291016,0.13872832,C,/players/william-contreras/20503/stats/batting,23.0,NL,William Contreras,661388,20503,20503
ARI,Diamondbacks,127.0,464.075,541.55,120.455,67.0543,26.2476,6.35695,20.7964,86.4567,68.2353,63.3561,2.20446,111.234,7.17808,3.52074,3.4198,7.31488,29.8944,5.88748,0.25956,0.354913,0.477953,0.832866,0.358151,0.11699,0.205399,0.569577,0.218393,7.88517,0.296988,,,83.8164,19.8282,6.66,2.6741,2.6741,4.18167,21.894893646240234,0.952667236328125,129.946,765.2,6.02519685,765.2,6.02519685,14.100000381469727,0.03636364,OF,/players/corbin-carroll/25878/stats/batting,15.0,NL,Corbin Carroll,682998,25878,25878
