Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,UPURL,positionDB,teamid,playerTeamId,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,4.15009,3.38985,11.0,11.0,0.0,0.0,,60.269,241.547,50.0316,22.4,20.83,6.34327,69.8645,12.3659,0.142942,1.80169,3.11055,1.03532,10.4329,1.8466,5.64978,0.947243,0.289237,0.0511945,0.23804301023483276,,0.220036,0.288998,0.74738,2.86825,338.2,5.636666666666667,320.0,5.333333333333333,1.88574,1.66296,3.98874,7.019999980926514,/players/tarik-skubal/22267/stats/pitching,P,6,6.0,AL,Tarik Skubal,669373,22267,22267
PIT,Pirates,4.1142,3.7282,11.0,11.0,0.0,0.0,,65.12,267.185,54.7752,27.29,25.47,7.71155,75.4007,17.4313,0.153359,3.24843,3.52012,1.10882,10.4209,2.40912,4.32559,1.06579,0.282204,0.0652405,0.21696319431066513,,0.222207,0.288039,0.731416,3.28962,329.6,5.070769230769231,311.0,4.7846153846153845,1.76513,1.44913,4.92078,9.649999618530273,/players/paul-skenes/33677/stats/pitching,P,27,27.0,NL,Paul Skenes,694973,33677,33677
PHI,Phillies,5.21324,2.55222,11.0,11.0,0.0,0.0,,63.734,258.977,57.453,24.07,22.24,4.97268,62.7522,14.5764,0.153952,2.0217,3.14055,1.13016,8.86136,2.05836,4.30505,0.702202,0.242308,0.0562846,0.18602334707975388,,0.237038,0.300481,0.73707,2.9396,338.90000000000003,5.2953125000000005,330.0,5.15625,1.75761,1.71668,4.58715,24.75,/players/cristopher-sanchez/20778/stats/pitching,P,26,26.0,NL,Cristopher Sánchez,650911,20778,20778
MIL,Brewers,3.91271,3.74454,11.0,11.0,0.0,0.0,,61.886,253.018,43.8781,23.86,22.28,8.08694,90.7534,22.5852,0.159087,4.13899,3.24015,1.07396,13.1982,3.28453,4.01828,1.17607,0.358684,0.0892631,0.26942063868045807,,0.193899,0.280818,0.772617,3.17455,347.0,5.596774193548387,307.0,4.951612903225806,1.67065,1.57624,4.29771,114.13999938964844,/players/jacob-misiorowski/31623/stats/pitching,P,23,23.0,NL,Jacob Misiorowski,694819,31623,31623
TOR,Blue Jays,5.10746,2.98291,11.0,11.0,0.0,0.0,,68.431,283.307,51.8239,28.99,27.07,8.49402,89.6397,28.1931,0.221654,2.06511,3.56023,1.16931,11.7894,3.70794,3.17949,1.11713,0.316405,0.0995143,0.2168903946876526,,0.204798,0.2797,0.749016,3.4335,359.6000000000001,5.288235294117648,326.0,4.794117647058823,1.6696,1.4343,5.49549,74.7699966430664,/players/dylan-cease/18525/stats/pitching,P,14,14.0,AL,Dylan Cease,656302,18525,18525
PHI,Phillies,5.02324,2.77213,11.0,11.0,0.0,0.0,,64.537,267.897,55.3332,27.44,25.46,6.59198,72.3445,19.8019,0.16796,4.34416,3.55052,1.16422,10.0888,2.76148,3.65341,0.919283,0.270046,0.0739162,0.196129709482193,,0.227007,0.295734,0.72368,3.32154,323.9,4.983076923076923,306.0,4.707692307692308,1.59542,1.44913,4.82907,70.58999633789062,/players/jesus-luzardo/19959/stats/pitching,P,26,26.0,NL,Jesús Luzardo,666200,19959,19959
ATL,Braves,4.27695,2.82473,10.0,10.0,0.0,0.0,,58.94,243.718,51.3468,25.7,23.97,6.36602,70.588,15.6378,0.138768,3.66039,3.66016,1.13649,10.7786,2.38786,4.51393,0.972077,0.28963,0.0641637,0.22546662390232086,,0.228798,0.305026,0.710919,3.10434,312.20000000000005,5.291525423728815,299.0,5.067796610169491,1.59004,1.15257,4.46171,39.36000061035156,/players/chris-sale/10603/stats/pitching,P,16,16.0,NL,Chris Sale,519242,10603,10603
LAD,Dodgers,5.32124,1.81263,10.0,10.0,0.0,0.0,,59.19,242.215,50.1614,24.69,23.02,6.79761,61.4601,17.0976,0.151464,1.57661,3.50025,1.13632,9.34518,2.59974,3.59467,1.03359,0.253742,0.0705886,0.18315385282039642,,0.224395,0.279257,0.737223,3.47596,285.5,4.838983050847458,269.0,4.559322033898305,1.33376,1.26121,4.46707,26.639999389648438,/players/yoshinobu-yamamoto/33825/stats/pitching,P,22,22.0,NL,Yoshinobu Yamamoto,808967,33825,33825
TEX,Rangers,3.53897,3.40074,10.0,10.0,0.0,0.0,,56.09,224.177,43.8763,22.61,21.19,7.65875,62.2735,14.3067,0.197732,0.67374,3.40007,1.03731,9.99218,2.2956,4.35276,1.2289,0.277787,0.0638186,0.21396823227405548,,0.209737,0.260063,0.749524,3.46903,280.60000000000014,5.010714285714288,255.0,4.553571428571429,1.32699,1.276,3.91528,50.0099983215332,/players/jacob-degrom/10954/stats/pitching,P,13,13.0,AL,Jacob deGrom,594798,10954,10954
SFG,Giants,3.27156,4.52933,11.0,11.0,0.0,0.0,,64.944,273.263,64.1484,31.33,29.22,6.40076,54.281,18.2636,0.202438,1.86798,4.04933,1.26897,7.52231,2.53099,2.97209,0.887024,0.19864,0.0668351,0.13180459290742874,,0.253419,0.300066,0.695457,3.65279,288.79999999999995,4.443076923076922,295.0,4.538461538461538,1.28202,1.02004,5.02653,57.189998626708984,/players/logan-webb/17995/stats/pitching,P,30,30.0,NL,Logan Webb,657277,17995,17995
PHI,Phillies,4.43667,2.59049,10.0,10.0,0.0,0.0,,58.03,239.075,48.0777,25.48,23.79,7.9587,63.7599,18.0133,0.130315,2.54968,3.68964,1.13891,9.88866,2.79373,3.5396,1.23433,0.266694,0.0753459,0.19134821742773056,,0.220023,0.273303,0.73907,3.76171,271.00000000000006,4.672413793103449,251.0,4.327586206896552,1.22497,1.1933,4.31355,110.48999786376953,/players/zack-wheeler/10310/stats/pitching,P,26,26.0,NL,Zack Wheeler,554430,10310,10310
NYY,Yankees,3.9837,2.95963,10.0,10.0,0.0,0.0,,56.86,235.515,48.6502,25.77,24.07,7.97612,64.8839,17.5983,0.129083,1.97851,3.80988,1.16512,10.2701,2.78552,3.68694,1.26249,0.275498,0.0747228,0.20077572017908096,,0.225297,0.28428,0.734878,3.68747,266.0,4.666666666666667,251.0,4.4035087719298245,1.19811,1.01892,4.14203,116.62999725341797,/players/cameron-schlittler/32095/stats/pitching,P,9,9.0,AL,Cam Schlittler,693645,32095,32095
BOS,Red Sox,3.57356,3.86089,11.0,11.0,0.0,0.0,,59.037,247.187,55.9143,28.07,26.04,7.11318,55.1809,16.3736,0.170815,2.37611,3.96971,1.22445,8.41214,2.49611,3.37011,1.08438,0.223236,0.0662399,0.15699565410614014,,0.244769,0.29373,0.709422,3.76295,260.9,4.422033898305084,260.0,4.406779661016949,1.16374,0.940026,3.99899,183.97999572753906,/players/ranger-suarez/17277/stats/pitching,P,3,3.0,AL,Ranger Suarez,624133,17277,17277
MIN,Twins,3.36821,3.64009,10.0,10.0,0.0,0.0,,57.9,239.725,51.6266,29.09,27.15,10.0341,65.3751,14.6534,0.13867,2.06997,4.22021,1.14473,10.1619,2.27773,4.46144,1.55971,0.272709,0.0611257,0.21158303320407867,,0.231508,0.281806,0.712012,3.97441,250.00000000000006,4.310344827586208,239.0,4.120689655172414,1.16124,0.772079,4.41481,78.52999877929688,/players/joe-ryan/21390/stats/pitching,P,8,8.0,AL,Joe Ryan,657746,21390,21390
