Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,woba_sd,truetalent_sd,woba_sd_book,woba_se,total_se,q10,q20,q30,q40,q50,q60,q70,q80,q90,tt_q10,tt_q20,tt_q30,tt_q40,tt_q50,tt_q60,tt_q70,tt_q80,tt_q90,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,141.36,509.805,634.656,145.291,77.7938,23.5893,1.205,42.7025,109.811,103.477,112.334,24.7516,156.0,6.3466,4.4842,1.6856,,8.8484,2.4812,0.284992,0.417036,0.587278,1.00431,0.414712,0.177,0.245803,0.720088,0.302286,3.90688,0.325071,-1.339,,127.371,52.3818,-0.372,-0.380072,-1.71907,6.71823,51.65304374694824,-7.832999974489212,171.352,1147.0,8.134751773,1147.0,8.134751773,0.591709,0.0150381,0.533244,0.0234876,0.0278893,0.38,0.392,0.4,0.407,0.414,0.421,0.429,0.438,0.452,0.396,0.403,0.407,0.411,0.415,0.419,0.423,0.428,0.435,2.0,0.19096334,OF,/players/aaron-judge/15640/stats/batting,9.0,AL,Aaron Judge,592450.0,15640,15640
KCR,Royals,139.93,573.62,633.655,168.577,100.291,36.5025,5.1822,26.6011,98.0317,87.0161,47.0172,6.3366,105.661,6.3366,4.3674,2.3137,,31.4736,9.8304,0.293883,0.351523,0.514709,0.866232,0.366894,0.0742,0.166748,0.444982,0.220826,6.68525,0.318528,2.04,,102.57,27.6986,5.971,1.29652,3.33652,6.51789,28.928273677825928,12.968000411987305,134.267,951.9,6.799285714,951.9,6.799285714,0.561165,0.015564,0.518792,0.0222928,0.0271883,0.333,0.344,0.352,0.36,0.366,0.373,0.381,0.39,0.403,0.348,0.354,0.359,0.363,0.367,0.371,0.375,0.38,0.388,3.200000047683716,0.02685624,SS,/players/bobby-witt-jr/25764/stats/batting,7.0,AL,Bobby Witt Jr.,677951.0,25764,25764
SEA,Mariners,137.84,527.391,614.647,121.583,61.7435,21.8451,0.4696,37.5246,88.1644,90.4727,75.786,10.449,163.438,5.5318,4.3095,1.6291,,8.0142,2.5447,0.230536,0.330986,0.487193,0.818179,0.345526,0.1233,0.265906,0.463698,0.256656,3.72141,0.254154,-1.549,,88.8294,16.2041,0.978,-0.314722,-1.86372,5.93343,19.213764190673828,7.388999760150909,129.095,830.0,6.014492753,830.0,6.014492753,0.576682,0.0150381,0.510797,0.0232607,0.0276985,0.311,0.323,0.331,0.338,0.345,0.352,0.36,0.369,0.382,0.327,0.333,0.338,0.342,0.346,0.35,0.354,0.359,0.366,19.139999389648438,0.11726384,C,/players/cal-raleigh/21534/stats/batting,11.0,AL,Cal Raleigh,663728.0,21534,21534
BAL,Orioles,140.57,548.45,626.052,150.756,90.4166,29.8287,3.9111,26.5996,89.2176,87.7126,66.4867,3.7563,126.089,5.6345,4.4704,1.0106,,21.3973,6.0351,0.274877,0.35658,0.489025,0.845605,0.362097,0.1062,0.201403,0.527301,0.214148,5.70172,0.310211,1.54,,98.9005,24.9276,-1.606,0.759758,2.29976,5.66886,28.437612056732178,5.421999931335449,135.423,900.3,6.385106382,900.3,6.385106382,0.551682,0.0160669,0.517034,0.0220487,0.0272817,0.328,0.339,0.347,0.355,0.361,0.368,0.376,0.385,0.398,0.342,0.349,0.354,0.358,0.362,0.366,0.371,0.376,0.383,14.489999771118164,0.04734848,SS,/players/gunnar-henderson/26289/stats/batting,2.0,AL,Gunnar Henderson,683002.0,26289,26289
SEA,Mariners,138.87,559.982,617.685,153.938,95.1316,26.6986,2.321,29.7869,84.6747,90.6885,44.2262,3.7061,133.836,8.0299,4.4535,0.9935,,22.5946,6.3357,0.274898,0.334355,0.490443,0.824799,0.351645,0.0715999,0.216673,0.330452,0.215545,5.59323,0.309748,0.593,,92.3373,19.3531,5.433,0.975802,1.5688,5.59016,25.819402933120728,7.559000015258789,133.311,857.0,6.165467625,857.0,6.165467625,0.561847,0.015564,0.513176,0.0226066,0.0274462,0.318,0.329,0.337,0.344,0.351,0.358,0.366,0.375,0.388,0.332,0.339,0.344,0.348,0.352,0.356,0.36,0.365,0.372,10.710000038146973,0.02555366,OF,/players/julio-rodriguez/23697/stats/batting,11.0,AL,Julio Rodríguez,677594.0,23697,23697
NYM,Mets,137.61,493.996,621.171,134.911,76.5879,22.616,1.3999,34.3072,105.184,88.76,117.091,8.0752,110.408,3.727,4.3214,2.0361,,19.6556,6.3439,0.273101,0.413042,0.532896,0.945938,0.40272,0.1885,0.177742,1.06053,0.259794,4.89154,0.284511,-0.671,,118.617,45.2209,-6.604,0.0832847,-0.587715,5.53367,47.091396152973175,-13.67199993133545,164.762,1038.2,7.523188405,1038.2,7.523188405,0.565004,0.0144867,0.530002,0.0226697,0.0269032,0.369,0.38,0.388,0.395,0.402,0.409,0.416,0.425,0.438,0.385,0.391,0.395,0.399,0.403,0.406,0.41,0.415,0.422,4.659999847412109,0.0202765,OF,/players/juan-soto/20123/stats/batting,25.0,NL,Juan Soto,665742.0,20123,20123
LAD,Dodgers,142.27,554.639,658.176,152.599,77.9836,25.2174,5.8527,43.5449,119.994,99.4248,91.4865,16.4544,160.568,4.6072,4.0187,3.4245,,22.2849,6.176,0.275131,0.379827,0.577233,0.95706,0.397286,0.139,0.243959,0.569768,0.302102,6.75965,0.307588,0.086,,122.78,45.0112,0.0,0.887226,0.973226,5.29067,46.411206781864166,-16.597999572753906,158.248,1135.1,7.993661971,1135.1,7.993661971,0.60004,0.0139068,0.528557,0.0233889,0.027211,0.364,0.375,0.383,0.39,0.397,0.404,0.411,0.42,0.433,0.38,0.386,0.39,0.394,0.398,0.401,0.405,0.41,0.416,1.090000033378601,0.89809524,DH,/players/shohei-ohtani/19755/stats/batting,22.0,NL,Shohei Ohtani,660271.0,19755,19755
ATL,Braves,147.08,570.607,676.219,162.794,102.602,27.0826,2.3646,30.7442,109.861,84.5458,90.7485,4.0573,135.462,7.4384,4.195,3.2298,,24.1486,6.0749,0.285299,0.387793,0.502689,0.890482,0.382918,0.1342,0.200323,0.669918,0.21739,5.61804,0.323178,1.467,,118.257,38.3563,-3.286,1.04318,2.51018,5.26177,40.519458055496216,-11.589000463485718,147.425,1045.7,7.113605442,1045.7,7.113605442,0.55091,0.0170118,0.524096,0.0211854,0.0271703,0.349,0.36,0.368,0.375,0.382,0.389,0.397,0.406,0.419,0.362,0.369,0.374,0.379,0.383,0.387,0.392,0.397,0.405,7.400000095367432,0.03935185,OF,/players/ronald-acuna-jr/18401/stats/batting,16.0,NL,Ronald Acuña Jr.,660670.0,18401,18401
SDP,Padres,133.8,537.234,617.682,147.567,87.9034,27.6836,1.692,30.2875,97.1148,77.7085,67.3273,3.7061,119.481,6.1768,3.7924,3.1511,,23.7823,5.2914,0.274678,0.359739,0.501637,0.861376,0.368465,0.109,0.193434,0.563498,0.226959,5.63636,0.299749,0.63,,100.772,27.788,3.142,1.54845,2.17845,5.06935,32.73126530647278,-3.7339999675750732,141.734,917.0,6.843283582,917.0,6.843283582,0.561275,0.0160669,0.519317,0.0225836,0.0277158,0.334,0.345,0.354,0.361,0.368,0.375,0.383,0.392,0.405,0.349,0.355,0.36,0.364,0.369,0.373,0.377,0.382,0.39,14.3100004196167,0.01783061,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,29.0,NL,Fernando Tatis Jr.,665487.0,19709,19709
NYM,Mets,139.43,568.811,644.192,147.334,91.2164,28.9074,0.8904,26.3202,94.614,73.4242,57.8484,1.2884,118.426,10.3071,3.9475,3.2773,,22.952,5.314,0.259022,0.336223,0.45179,0.788013,0.341247,0.0898,0.183837,0.488475,0.192768,5.22392,0.282735,-0.573,,90.8612,14.745,1.59,1.37061,0.797609,4.87124,18.091981649398804,8.087000250816345,122.651,822.1,5.914388489,822.1,5.914388489,0.539353,0.0144867,0.50897,0.0212503,0.0257185,0.309,0.32,0.327,0.334,0.341,0.347,0.354,0.363,0.375,0.323,0.329,0.334,0.338,0.341,0.345,0.349,0.354,0.36,17.0,0.01111111,SS,/players/francisco-lindor/12916/stats/batting,25.0,NL,Francisco Lindor,596019.0,12916,12916
TOR,Blue Jays,143.49,551.227,636.639,164.729,100.818,31.2575,0.5746,32.0788,93.9954,99.2977,73.5954,8.9129,87.2593,6.3664,4.6505,0.799,,4.8208,1.7115,0.29884,0.384831,0.532216,0.917047,0.388702,0.1156,0.137063,0.84341,0.233376,3.05928,0.303867,-0.49,,114.325,39.1012,-1.281,-0.871339,-1.36134,4.78994,38.339699506759644,-13.43500030040741,152.91,1013.3,7.086013986,1013.3,7.086013986,0.565864,0.0144867,0.525945,0.0224267,0.0266987,0.356,0.366,0.375,0.382,0.388,0.395,0.402,0.411,0.424,0.371,0.377,0.381,0.385,0.389,0.393,0.397,0.401,0.408,18.56999969482422,0.19917864,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14.0,AL,Vladimir Guerrero Jr.,665489.0,19611,19611
CIN,Reds,139.58,544.416,616.808,143.25,85.3739,29.2197,5.2813,23.3754,82.7052,81.405,62.791,6.1681,154.287,4.3177,4.4967,0.7866,,37.5774,10.6606,0.263127,0.34148,0.46501,0.80649,0.344642,0.1018,0.250139,0.406974,0.201883,6.86036,0.322896,2.048,,88.6989,15.8184,1.483,2.18386,4.23186,4.60496,16.510384559631348,7.976999998092651,116.796,828.0,5.914285714,828.0,5.914285714,0.542185,0.0165489,0.51036,0.0218309,0.0273945,0.311,0.322,0.33,0.337,0.344,0.351,0.358,0.368,0.381,0.324,0.331,0.336,0.34,0.345,0.349,0.353,0.359,0.366,10.34000015258789,0.01179245,SS,/players/elly-de-la-cruz/26668/stats/batting,18.0,NL,Elly De La Cruz,682829.0,26668,26668
HOU,Astros,122.33,467.55,550.801,139.968,80.8927,27.4019,1.5917,30.082,89.8768,84.0349,70.0068,11.016,93.3698,7.7112,3.8545,1.6783,,3.9754,1.2623,0.299366,0.396426,0.5578,0.954226,0.401142,0.1271,0.169516,0.74978,0.258435,3.75258,0.315808,-0.936,,104.474,39.3925,-0.672,-0.696226,-1.63223,4.5547,38.26081383228302,-12.701000273227692,161.451,926.5,7.594262295,926.5,7.594262295,0.576173,0.0170118,0.529607,0.0245502,0.0298683,0.364,0.376,0.385,0.393,0.401,0.408,0.416,0.426,0.441,0.38,0.387,0.392,0.397,0.401,0.406,0.41,0.416,0.424,45.79999923706055,0.67669173,DH/OF,/players/yordan-alvarez/19556/stats/batting,21.0,AL,Yordan Alvarez,670541.0,19556,19556
ARI,Diamondbacks,136.81,531.571,610.937,138.691,76.481,25.2908,10.1812,26.7375,90.8832,85.2336,65.7369,2.4437,126.301,7.9422,4.2761,1.4109,,32.5602,7.787,0.260907,0.348417,0.497687,0.846105,0.361168,0.1076,0.206734,0.520477,0.23678,7.78443,0.292452,2.676,,96.0523,23.8653,2.435,2.34795,5.02395,4.54392,28.20410394668579,-4.118000030517578,132.013,892.0,6.510948905,892.0,6.510948905,0.561523,0.0160669,0.516725,0.022718,0.0278254,0.327,0.338,0.346,0.354,0.361,0.368,0.375,0.385,0.398,0.341,0.348,0.353,0.357,0.361,0.365,0.37,0.375,0.382,8.229999542236328,0.01532567,OF,/players/corbin-carroll/25878/stats/batting,15.0,NL,Corbin Carroll,682998.0,25878,25878
ARI,Diamondbacks,132.6,522.955,601.272,146.291,88.0739,30.5331,1.8853,25.7985,90.0435,78.8891,65.2981,5.4114,98.3678,6.614,4.0681,2.3369,,5.855,1.7588,0.279739,0.364318,0.493331,0.85765,0.366757,0.1086,0.1636,0.663816,0.213592,4.11071,0.299095,-0.102,,97.261,26.2161,-1.224,-0.56971,-0.67171,4.45362,24.870074033737183,-1.3449999764561653,135.842,862.1,6.481954887,862.1,6.481954887,0.550887,0.015564,0.518698,0.0224661,0.0273306,0.333,0.344,0.352,0.359,0.366,0.373,0.381,0.39,0.403,0.347,0.354,0.359,0.363,0.367,0.371,0.375,0.38,0.387,39.86000061035156,0.06745098,2B,/players/ketel-marte/13613/stats/batting,15.0,NL,Ketel Marte,606466.0,13613,13613
LAD,Dodgers,124.79,494.935,566.123,135.272,84.507,26.7838,2.7541,21.2271,84.9138,71.4964,61.1979,2.2645,66.6678,3.9629,3.8466,2.1807,,7.5186,2.0837,0.273312,0.355413,0.467223,0.822636,0.354877,0.1081,0.117762,0.917953,0.193911,4.75602,0.277558,-0.255,,86.1147,19.2229,-1.691,-0.3227,-0.5777,4.33768,19.012290835380554,4.548999786376953,129.196,758.4,6.0672,758.4,6.0672,0.537822,0.0144867,0.51433,0.0226039,0.0268477,0.321,0.332,0.34,0.347,0.354,0.361,0.368,0.377,0.39,0.337,0.343,0.347,0.351,0.355,0.359,0.363,0.367,0.374,62.970001220703125,0.00871731,OF,/players/mookie-betts/13611/stats/batting,22.0,NL,Mookie Betts,605141.0,13611,13611
CLE,Guardians,136.49,536.412,603.88,147.738,87.8201,30.8433,2.2794,26.7949,82.8741,87.4027,58.2744,16.9086,72.362,4.2272,4.4538,0.513,,29.8038,7.4509,0.275418,0.348443,0.491273,0.839716,0.351204,0.0964999,0.119828,0.805318,0.215854,5.58885,0.273807,-0.085,,90.0575,18.7044,-0.318,2.02874,1.94374,4.32865,21.63052248954773,-0.10699999332427979,127.66,871.3,6.406617647,871.3,6.406617647,0.555637,0.0144867,0.512999,0.0226108,0.0268535,0.318,0.329,0.337,0.344,0.351,0.357,0.365,0.374,0.387,0.333,0.339,0.344,0.348,0.351,0.355,0.359,0.364,0.37,5.309999942779541,0.09096459,3B,/players/jose-ramirez/13510/stats/batting,5.0,AL,José Ramírez,608070.0,13510,13510
MIL,Brewers,132.35,508.003,586.014,136.955,88.6595,27.54,0.8424,19.913,74.3842,74.2969,68.9153,3.5161,110.237,4.1021,4.2072,0.7867,,6.1561,2.0302,0.269595,0.358787,0.444719,0.803506,0.348631,0.1176,0.188113,0.625157,0.175125,3.29386,0.306344,-0.609,,86.1688,16.9267,-1.445,-0.644308,-1.25331,4.24806,16.22384750843048,5.391999840736389,125.163,758.9,5.749242424,758.9,5.749242424,0.524146,0.0150381,0.511885,0.021652,0.026362,0.316,0.326,0.334,0.341,0.348,0.355,0.362,0.371,0.383,0.33,0.336,0.341,0.345,0.348,0.352,0.356,0.361,0.368,53.88999938964844,0.20805369,C,/players/william-contreras/20503/stats/batting,23.0,NL,William Contreras,661388.0,20503,20503
TBR,Rays,118.97,478.57,521.951,132.992,76.3898,21.9765,0.7359,33.8897,73.6357,91.044,35.4405,1.0439,97.8677,3.6537,3.8106,0.4756,,5.0655,1.6705,0.277894,0.329999,0.539334,0.869332,0.368072,0.0679001,0.187504,0.362127,0.26144,3.34007,0.282645,-0.068,,84.9873,23.3148,-0.794,-0.426495,-0.494495,4.23417,22.397947698831562,1.0219999551773071,137.213,775.8,6.519327731,775.8,6.519327731,0.596823,0.0183,0.519292,0.0261235,0.0318955,0.329,0.342,0.351,0.359,0.367,0.376,0.384,0.395,0.41,0.346,0.353,0.359,0.364,0.368,0.373,0.378,0.384,0.393,14.859999656677246,0.05339806,3B,/players/junior-caminero/28163/stats/batting,12.0,AL,Junior Caminero,691406.0,28163,28163
TOR,Blue Jays,106.01,390.258,443.478,107.707,74.6092,18.4348,0.5966,14.0668,53.584,55.4193,45.5008,1.7739,54.7532,3.5478,3.3713,0.7998,,0.958,0.3193,0.27599,0.354109,0.43442,0.788528,0.343201,0.1026,0.123463,0.831016,0.158429,2.22942,0.288294,-1.543,,63.2547,10.8544,-1.344,-0.743797,-2.2868,4.22973,8.985399961471558,6.890999674797058,121.566,556.2,5.247169811,556.2,5.247169811,0.517102,0.0165489,0.509714,0.024555,0.029611,0.306,0.318,0.327,0.335,0.342,0.35,0.358,0.368,0.382,0.322,0.329,0.334,0.339,0.343,0.347,0.352,0.357,0.365,157.4600067138672,0.16698292,C,/players/alejandro-kirk/22581/stats/batting,14.0,AL,Alejandro Kirk,672386.0,22581,22581
SDP,Padres,134.1,536.499,585.596,144.389,88.62,28.573,4.6483,22.548,75.5915,76.4529,39.2349,1.1712,112.718,4.0992,4.046,1.7161,,6.8256,2.2389,0.269132,0.321511,0.465803,0.787313,0.337314,0.067,0.192485,0.348079,0.196671,4.95196,0.300636,1.277,,80.7263,11.5337,3.597,-0.415134,0.861866,4.10607,15.016738414764404,5.632999897003174,120.395,735.9,5.491791044,735.9,5.491791044,0.545839,0.0183,0.507393,0.0225562,0.029046,0.301,0.313,0.322,0.329,0.337,0.344,0.352,0.362,0.376,0.315,0.322,0.328,0.333,0.337,0.342,0.347,0.353,0.361,76.91000366210938,0.0,OF,/players/jackson-merrill/29490/stats/batting,29.0,NL,Jackson Merrill,701538.0,29490,29490
TEX,Rangers,114.15,444.187,508.161,122.572,74.0239,23.1146,0.5161,24.9172,71.1347,74.1957,54.8814,9.6551,92.0801,4.5734,3.6789,0.8398,,2.5,0.8157,0.275946,0.358799,0.498596,0.857396,0.362527,0.108,0.181203,0.596018,0.22265,2.81796,0.295146,-1.006,,80.4543,20.4112,-2.014,-0.651486,-1.65749,3.94085,19.71265935897827,1.315000057220459,135.681,733.2,6.431578947,733.2,6.431578947,0.560003,0.0160669,0.517225,0.0248422,0.0295851,0.326,0.338,0.347,0.354,0.362,0.369,0.378,0.387,0.402,0.343,0.349,0.354,0.359,0.363,0.367,0.371,0.376,0.384,108.13999938964844,0.03491495,SS,/players/corey-seager/13624/stats/batting,13.0,AL,Corey Seager,608369.0,13624,13624
PHI,Phillies,132.27,557.424,609.394,156.141,106.375,28.0318,3.9844,17.7496,85.2798,64.5088,39.6715,0.6094,110.147,5.4845,3.8047,3.0094,,26.2285,4.8848,0.280112,0.331963,0.440223,0.772185,0.334131,0.0650999,0.180748,0.360169,0.160111,6.4733,0.319366,1.682,,82.4322,10.4277,-1.706,2.24895,3.93095,3.92926,13.222836017608643,4.906999945640564,112.865,760.2,5.759090909,760.2,5.759090909,0.521244,0.0150381,0.505975,0.021115,0.0259227,0.302,0.312,0.32,0.327,0.333,0.34,0.347,0.356,0.368,0.315,0.322,0.326,0.33,0.334,0.338,0.342,0.347,0.354,27.059999465942383,0.00478851,SS,/players/trea-turner/16252/stats/batting,26.0,NL,Trea Turner,607208.0,16252,16252
NYM,Mets,131.59,537.447,584.856,154.647,105.149,30.1801,1.3847,17.9334,73.0088,74.4193,38.1911,1.1697,95.4506,4.094,4.0948,1.0287,,5.5232,1.6591,0.287744,0.337313,0.449155,0.786467,0.339574,0.0653,0.163204,0.400114,0.16141,3.65824,0.319307,0.31,,81.6977,12.5925,3.797,-0.54038,-0.23038,3.90956,14.676625147461891,4.076999932527542,121.505,724.7,5.490151515,724.7,5.490151515,0.524346,0.015564,0.508272,0.0216817,0.0266896,0.306,0.317,0.325,0.332,0.339,0.346,0.353,0.362,0.375,0.32,0.327,0.331,0.336,0.34,0.343,0.348,0.353,0.36,109.86000061035156,0.04149933,SS,/players/bo-bichette/19612/stats/batting,25.0,NL,Bo Bichette,666182.0,19612,19612
ARI,Diamondbacks,125.84,482.092,562.356,130.169,89.7359,25.0604,3.1499,12.2232,77.1148,54.3388,67.8201,0.5624,73.9529,6.1859,3.6338,2.6242,,18.5638,5.0844,0.27001,0.364774,0.411124,0.775897,0.342343,0.1206,0.131506,0.917071,0.141114,5.47983,0.295198,0.377,,79.8189,13.3723,-0.539,0.553352,0.930352,3.90165,13.671932339668274,5.752999842166901,119.117,692.5,5.496031746,692.5,5.496031746,0.496317,0.0165489,0.5093,0.0209292,0.0266814,0.309,0.32,0.328,0.335,0.341,0.348,0.356,0.364,0.377,0.321,0.328,0.333,0.338,0.342,0.346,0.351,0.356,0.364,85.19999694824219,0.0,SS,/players/geraldo-perdomo/22799/stats/batting,15.0,NL,Geraldo Perdomo,672695.0,22799,22799
LAD,Dodgers,125.83,474.993,559.326,127.351,75.0514,23.6029,2.004,26.6925,85.1146,82.3907,75.453,5.5933,85.4513,3.9153,4.0372,0.927,,17.7944,4.066,0.268111,0.3702,0.494826,0.865026,0.369874,0.1349,0.152776,0.882994,0.226716,5.18644,0.274358,0.028,,91.8914,25.8028,-1.794,0.911279,0.939279,3.84988,27.1047300696373,-8.084999918937683,139.47,831.0,6.595238095,831.0,6.595238095,0.555941,0.015564,0.519789,0.023507,0.0281924,0.335,0.346,0.355,0.362,0.369,0.376,0.384,0.394,0.407,0.351,0.357,0.362,0.366,0.37,0.374,0.378,0.383,0.39,17.690000534057617,0.06371912,OF,/players/kyle-tucker/18345/stats/batting,22.0,NL,Kyle Tucker,663656.0,18345,18345
