Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ra_talent_sd,chance_ra_se,total_ra_se,q10,q20,q30,q40,q50,q60,q70,q80,q90,tt_q10,tt_q20,tt_q30,tt_q40,tt_q50,tt_q60,tt_q70,tt_q80,tt_q90,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,13.9615,8.9771,32.0,32.0,0.0,0.0,,199.765,797.146,160.083,68.4847,62.3888,20.3538,242.278,43.5417,0.3643,7.1193,2.8108,1.01932,10.9154,1.96168,5.56428,0.917,0.303932,0.054622,0.24931005388498306,0.423339,0.214448,0.288783,0.771657,2.79487,1149.0,5.745,1071.0,5.355,5.85816,5.79614,22.5881,0.365953,0.677619,0.770123,4.1,3.68,3.41,3.19,2.99,2.81,2.63,2.43,2.18,3.57,3.38,3.26,3.16,3.06,2.97,2.88,2.77,2.63,6.449999809265137,6.0,AL,Tarik Skubal,669373.0,22267,22267
PIT,Pirates,13.3797,9.2425,32.0,32.0,0.0,0.0,,193.982,785.35,158.09,69.1693,62.8908,17.5014,237.005,51.5732,0.5026,7.1695,2.91789,1.08084,10.9961,2.3928,4.59551,0.812,0.301783,0.0656691,0.23611410707235336,0.444132,0.217572,0.297793,0.758765,2.77292,1100.4,5.6721649484536085,1033.0,5.324742268041237,5.69677,5.73887,21.2707,0.412691,0.702406,0.814671,4.28,3.84,3.55,3.31,3.11,2.92,2.73,2.52,2.26,3.75,3.55,3.4,3.29,3.18,3.08,2.98,2.86,2.7,9.850000381469727,27.0,NL,Paul Skenes,694973.0,33677,33677
BOS,Red Sox,13.5706,8.9751,32.0,32.0,0.0,0.0,,192.855,773.587,157.404,70.6294,64.5097,19.5212,238.814,49.7208,0.4928,6.0061,3.01048,1.07399,11.1448,2.32033,4.8031,0.911,0.30871,0.0642731,0.24443704634904861,0.455553,0.219268,0.300054,0.759172,2.84128,1084.0,5.616580310880829,1015.0,5.259067357512953,5.59016,5.38187,20.7616,0.404404,0.714416,0.820934,4.38,3.93,3.64,3.4,3.2,3.01,2.81,2.6,2.34,3.83,3.63,3.49,3.37,3.27,3.17,3.07,2.95,2.8,10.100000381469727,3.0,AL,Garrett Crochet,676979.0,27463,27463
PHI,Phillies,13.4669,9.394,32.0,32.0,0.0,0.0,,198.055,812.7,183.346,77.3902,69.49,17.6489,192.396,50.0103,0.4957,6.6796,3.15776,1.17824,8.74285,2.27256,3.84713,0.802,0.236737,0.061536,0.1752009354531765,0.544945,0.242518,0.303494,0.747509,3.20942,981.0,4.954545454545454,969.0,4.893939393939394,4.68887,5.10095,21.0886,0.389181,0.728443,0.825888,4.61,4.16,3.87,3.63,3.42,3.23,3.03,2.82,2.54,4.03,3.84,3.7,3.59,3.5,3.4,3.3,3.19,3.03,28.049999237060547,26.0,NL,Cristopher Sánchez,650911.0,20778,20778
TEX,Rangers,12.0782,9.5966,30.78,30.78,0.0,0.0,,184.508,754.017,159.56,76.8111,71.2594,24.6831,213.728,41.9829,0.4637,5.6287,3.47592,1.09232,10.4253,2.04786,5.09083,1.204,0.283452,0.055679,0.22777296602725983,0.378991,0.225875,0.288201,0.746956,3.33166,929.5,5.024324324324325,884.0,4.778378378378378,4.30974,3.71006,18.2326,0.482358,0.77787,0.915287,4.96,4.46,4.13,3.87,3.64,3.42,3.21,2.97,2.67,4.38,4.14,3.97,3.84,3.72,3.6,3.47,3.34,3.15,45.0,13.0,AL,Jacob deGrom,594798.0,10954,10954
KCR,Royals,11.8423,8.5063,29.16,29.16,0.0,0.0,,172.018,709.938,138.771,67.1209,61.6855,17.8325,210.49,62.1771,0.5971,5.627,3.22739,1.16818,11.0129,3.25311,3.38534,0.933,0.296491,0.087581,0.20891023427248,0.399122,0.216109,0.292256,0.760457,3.218,905.9999999999999,5.267441860465116,842.0,4.895348837209302,4.24924,4.34194,17.6182,0.443291,0.781007,0.898042,4.7,4.2,3.88,3.63,3.4,3.19,2.98,2.75,2.46,4.09,3.87,3.72,3.6,3.48,3.37,3.26,3.13,2.96,49.04999923706055,7.0,AL,Cole Ragans,666142.0,21846,21846
ATL,Braves,12.0898,7.446,27.54,27.54,0.0,0.0,,168.535,685.659,139.763,64.9667,59.7542,18.0894,205.46,44.2634,0.5232,8.6084,3.19096,1.09192,10.9719,2.36373,4.64177,0.966,0.299654,0.064556,0.23509792238473892,0.416999,0.220869,0.297319,0.750213,3.03342,916.2,5.4213017751479295,862.0,5.100591715976331,4.1508,4.31761,17.7372,0.425942,0.784389,0.892576,4.65,4.16,3.84,3.58,3.36,3.15,2.94,2.72,2.43,4.03,3.82,3.67,3.55,3.44,3.34,3.23,3.11,2.94,33.79999923706055,16.0,NL,Chris Sale,519242.0,10603,10603
SFG,Giants,12.472,10.5175,32.0,32.0,0.0,0.0,,199.392,830.798,193.86,81.8897,73.6092,16.8154,187.161,46.9476,0.7552,6.0499,3.32252,1.20771,8.44793,2.11909,3.98658,0.759,0.225278,0.056509,0.16876906156539917,0.546891,0.249241,0.308534,0.731443,3.15154,974.1000000000003,4.894974874371861,989.0,4.969849246231155,4.06258,3.91461,20.7262,0.381199,0.743495,0.835522,4.8,4.35,4.05,3.81,3.6,3.41,3.21,2.99,2.71,4.19,4.01,3.88,3.77,3.68,3.58,3.48,3.37,3.22,56.099998474121094,30.0,NL,Logan Webb,657277.0,17995,17995
BOS,Red Sox,11.5168,9.9976,30.78,30.78,0.0,0.0,,181.357,756.916,171.038,80.6763,74.1992,21.2188,189.835,47.6971,0.5011,5.6572,3.6822,1.2061,9.42074,2.36701,3.98002,1.053,0.250801,0.0630151,0.18778594583272934,0.450968,0.243103,0.304197,0.730359,3.44522,854.5000000000001,4.720994475138122,850.0,4.696132596685083,3.87296,3.46659,17.0218,0.417668,0.808238,0.909778,5.2,4.72,4.39,4.13,3.9,3.69,3.47,3.23,2.93,4.55,4.35,4.21,4.09,3.98,3.88,3.77,3.65,3.48,112.25,3.0,AL,Sonny Gray,543243.0,12768,12768
TOR,Blue Jays,12.3513,9.7774,32.0,32.0,0.0,0.0,,184.857,777.691,157.338,80.0659,74.0616,22.4499,216.042,67.5891,1.179,5.8895,3.60578,1.21676,10.5183,3.29066,3.1964,1.093,0.277799,0.08691,0.19088903814554214,0.382153,0.223425,0.289634,0.748648,3.56899,900.2,4.865945945945946,849.0,4.589189189189189,3.79905,3.26652,17.3657,0.404083,0.791221,0.888433,5.07,4.59,4.28,4.02,3.8,3.59,3.38,3.14,2.85,4.43,4.23,4.09,3.98,3.88,3.78,3.67,3.55,3.4,70.0,14.0,AL,Dylan Cease,656302.0,18525,18525
