Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,positionDB,teamid,playerTeamId,League,PlayerName,xMLBAMID,playerids,playerid
KCR,Royals,81.43,330.945,369.107,96.0674,57.9715,21.1573,2.3101,14.6285,56.2738,48.6829,30.7466,3.322,61.7213,3.322,2.5766,1.5167,,21.1171,6.5593,0.290282,0.354024,0.500779,0.854803,0.367857,0.0832999,0.167218,0.498152,0.210497,6.52973,0.316671,1.203,,58.5832,14.9246,3.497,1.03723,2.24023,3.71867,15.837647676467896,7.568000078201294,131.153,542.2,6.69382716,542.2,6.69382716,3.0999999046325684,0.01716738,SS,/players/bobby-witt-jr/25764/stats/batting,SS,7.0,7.0,AL,Bobby Witt Jr.,677951.0,25764,25764
NYM,Mets,82.29,291.636,367.654,80.4681,46.4047,12.9465,1.021,20.0959,59.0578,54.721,70.7367,5.8825,61.0686,1.8383,2.6719,0.7714,,11.0767,3.8515,0.27592,0.417144,0.534036,0.951181,0.408852,0.1924,0.166103,1.15832,0.258117,4.61748,0.283247,-0.349,,70.488,27.0012,-3.199,0.0118047,-0.337195,3.26807,28.252062916755676,-7.999000072479248,165.739,616.1,7.513414634,616.1,7.513414634,4.650000095367432,0.125,OF,/players/juan-soto/20123/stats/batting,OF,25.0,25.0,NL,Juan Soto,665742.0,20123,20123
SEA,Mariners,81.47,328.641,364.149,88.0598,54.6115,16.0656,0.9221,16.4606,49.2156,50.8891,27.6753,1.8207,77.2964,4.3698,2.6402,0.8226,,11.8125,3.4887,0.267951,0.33057,0.472708,0.803278,0.347888,0.0759999,0.212266,0.358041,0.204757,5.21405,0.301439,0.299,,51.9412,8.86901,2.668,0.46255,0.76155,2.98137,12.423552095890045,3.9149999618530273,127.082,476.7,5.885185185,476.7,5.885185185,9.489999771118164,0.01276596,OF,/players/julio-rodriguez/23697/stats/batting,OF,11.0,11.0,AL,Julio Rodríguez,677594.0,23697,23697
BAL,Orioles,81.43,323.979,369.591,84.4532,50.4883,16.7054,2.0348,15.2247,53.1177,46.3703,37.8831,1.1088,78.5648,3.6959,2.531,1.5027,,11.1886,3.4179,0.260675,0.342396,0.465779,0.808175,0.352307,0.1025,0.212572,0.482189,0.205103,5.73352,0.297475,1.046,,54.0325,10.3166,-0.647,0.333551,1.37955,2.9399,12.31259572505951,3.425000011920929,125.015,486.6,6.007407407,486.6,6.007407407,12.510000228881836,0.05726872,SS,/players/gunnar-henderson/26289/stats/batting,SS,2.0,2.0,AL,Gunnar Henderson,683002.0,26289,26289
LAD,Dodgers,81.41,313.18,377.461,85.4611,44.8004,14.7277,2.923,23.0101,67.4086,53.7688,56.6947,9.0591,90.1959,3.0197,2.3152,2.2514,,10.5178,3.0887,0.272881,0.386918,0.558992,0.94591,0.399435,0.1502,0.238954,0.628573,0.28611,6.20556,0.308721,0.125,,69.5064,24.8597,0.0,0.310496,0.435496,2.88537,25.675265461206436,-9.498000144958496,156.53,632.3,7.806172839,632.3,7.806172839,1.2699999809265137,0.89641434,DH,/players/shohei-ohtani/19755/stats/batting,DH,22.0,22.0,NL,Shohei Ohtani,660271.0,19755,19755
TBR,Rays,85.25,334.856,374.447,90.8051,51.9028,16.3009,0.4265,22.1749,52.4275,60.926,34.0747,1.8722,69.3821,2.2467,2.6144,0.656,,2.6062,0.9689,0.271177,0.3401,0.521071,0.861172,0.369687,0.091,0.185292,0.491117,0.249895,3.01314,0.279083,-0.067,,59.9825,15.6922,-0.834,-0.348832,-0.415832,2.88098,14.873043686151505,0.11300003528594971,134.528,538.7,6.337647058,538.7,6.337647058,16.479999542236328,0.02654867,3B,/players/junior-caminero/28163/stats/batting,3B,12.0,12.0,AL,Junior Caminero,691406.0,28163,28163
SEA,Mariners,74.77,286.33,334.6,63.146,32.4993,11.3434,0.2216,19.0817,46.5961,46.6148,41.825,4.0152,90.5089,3.0114,2.3597,1.0738,,4.1448,1.4038,0.220536,0.32376,0.461627,0.785387,0.338943,0.125,0.270499,0.462109,0.241091,3.68045,0.246033,-0.83,,45.3165,5.73949,0.794,-0.149226,-0.979226,2.8725,7.326613485813141,3.856000065803528,120.992,417.1,5.561333333,417.1,5.561333333,18.729999542236328,0.24137931,C,/players/cal-raleigh/21534/stats/batting,C,11.0,11.0,AL,Cal Raleigh,663728.0,21534,21534
HOU,Astros,75.65,285.995,341.267,85.2715,48.8349,16.4624,0.5773,19.3969,55.5731,52.1155,46.8901,7.8491,57.4278,4.7777,2.4156,1.1887,,1.6324,0.5441,0.298157,0.40267,0.563224,0.965893,0.40975,0.1374,0.168278,0.816505,0.265066,3.12951,0.311337,-0.727,,65.6758,25.3102,-0.093,-0.40294,-1.12994,2.84662,24.399521231651306,-8.570999689400196,163.261,577.7,7.601315789,577.7,7.601315789,33.38999938964844,0.78688525,DH/OF,/players/yordan-alvarez/19556/stats/batting,DH/OF,21.0,21.0,AL,Yordan Alvarez,670541.0,19556,19556
SDP,Padres,83.36,333.005,382.927,90.8876,58.1743,16.9344,1.1827,14.5962,56.25,43.4597,41.5858,1.9146,74.1936,3.8293,2.4462,2.06,,17.6898,4.5895,0.272931,0.357875,0.462383,0.820258,0.358663,0.1086,0.193754,0.560504,0.189452,5.68613,0.309295,0.287,,57.9417,12.6485,1.536,1.09266,1.37966,2.73941,15.881039142608643,-1.313999891281128,132.015,530.8,6.395180722,530.8,6.395180722,14.010000228881836,0.00851064,SS/OF,/players/fernando-tatis-jr/19709/stats/batting,SS/OF,29.0,29.0,NL,Fernando Tatis Jr.,665487.0,19709,19709
ATH,Athletics,82.42,308.41,374.524,81.5686,43.5091,15.2127,1.145,21.7018,61.5318,53.1581,59.3247,5.9924,105.291,2.6217,2.4703,1.6976,,4.708,1.3904,0.264481,0.384937,0.532332,0.91727,0.392214,0.1584,0.281133,0.563435,0.267851,4.47653,0.325562,-0.116,,66.788,22.4886,-0.564,-0.173625,-0.289625,2.73076,20.939560502767563,-7.432000041007996,147.934,599.9,7.315853658,599.9,7.315853658,19.8700008392334,0.03157895,1B,/players/nick-kurtz/35110/stats/batting,1B,10.0,10.0,AL,Nick Kurtz,701762.0,35110,35110
