Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,UPURL,positionDB,teamid,playerTeamId,League,PlayerName,xMLBAMID,playerids,playerid
PHI,Phillies,3.8792,2.4617,8.8889,8.8889,0.0,0.0,,55.1556,224.392,48.7832,19.9727,17.8241,4.50437,57.0526,13.9924,,1.8892,2.90844,1.13815,9.30954,2.28321,4.0774,0.735,0.254254,0.0623569,0.1918972134590149,,0.233961,0.301312,0.757983,2.94601,284.1,5.165454545454546,276.0,5.0181818181818185,1.53363,1.58382,6.1246,24.75,/players/cristopher-sanchez/20778/stats/pitching,P,26.0,26.0,NL,Cristopher Sánchez,650911.0,20778,20778
PIT,Pirates,3.5606,2.4519,8.6914,8.6914,0.0,0.0,,50.5948,205.67,40.7703,18.0103,16.4108,4.64348,61.745,14.0207,,2.1569,2.91922,1.08294,10.9834,2.49406,4.40385,0.826,0.300214,0.0681709,0.2320430725812912,,0.215155,0.293466,0.761661,2.8009,285.30000000000007,5.594117647058825,266.0,5.215686274509804,1.51675,1.514,5.4359,9.649999618530273,/players/paul-skenes/33677/stats/pitching,P,27.0,27.0,NL,Paul Skenes,694973.0,33677,33677
LAD,Dodgers,3.8528,2.0339,8.28,8.28,0.0,0.0,,51.232,204.682,41.7283,18.7705,17.2304,6.22184,63.1709,11.0576,,1.8976,3.02689,1.03033,11.0973,1.9425,5.71289,1.093,0.308629,0.0540233,0.25460613891482353,,0.217645,0.290242,0.771756,2.96063,281.40000000000003,5.51764705882353,264.0,5.176470588235294,1.48018,1.35612,5.5735,7.019999980926514,/players/tarik-skubal/22267/stats/pitching,P,22.0,22.0,NL,Tarik Skubal,669373.0,22267,22267
PHI,Phillies,3.5629,2.4331,8.55,8.55,0.0,0.0,,51.1861,208.243,42.217,19.3494,17.7105,5.60203,59.6062,13.5493,,2.2642,3.11402,1.08948,10.4805,2.38236,4.39921,0.985,0.286234,0.0650649,0.22116901725530624,,0.219389,0.287805,0.759897,3.10991,266.40000000000003,5.223529411764707,249.0,4.882352941176471,1.36468,1.41314,5.3942,110.48999786376953,/players/zack-wheeler/10310/stats/pitching,P,26.0,26.0,NL,Zack Wheeler,554430.0,10310,10310
ATL,Braves,3.5701,2.2519,8.28,8.28,0.0,0.0,,49.9221,202.441,40.4924,18.639,17.0965,5.15862,61.4545,12.9648,,2.8613,3.08218,1.07081,11.0791,2.33731,4.7401,0.93,0.303567,0.0640424,0.23952510207891464,,0.216984,0.294444,0.753068,2.92167,278.5,5.57,259.0,5.18,1.3543,1.31105,5.3101,39.36000061035156,/players/chris-sale/10603/stats/pitching,P,16.0,16.0,NL,Chris Sale,519242.0,10603,10603
MIL,Brewers,3.5347,2.5723,8.74,8.74,0.0,0.0,,51.8653,213.262,38.3172,19.4607,17.8517,5.51501,69.1748,20.1174,,3.1497,3.09773,1.12666,12.0037,3.4909,3.43856,0.957,0.324365,0.0943319,0.23003346472978592,,0.201675,0.284482,0.76851,3.14998,281.19999999999993,5.407692307692306,251.0,4.826923076923077,1.30682,1.42423,5.4553,114.13999938964844,/players/jacob-misiorowski/31623/stats/pitching,P,23.0,23.0,NL,Jacob Misiorowski,694819.0,31623,31623
TOR,Blue Jays,3.4589,2.7137,8.8889,8.8889,0.0,0.0,,51.9954,216.557,40.6825,20.5688,18.9159,5.63283,66.7259,20.2999,,1.6335,3.27419,1.17284,11.5497,3.51376,3.28701,0.975,0.308122,0.0937393,0.2143823280930519,,0.209032,0.28667,0.761136,3.19653,272.4,5.238461538461538,250.0,4.8076923076923075,1.27759,1.14695,5.2531,74.7699966430664,/players/dylan-cease/18525/stats/pitching,P,14.0,14.0,AL,Dylan Cease,656302.0,18525,18525
PHI,Phillies,3.5651,2.63,8.8889,8.8889,0.0,0.0,,52.4566,216.316,44.1399,20.936,19.1792,5.85183,59.8414,16.9635,,1.9856,3.29059,1.16484,10.267,2.91043,3.52766,1.004,0.276639,0.07842,0.19821881502866745,,0.223644,0.29078,0.759152,3.34167,259.6,4.992307692307692,245.0,4.711538461538462,1.24041,1.25966,5.312,70.58999633789062,/players/jesus-luzardo/19959/stats/pitching,P,26.0,26.0,NL,Jesús Luzardo,666200.0,19959,19959
SFG,Giants,3.3011,3.2288,9.0864,9.0864,0.0,0.0,,56.6689,237.605,55.413,24.0227,21.6335,4.65944,49.7881,15.0597,,1.9215,3.43578,1.24359,7.90721,2.39174,3.30605,0.74,0.209541,0.0633812,0.14616023004055023,,0.251165,0.30542,0.726355,3.30001,266.29999999999995,4.671929824561403,269.0,4.719298245614035,1.17676,1.13368,5.7804,57.189998626708984,/players/logan-webb/17995/stats/pitching,P,30.0,30.0,NL,Logan Webb,657277.0,17995,17995
TEX,Rangers,3.084,2.5706,8.28,8.28,0.0,0.0,,46.7244,190.556,39.4862,19.0598,17.6934,6.2403,55.0004,11.3695,,1.2335,3.40808,1.08842,10.5941,2.18998,4.83754,1.202,0.288631,0.0596649,0.22896629571914673,,0.221891,0.284853,0.754901,3.28047,246.6,5.246808510638298,231.0,4.914893617021277,1.12665,1.07582,4.4934,50.0099983215332,/players/jacob-degrom/10954/stats/pitching,P,13.0,13.0,AL,Jacob deGrom,594798.0,10954,10954
