Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,144.956,517.527,637.485,148.656,75.1273,24.0859,0.745251,48.6976,104.612,118.099,108.588,18.1793,159.549,5.98329,4.27149,0.500164,9.02862,7.88064,2.82102,0.287243,0.413639,0.618954,1.03259,0.426539,0.170338,0.250279,0.680592,0.331711,3.46359,0.318795,,,134.06,58.7367,-2.34,-0.711443,-0.711443,7.32747,59.02001392841339,-9.342705011367798,179.499,1204.1,8.304137931,1204.1,8.304137931,1.9199999570846558,0.37086093,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
SEA,Mariners,150.331,540.677,625.895,126.542,59.2383,23.0397,0.470975,43.7933,87.8413,111.727,73.7771,6.91375,171.726,6.23956,4.40645,0.493324,6.46192,7.67606,2.26398,0.234044,0.330441,0.521391,0.851832,0.358838,0.117875,0.274368,0.429622,0.287347,3.49358,0.251086,,,97.2199,23.2655,14.95,-0.265601,-0.265601,7.28723,27.962529093027115,21.720386505126953,138.266,900.1,6.000666666,900.1,6.000666666,18.489999771118164,0.23899371,C,/players/cal-raleigh/21534/stats/batting,11,AL,Cal Raleigh,663728,21534,21534
LAD,Dodgers,148.128,559.583,659.306,158.863,80.1401,26.3627,5.54688,46.8134,121.953,116.079,89.23,13.3885,155.744,4.7522,3.63217,0.724956,8.45816,23.0973,10.4998,0.283895,0.384733,0.601805,0.986537,0.409691,0.135339,0.236224,0.572927,0.317909,6.24508,0.310681,,,129.631,51.7284,0.0,-0.741486,-0.741486,6.07393,51.41446632146835,-13.983277320861816,166.746,1179.5,7.969594594,1179.5,7.969594594,1.2599999904632568,0.91860465,DH,/players/shohei-ohtani/19755/stats/batting,22,NL,Shohei Ohtani,660271,19755,19755
NYM,Mets,153.94,544.629,674.851,145.156,82.7471,24.6421,0.620323,37.146,106.168,96.303,121.199,8.81306,120.306,4.10753,3.85057,1.06547,13.7698,17.1005,5.6056,0.266522,0.401406,0.518658,0.920064,0.392815,0.179593,0.17827,1.00742,0.252136,4.04655,0.27622,,,123.44,43.7016,-2.99,-0.190804,-0.190804,5.96719,46.1814878731966,-10.310779809951782,157.977,1083.5,7.035714285,1083.5,7.035714285,4.489999771118164,0.01875,OF,/players/juan-soto/20123/stats/batting,25,NL,Juan Soto,665742,20123,20123
KCR,Royals,151.216,599.152,659.757,170.394,101.179,36.134,6.06445,27.0161,100.052,90.0631,47.5779,4.97471,114.095,6.45824,5.72815,0.840709,6.94059,34.7009,9.87087,0.284391,0.340604,0.500215,0.84082,0.35675,0.0721143,0.172935,0.417002,0.215824,7.10542,0.309157,,,101.361,23.4055,3.65,1.90604,1.90604,5.77825,23.117942452430725,10.65074110031128,127.279,945.9,6.26423841,945.9,6.26423841,2.9000000953674316,0.02531646,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
SEA,Mariners,151.402,597.478,658.878,165.156,103.493,28.1228,3.84265,29.6973,96.0907,90.84,47.8065,3.62092,148.213,9.21253,3.84573,0.535307,11.1896,25.0909,7.08971,0.276422,0.337476,0.485467,0.822943,0.351801,0.0725574,0.224947,0.322553,0.209045,6.09631,0.31992,,,98.5786,20.7271,0.52,1.07908,1.07908,5.35847,27.030311346054077,2.665719747543335,133.418,911.9,6.039072847,911.9,6.039072847,10.619999885559082,0.00625,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
BAL,Orioles,152.405,580.942,657.346,156.253,92.3714,33.0331,3.83019,27.0185,96.3991,82.6409,64.8425,3.15489,141.748,5.71702,5.33229,0.512203,11.9585,20.096,5.14804,0.268965,0.345312,0.478537,0.823849,0.353026,0.0986429,0.215637,0.457448,0.209572,5.84262,0.309539,,,99.0031,21.3326,-1.33,0.856198,0.856198,5.30082,23.459473609924316,5.725787043571472,129.175,901.9,5.933552631,901.9,5.933552631,12.789999961853027,0.05228758,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
CLE,Guardians,150.686,576.479,648.991,159.376,93.8215,33.4396,3.12263,28.9919,93.5759,89.902,61.2193,14.9103,74.6268,4.51625,5.88569,0.690138,7.11448,32.5711,10.4275,0.276464,0.34734,0.496178,0.843518,0.353689,0.0943299,0.114989,0.820339,0.219714,5.90374,0.272344,,,98.0938,21.4106,0.6,1.28908,1.28908,4.83856,23.75544548034668,1.1993301510810852,129.371,932.5,6.175496688,932.5,6.175496688,5.769999980926514,0.1625,3B,/players/jose-ramirez/13510/stats/batting,5,AL,José Ramírez,608070,13510,13510
NYM,Mets,140.058,545.185,618.168,141.311,86.4215,26.6454,1.56742,26.677,86.7108,78.9345,52.5849,1.03654,115.39,9.42958,4.49583,0.666302,9.2571,21.7945,6.09614,0.259199,0.332397,0.460619,0.793016,0.342103,0.0850657,0.186664,0.455715,0.20142,5.26324,0.281232,,,87.62,14.5787,1.02,0.889353,0.889353,4.65572,17.914428651332855,7.023858070373535,123.237,799.1,5.707857142,799.1,5.707857142,23.3799991607666,0.0125,SS,/players/francisco-lindor/12916/stats/batting,25,NL,Francisco Lindor,596019,12916,12916
MIL,Brewers,144.513,525.674,602.868,139.052,93.221,25.9656,0.975263,18.8904,72.1016,77.1621,67.4074,2.69865,117.915,4.68051,4.14978,0.956723,15.1171,5.81722,1.71694,0.264522,0.350783,0.425435,0.776218,0.338652,0.111811,0.19559,0.57166,0.160913,3.45276,0.305742,,,83.7624,12.5289,5.49,-0.613173,-0.613173,4.62396,12.48203593492508,12.654913902282715,118.327,733.9,5.06137931,733.9,5.06137931,53.33000183105469,0.14473684,C,/players/william-contreras/20503/stats/batting,23,NL,William Contreras,661388,20503,20503
TEX,Rangers,123.003,454.375,526.432,125.305,74.0115,23.4953,0.75979,27.0382,70.0217,82.4435,58.7677,8.42605,97.3036,4.62701,4.28274,0.471025,10.3431,1.69866,0.660398,0.275774,0.361457,0.509346,0.870803,0.368296,0.111634,0.184836,0.603962,0.233572,2.60911,0.293933,,,85.8126,23.6106,-0.08,-0.782197,-0.782197,4.62275,23.821869730949402,3.241840288043022,139.654,765.2,6.221138211,765.2,6.221138211,99.48999786376953,0.04901961,SS,/players/corey-seager/13624/stats/batting,13,AL,Corey Seager,608369,13624,13624
ARI,Diamondbacks,140.796,537.063,615.658,146.717,85.8878,29.5755,2.64307,28.611,85.4968,93.5527,66.6574,4.39113,102.219,6.35062,4.27119,0.61948,12.6488,4.70001,1.75125,0.273185,0.357659,0.497915,0.855574,0.3655,0.10827,0.166032,0.652104,0.224731,3.88628,0.28771,,,98.9597,26.2149,-0.25,-0.797156,-0.797156,4.60734,24.727278888225555,-0.17837003618478775,134.98,885.8,6.282269503,885.8,6.282269503,32.59000015258789,0.168,2B,/players/ketel-marte/13613/stats/batting,15,NL,Ketel Marte,606466,13613,13613
