Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
PIT,Pirates,13.6421,9.05119,32.0,32.0,0.0,0.0,,185.44,740.039,143.855,62.32,58.31,15.137,214.382,45.6044,0.451943,6.57318,2.82997,1.02167,10.4046,2.21333,4.70089,0.734649,0.28969,0.0616244,0.2280653566122055,,0.209134,0.280833,0.755579,2.72827,1079.1,5.832972972972972,999.0,5.4,5.98878,5.64841,13.1189,9.899999618530273,27,NL,Paul Skenes,694973,33677,33677
DET,Tigers,13.6942,8.96536,32.0,32.0,0.0,0.0,,184.992,728.154,140.224,62.3,57.96,19.3948,222.424,37.7662,0.494559,5.92166,2.8198,0.962153,10.8211,1.83736,5.8895,0.94357,0.305463,0.0518657,0.2535974755883217,,0.204867,0.27297,0.766986,2.80186,1083.3,5.855675675675675,990.0,5.351351351351352,5.8178,5.64841,13.0351,6.400000095367432,6,AL,Tarik Skubal,669373,22267,22267
BOS,Red Sox,14.163,9.11058,32.0,32.0,0.0,0.0,,194.496,781.344,156.379,73.41,68.07,22.0794,234.964,47.8128,0.573827,5.55124,3.14983,1.04985,10.8726,2.21246,4.91426,1.02169,0.300718,0.061193,0.23952510580420494,,0.214812,0.285175,0.754739,3.01789,1067.4,5.502061855670104,992.0,5.11340206185567,5.46477,4.99675,14.9012,10.0,3,AL,Garrett Crochet,676979,27463,27463
SFG,Giants,13.4464,9.86135,32.0,32.0,0.0,0.0,,195.968,803.862,182.21,78.37,72.94,15.3759,185.664,45.565,0.830473,6.23175,3.34983,1.16231,8.5268,2.09261,4.07472,0.706153,0.230965,0.0566826,0.17428289726376534,,0.242279,0.30277,0.724393,3.05323,1008.7,5.146428571428571,1001.0,5.107142857142857,5.10464,4.56448,15.3012,56.150001525878906,30,NL,Logan Webb,657277,17995,17995
KCR,Royals,11.8001,8.68419,29.0,29.0,0.0,0.0,,168.258,691.532,131.002,66.09,61.88,17.7216,210.407,59.9052,0.570449,5.40654,3.30992,1.13461,11.2545,3.20428,3.51234,0.947915,0.304263,0.0866268,0.21763592213392258,,0.209194,0.284558,0.751471,3.16783,906.1999999999999,5.394047619047619,831.0,4.946428571428571,4.51644,4.00383,12.2477,49.20000076293945,7,AL,Cole Ragans,666142,21846,21846
PHI,Phillies,12.743,9.45308,32.0,32.0,0.0,0.0,,180.064,736.012,162.547,71.53,66.22,15.4192,175.066,44.1999,0.457987,5.47671,3.30982,1.14819,8.75019,2.20921,3.96078,0.770688,0.237858,0.0600532,0.1778045855462551,,0.236834,0.296719,0.730271,3.13151,926.7,5.148333333333333,908.0,5.044444444444444,4.48268,4.14233,12.56,28.200000762939453,26,NL,Cristopher Sánchez,650911,20778,20778
ATL,Braves,11.8151,8.29965,28.0,28.0,0.0,0.0,,168.056,692.218,141.718,71.83,67.04,18.9119,208.489,46.888,0.439407,8.87203,3.59023,1.12228,11.1653,2.51102,4.44653,1.0128,0.30119,0.0677359,0.2334538996219635,,0.222666,0.300217,0.720264,3.11227,888.3,5.2875,841.0,5.005952380952381,4.44094,3.33859,12.9627,33.849998474121094,16,NL,Chris Sale,519242,10603,10603
SEA,Mariners,12.5287,9.68194,32.0,32.0,0.0,0.0,,180.096,718.127,147.781,71.02,66.44,23.4949,181.173,33.8749,0.476526,6.56767,3.32023,1.00866,9.05381,1.69284,5.34828,1.17412,0.252285,0.0471712,0.2051139660179615,,0.218068,0.262752,0.743706,3.49281,903.3,5.018333333333333,840.0,4.666666666666667,4.25235,4.25454,12.573,42.29999923706055,11,AL,Bryan Woo,693433,30279,30279
PHI,Phillies,12.2064,9.86681,31.0,31.0,0.0,0.0,,183.892,764.34,160.64,82.91,76.83,22.2454,204.979,57.705,0.514092,5.70079,3.7602,1.18735,10.032,2.82419,3.55218,1.08873,0.268177,0.0754965,0.19268060475587845,,0.22918,0.29215,0.723472,3.51281,890.4,4.839130434782609,852.0,4.630434782608695,4.12808,3.20717,14.1043,71.1500015258789,26,NL,Jesús Luzardo,666200,19959,19959
SEA,Mariners,11.7683,9.9196,31.0,31.0,0.0,0.0,,177.692,722.544,159.119,76.9,71.87,21.7585,170.42,35.0882,0.475546,6.5163,3.64018,1.09294,8.6317,1.7772,4.85692,1.10206,0.235862,0.0485619,0.18729958683252335,,0.233675,0.281037,0.7164,3.51126,847.1999999999999,4.759550561797752,818.0,4.595505617977528,4.1224,3.45735,12.9607,64.44999694824219,11,AL,George Kirby,669923,25436,25436
LAD,Dodgers,12.8545,7.11801,28.0,28.0,0.0,0.0,,165.06,673.736,135.71,64.16,59.79,15.7066,178.973,50.1577,0.397498,5.39816,3.26009,1.12606,9.75864,2.73488,3.56822,0.856414,0.265643,0.0744471,0.19119618833065033,,0.219531,0.28336,0.74267,3.21333,863.6,5.233939393939394,810.0,4.909090909090909,4.10241,4.02722,12.2367,25.399999618530273,22,NL,Yoshinobu Yamamoto,808967,33825,33825
SEA,Mariners,11.0008,8.95434,29.0,29.0,0.0,0.0,,160.892,645.493,130.554,65.33,61.14,21.3484,188.609,36.4948,0.501759,4.93269,3.42006,1.03827,10.5504,2.04145,5.16811,1.19419,0.292194,0.0565378,0.23565607517957687,,0.216126,0.277096,0.741602,3.288,847.5000000000001,5.263975155279504,787.0,4.888198757763975,4.03317,3.63707,11.0662,39.20000076293945,11,AL,Logan Gilbert,669302,22250,22250
NYY,Yankees,13.7601,8.66699,31.0,31.0,0.0,0.0,,187.24,770.294,158.03,74.1,68.86,17.6769,174.903,59.0845,0.495729,7.05185,3.30987,1.15955,8.40701,2.83999,2.96022,0.84967,0.22706,0.0767039,0.15035643428564072,,0.224424,0.274353,0.743447,3.55386,903.5999999999999,4.832085561497326,853.0,4.561497326203209,3.9396,4.40055,14.3502,58.79999923706055,9,AL,Max Fried,608331,13743,13743
HOU,Astros,12.2846,9.60387,31.0,31.0,0.0,0.0,,180.575,747.197,151.791,76.9,72.23,19.6802,194.357,60.8743,0.546639,7.09076,3.6,1.17771,9.68689,3.03402,3.19276,0.980874,0.260114,0.0814702,0.17864421755075455,,0.223475,0.28399,0.733418,3.52846,882.2,4.874033149171271,829.0,4.580110497237569,3.93749,3.6582,13.4233,39.400001525878906,21,AL,Hunter Brown,686613,25880,25880
TOR,Blue Jays,12.7733,9.80999,32.0,32.0,0.0,0.0,,186.88,776.955,151.652,83.76,78.28,24.9174,224.796,68.8459,0.63956,6.2829,3.76991,1.17989,10.826,3.31557,3.26521,1.20001,0.28933,0.0886099,0.20072011649608612,,0.216083,0.280318,0.736682,3.66874,906.0999999999999,4.845454545454545,835.0,4.46524064171123,3.89415,3.29697,14.0648,70.5999984741211,14,AL,Dylan Cease,656302,18525,18525
