Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,147.116,525.108,646.074,150.936,73.7062,26.3606,0.399968,50.4689,107.002,122.277,109.825,18.4249,163.83,6.0747,4.29023,0.509523,9.04414,7.78913,2.8584,0.287437,0.413507,0.627495,1.041,0.429256,0.169989,0.253577,0.670363,0.340058,3.19524,0.318841,,,137.292,60.9533,0.0,-0.742823,-0.742823,7.80299,61.218694031238556,-7.189310550689697,181.371,1220.8,8.304761904,1220.8,8.304761904,2.0,0.19096334,OF,/players/aaron-judge/15640/stats/batting,9,AL,Aaron Judge,592450,15640,15640
NYM,Mets,154.969,550.607,681.449,148.742,83.5038,26.4508,0.386848,38.4007,108.009,100.03,121.722,8.87305,123.545,4.17427,3.86738,1.07853,13.9268,16.6605,6.0934,0.270142,0.40366,0.528814,0.932473,0.397169,0.178622,0.181297,0.985244,0.258672,3.70684,0.281104,,,127.056,46.5379,0.0,-0.487058,-0.487058,6.5531,48.74758031964302,-7.369714736938477,160.96,1109.5,7.158064516,1109.5,7.158064516,4.659999847412109,0.0202765,OF,/players/juan-soto/20123/stats/batting,25,NL,Juan Soto,665742,20123,20123
LAD,Dodgers,149.72,568.238,670.6,161.917,79.1146,31.21,3.14152,48.451,123.146,120.848,92.0103,13.6406,158.858,4.84817,3.67044,0.740045,8.84777,25.7335,8.326,0.284946,0.386945,0.606724,0.993668,0.412545,0.137206,0.236889,0.579199,0.321778,5.96267,0.311208,,,133.405,54.1686,0.0,0.66539,0.66539,6.49135,55.268813729286194,-14.133561134338379,168.701,1215.4,8.102666666,1215.4,8.102666666,1.090000033378601,0.89809524,DH,/players/shohei-ohtani/19755/stats/batting,22,NL,Shohei Ohtani,660271,19755,19755
SEA,Mariners,150.848,543.604,629.367,122.0,59.3441,22.5244,0.841766,39.2901,81.3726,104.453,74.4902,6.9426,173.69,6.29328,4.47988,0.499343,6.4334,7.317,2.57559,0.224429,0.322459,0.485792,0.80825,0.342809,0.118357,0.275976,0.428868,0.261363,3.55471,0.24682,,,89.5685,15.204,14.95,-0.470593,-0.470593,6.45888,19.723495185375214,21.74367094039917,127.224,823.1,5.450993377,823.1,5.450993377,19.139999389648438,0.11726384,C,/players/cal-raleigh/21534/stats/batting,11,AL,Cal Raleigh,663728,21534,21534
KCR,Royals,153.223,606.082,667.582,176.89,104.047,35.769,5.55838,31.5155,105.897,97.4872,48.3445,5.03171,113.654,6.5316,5.7663,0.85797,7.17905,37.1667,8.55097,0.291858,0.347619,0.525213,0.872831,0.369168,0.0724173,0.170247,0.425366,0.233355,7.016,0.311508,,,109.294,30.414,0.0,2.91563,2.91563,6.25956,31.11006760597229,7.093657493591309,135.833,1034.7,6.762745098,1034.7,6.762745098,3.200000047683716,0.02685624,SS,/players/bobby-witt-jr/25764/stats/batting,7,AL,Bobby Witt Jr.,677951,25764,25764
BAL,Orioles,152.732,581.959,658.353,155.828,93.8297,34.547,2.67791,24.7733,94.5015,80.3565,64.7249,3.14776,139.466,5.73939,5.4074,0.521897,12.2503,20.4143,5.14041,0.267764,0.343997,0.464037,0.808034,0.347477,0.0983133,0.211841,0.464091,0.196273,5.60116,0.309728,,,96.1887,18.3992,0.0,0.913947,0.913947,5.14797,20.585812747478485,7.070925712585449,125.352,882.2,5.766013071,882.2,5.766013071,14.489999771118164,0.04734848,SS,/players/gunnar-henderson/26289/stats/batting,2,AL,Gunnar Henderson,683002,26289,26289
SEA,Mariners,152.067,601.01,662.604,164.422,104.168,25.8753,6.16586,28.2125,94.5885,87.9518,47.8534,3.63086,146.433,9.28081,3.91187,0.547731,10.8927,25.6522,6.5384,0.273576,0.334649,0.477973,0.812621,0.347564,0.0722202,0.220997,0.326793,0.204396,6.65011,0.316563,,,96.8565,18.5648,0.0,1.41195,1.41195,5.13519,25.23036503791809,2.155144453048706,130.499,891.0,5.861842105,891.0,5.861842105,10.710000038146973,0.02555366,OF,/players/julio-rodriguez/23697/stats/batting,11,AL,Julio Rodríguez,677594,23697,23697
TOR,Blue Jays,154.695,586.356,671.507,175.286,111.155,31.0911,1.15222,31.8876,99.4711,98.2219,72.9387,7.05907,88.6832,7.24409,4.34671,0.621682,16.7784,5.75268,2.21263,0.298941,0.380794,0.519044,0.899837,0.383516,0.108619,0.132066,0.822463,0.220102,3.45344,0.305018,,,117.759,38.4154,0.0,-0.972124,-0.972124,5.01893,38.075994431972504,-12.133231163024902,149.337,1036.2,6.68516129,1036.2,6.68516129,18.56999969482422,0.19917864,1B,/players/vladimir-guerrero-jr/19611/stats/batting,14,AL,Vladimir Guerrero Jr.,665489,19611,19611
ARI,Diamondbacks,143.61,544.537,624.186,150.221,87.2634,31.4082,1.83297,29.7161,86.9961,96.695,67.8232,4.44777,102.564,6.4551,4.3334,0.636226,13.0128,4.79234,1.78384,0.275868,0.360265,0.503993,0.864258,0.368927,0.108659,0.164316,0.661277,0.228125,3.61643,0.289264,,,102.067,28.3149,0.0,-0.80913,-0.80913,4.85481,26.805760741233826,-0.1217695102095604,137.328,904.2,6.279166666,904.2,6.279166666,39.86000061035156,0.06745098,2B,/players/ketel-marte/13613/stats/batting,15,NL,Ketel Marte,606466,13613,13613
TEX,Rangers,125.821,463.029,536.949,127.686,74.7543,23.9461,0.669482,28.3164,72.136,84.6487,60.6365,8.58478,100.693,4.73284,4.33481,0.482435,10.5299,1.67003,0.663464,0.275763,0.362387,0.513836,0.876223,0.370328,0.112928,0.187527,0.602194,0.238072,2.33797,0.293686,,,88.4127,24.968,0.0,-0.806071,-0.806071,4.81422,25.17524617910385,3.3979437351226807,141.054,791.3,6.28015873,791.3,6.28015873,108.13999938964844,0.03491495,SS,/players/corey-seager/13624/stats/batting,13,AL,Corey Seager,608369,13624,13624
ATL,Braves,142.472,532.28,626.877,147.938,91.2817,24.4459,3.19278,29.0178,101.605,83.4188,81.7775,3.368,135.003,8.45918,3.81953,0.540354,12.0268,25.8485,8.98737,0.277933,0.380267,0.499404,0.879671,0.378287,0.130452,0.215359,0.605744,0.221471,5.92593,0.319611,,,107.271,33.2008,0.0,0.313126,0.313126,4.76792,33.19219970703125,-7.447012901306152,144.253,950.3,6.692253521,950.3,6.692253521,7.400000095367432,0.03935185,OF,/players/ronald-acuna-jr/18401/stats/batting,16,NL,Ronald Acuña Jr.,660670,18401,18401
MIL,Brewers,145.601,533.836,611.426,140.254,91.5691,27.4799,0.0,21.2052,73.4747,82.6548,67.6689,2.73075,121.127,4.76638,4.17988,0.975335,15.3742,5.36811,2.06494,0.262729,0.348414,0.433372,0.781786,0.340212,0.110674,0.198106,0.55866,0.170643,2.78825,0.300869,,,85.7262,13.4815,5.49,-0.836683,-0.836683,4.73403,13.219131886959076,12.708856582641602,119.396,748.6,5.12739726,748.6,5.12739726,53.88999938964844,0.20805369,C,/players/william-contreras/20503/stats/batting,23,NL,William Contreras,661388,20503,20503
HOU,Astros,130.822,476.619,559.742,138.948,77.1101,27.1758,1.25864,33.4038,84.6778,92.2607,69.5768,9.03291,93.2415,7.80889,5.21703,0.520254,9.25987,3.41395,1.13701,0.291529,0.386848,0.564083,0.950932,0.399174,0.124302,0.166579,0.7462,0.272554,3.13724,0.297149,,,105.275,39.1375,0.0,-0.743136,-0.743136,4.73269,38.90301239490509,-11.911262512207031,160.095,932.5,7.11832061,932.5,7.11832061,45.79999923706055,0.67669173,DH/OF,/players/yordan-alvarez/19556/stats/batting,21,AL,Yordan Alvarez,670541,19556,19556
LAD,Dodgers,125.702,435.128,508.75,117.582,70.0558,21.3384,1.67057,24.5175,74.1777,74.4553,56.9858,2.30746,95.9413,9.33668,5.93986,0.47119,7.91109,2.89437,1.04536,0.270224,0.362452,0.495978,0.85843,0.36763,0.112011,0.188582,0.593965,0.225754,3.57584,0.290275,,,82.6553,22.5426,-2.55,-0.734312,-0.734312,4.66716,22.138139963150024,6.552353143692017,137.933,734.0,5.825396825,734.0,5.825396825,111.30999755859375,0.0723589,C,/players/will-smith/19197/stats/batting,22,NL,Will Smith,669257,19197,19197
