Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,15.3389,7.40782,29.842,29.842,0.0,0.0,,192.28,754.147,144.437,59.42,55.33,16.0065,237.964,37.4533,0.502657,7.40567,2.58982,0.945968,11.1383,1.75307,6.35363,0.749214,0.315541,0.0496631,0.2658778764307499,,0.203637,0.282069,0.76793,2.44205,1193.6000000000004,6.216666666666669,1096.0,5.708333333333333,6.9574,6.55121,15.3655,6.940000057220459,6,AL,Tarik Skubal,669373,22267,22267
PIT,Pirates,13.4546,8.79552,30.174,30.174,0.0,0.0,,187.474,756.711,152.195,68.83,64.37,17.3786,223.211,47.9707,0.466375,5.1505,3.09019,1.0677,10.7156,2.30291,4.65306,0.83429,0.294975,0.0633937,0.23158109188079834,,0.216312,0.29118,0.746923,2.80904,1066.5,5.7032085561497325,1001.0,5.352941176470588,5.88511,4.97968,14.7037,10.170000076293945,27,NL,Paul Skenes,694973,33677,33677
PHI,Phillies,13.9866,8.33232,29.604,29.604,0.0,0.0,,190.364,771.482,167.658,70.25,65.15,14.2673,193.673,44.8113,0.48432,6.0883,3.08015,1.11612,9.15646,2.11858,4.32197,0.674526,0.251041,0.0580847,0.19295582920312881,,0.232671,0.299217,0.738821,2.87682,1032.0,5.431578947368421,1003.0,5.278947368421052,5.26056,5.07508,15.5156,26.329999923706055,26,NL,Cristopher Sánchez,650911,20778,20778
BOS,Red Sox,13.1355,8.30843,28.929,28.929,0.0,0.0,,181.736,733.195,150.852,70.85,65.83,20.7734,215.767,41.6073,0.52899,6.14416,3.26006,1.059,10.6853,2.06049,5.18579,1.02875,0.294283,0.0567479,0.23753466084599495,,0.220079,0.289769,0.74435,3.03485,983.9,5.4060439560439555,925.0,5.082417582417582,5.13521,4.40361,14.5521,11.4399995803833,3,AL,Garrett Crochet,676979,27463,27463
SFG,Giants,13.733,9.11057,30.232,30.232,0.0,0.0,,196.813,807.879,181.189,79.07,73.7,16.7164,195.502,47.9911,0.854891,5.91345,3.3702,1.16446,8.94003,2.19457,4.0737,0.764418,0.241994,0.0594039,0.18258966505527496,,0.240312,0.303592,0.729479,3.07428,1008.1000000000003,5.1172588832487325,994.0,5.0456852791878175,5.08837,4.52746,16.4598,62.83000183105469,30,NL,Logan Webb,657277,17995,17995
ATL,Braves,10.9496,7.49748,25.312,25.312,0.0,0.0,,155.602,642.023,129.655,66.33,61.9,16.8349,202.418,41.4948,0.412387,11.9361,3.58029,1.09992,11.7078,2.40005,4.87815,0.973727,0.315282,0.0646314,0.25065014511346817,,0.22028,0.305465,0.710253,2.97004,852.3000000000002,5.46346153846154,804.0,5.153846153846154,4.48093,3.19625,12.3396,38.58000183105469,16,NL,Chris Sale,519242,10603,10603
SEA,Mariners,13.3264,8.51159,29.529,29.529,0.0,0.0,,185.179,742.345,152.632,74.35,69.75,24.5513,190.956,37.0542,0.498073,7.49947,3.38996,1.02434,9.28077,1.8009,5.15341,1.19323,0.257233,0.0499151,0.20731814578175545,,0.218736,0.265572,0.742599,3.5181,913.7,4.938918918918919,850.0,4.594594594594595,4.40651,4.26635,14.8877,38.470001220703125,11,AL,Bryan Woo,693433,30279,30279
CIN,Reds,10.9569,9.08188,27.898,27.898,0.0,0.0,,167.561,684.138,135.082,71.32,66.84,22.1101,211.359,47.8998,0.445443,6.69534,3.5901,1.09203,11.3525,2.57278,4.41252,1.18757,0.308942,0.0700148,0.23892704397439957,,0.214571,0.285229,0.734483,3.30522,878.5999999999999,5.229761904761904,811.0,4.8273809523809526,4.35361,3.44847,12.9354,42.029998779296875,18,NL,Hunter Greene,668881,22182,22182
TOR,Blue Jays,12.7597,8.43481,29.786,29.786,0.0,0.0,,175.257,719.324,135.182,70.11,65.62,19.1992,207.389,64.6182,0.599005,4.55237,3.36979,1.14004,10.6501,3.31835,3.20945,0.985939,0.288311,0.0898319,0.19847868382930756,,0.207924,0.273826,0.749996,3.37663,914.3,5.224571428571428,832.0,4.7542857142857144,4.31017,4.03052,13.0371,79.5,14,AL,Dylan Cease,656302,18525,18525
NYY,Yankees,13.6701,7.64439,28.636,28.636,0.0,0.0,,180.471,742.779,152.031,69.83,64.97,14.6119,173.706,55.3565,0.475103,9.41355,3.24002,1.14914,8.66266,2.7606,3.13796,0.728688,0.23386,0.0745263,0.1593339443206787,,0.224231,0.280624,0.735873,3.33934,908.3,5.046111111111111,861.0,4.783333333333333,4.25733,4.37896,14.4895,53.470001220703125,9,AL,Max Fried,608331,13743,13743
PHI,Phillies,11.5136,9.47566,29.259,29.259,0.0,0.0,,175.685,727.729,153.192,77.61,71.84,20.8664,194.202,51.5949,0.493083,7.05187,3.68022,1.16565,9.94861,2.64311,3.76399,1.06895,0.266861,0.0708985,0.19596241414546967,,0.228958,0.291456,0.724349,3.46982,857.3000000000002,4.871022727272728,818.0,4.6477272727272725,4.04881,3.2181,13.6192,74.58000183105469,26,NL,Jesús Luzardo,666200,19959,19959
KCR,Royals,10.5772,7.8965,25.999,25.999,0.0,0.0,,152.616,622.616,115.621,61.36,57.49,19.2596,193.118,49.719,0.500031,6.93329,3.39027,1.08338,11.3885,2.93201,3.88419,1.13577,0.310172,0.079855,0.2303173765540123,,0.204291,0.272528,0.751429,3.35854,811.9,5.306535947712418,733.0,4.790849673202614,3.89999,3.54702,11.3305,45.11000061035156,7,AL,Cole Ragans,666142,21846,21846
DET,Tigers,13.0151,8.66752,28.686,28.686,0.0,0.0,,186.858,771.468,160.738,74.83,69.14,14.3358,170.396,59.6687,0.515418,10.0249,3.33012,1.17954,8.2071,2.87394,2.8557,0.690481,0.220872,0.0773443,0.1435277983546257,,0.229045,0.283153,0.72666,3.42763,922.9999999999999,4.935828877005347,883.0,4.721925133689839,3.86894,4.29454,15.6101,90.41999816894531,6,AL,Framber Valdez,664285,17295,17295
